Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,1630-P200-SYM-QAC-ITP-0017 Water Relocation,itp,,,,Yes,1630-P200-SYM-QAC-ITP-0017 Water Relocation,c9bea6da-ee4b-424d-a5c4-7dfcb71781f6
checkpoint-group,,,section,1.0 Pre-start activities,,,,,,,
checkpoint-status,,,checkpoint,1.1 - Check Survey Set-out,,,,,,,
label,5c37ec68-e1b5-5ef8-831e-ba40edb5c3bc,,note,Ref docs - IFC Drawings,,,,,,,
label,fdf725a0-5dd8-50df-af08-abe94a24f236,,note,Acceptance criteria - Ensure alignment setout has been completed and pegged.,,,,,,,
button,a7ebfbb3-dd6c-5723-9422-df1a34d13698,,button,Has all of the above been completed?,"Yes,No",,,,,,
label,1534840c-68f4-5b0c-a02e-f86e8ff89e88,,note,Freq - Prior to start of works,,,,,,,
label,1aa8ceb6-a135-5d36-be14-0c2ba90733cc,,note,Key - H,,,,,,,
label,61c9df7a-3fe2-52ea-80ff-42ceaa4dd7cd,,note,Resp - SE,,,,,,,
date,3ef396a2-774f-57bd-a0c3-fd8553b704e4,,date,Inspection Date:,,,,,,,
checkpoint-no-status,,,checkpoint,1.1.1 - Lot Map,,,,,,,
button,1cdc1255-fe76-56ae-8290-9626fff6e145,,button,Lot map,"Yes,No,N/A",,,,,,
date,8c6d788c-d9bc-5a6f-863c-179b21de01d1,,date,Inspection Date:,,,,,,,
checkpoint-no-status,,,checkpoint,1.1.2 - Environmental Permit,,,,,,,
button,97d0d0f7-4932-52f3-9815-0c67cd6426d2,,button,Environmental permit,"Yes,No,N/A",,,,,,
date,70a1118c-fd50-5f5b-ae8e-40021c1a5b3f,,date,Inspection Date:,,,,,,,
checkpoint-group,,,section,2.0 Materials,,,,,,,
checkpoint-status,,,checkpoint,2.1 - Material Conformance,,,,,,,
label,97c8ed84-c213-58e6-9417-a05e82ee5d63,,note,Ref docs - AS4130,,,,,,,
label,01b51e89-a3fc-5ffb-83b2-bfb484137f45,,note,"Acceptance criteria - Assets installed are correct type, class & diameter and comply with AS4130 (as relevant) unless noted otherwise.",,,,,,,
label,021b32a3-985c-570e-86fe-11fe6f388b4a,,note,Freq - Each Lot,,,,,,,
label,94293c92-cab3-57a2-b3f2-2065d56b0ced,,note,Key - R,,,,,,,
label,f8b46672-4bfc-594e-996e-a5319d132cd5,,note,Resp - SE,,,,,,,
button,82b2d7ee-ee1c-5fee-9add-b07c402f7e45,,button,Remarks/record,"Yes,No,N/A",,,,,,
date,6ef506d2-8398-50d3-9d56-8c4551d9c400,,date,Inspection Date:,,,,,,,
checkpoint-group,,,section,3.0 Depth of Cover,,,,,,,
checkpoint-status,,,checkpoint,3.1 - Depth of Cover Requirements,,,,,,,
label,181a976e-ab35-5be1-a2bb-81a7b9c6907b,,note,Ref docs - VR Clause 706.03,,,,,,,
label,d18354ed-95da-539a-949e-72d16a346b5e,,note,Acceptance criteria - Cover requirements for water assets shall be:,,,,,,,
label,3089d800-710a-55e6-a837-32453a18534d,,note,• Pavement surface to top of conduit minimum 1200 mm.,,,,,,,
label,76cceaf8-0ec9-59f5-9e28-210d3d63385d,,note,• Invert of open drain to top of conduit minimum 750 mm.,,,,,,,
label,14933dab-9753-55c2-afa4-7c25b5f2fba9,,note,• Unpaved areas to top of conduit minimum 600 mm.,,,,,,,
label,520f34e6-5f04-5f45-82c8-dc50b6709620,,note,• As per asset authority requirement for cover to other assets,,,,,,,
label,3eb1f525-677a-5ed8-9f70-c442f8c0c66e,,note,Freq - Each Lot,,,,,,,
label,cb76b358-4484-5f0c-b95a-235c46bfbf6f,,note,Key - S,,,,,,,
label,f94d81a4-69c0-522b-8ce0-34dad6184e9f,,note,Resp - SE,,,,,,,
button,dedd1621-d686-5988-9dcc-170d050ccee9,,button,Remarks/record,"Yes,No,N/A",,,,,,
date,fc8dbdb3-3a6f-5520-bb08-88f0251feb69,,date,Inspection Date:,,,,,,,
checkpoint-group,,,section,4.0 Backfill of Excavated Trenches,,,,,,,
checkpoint-status,,,checkpoint,4.1 - Bedding / Embedment Material Properties,,,,,,,
label,58f831da-cc95-5cd2-b808-80561223b4ab,,note,Ref docs - VR Clause 706.06 Table 706.061,,,,,,,
label,5c8c9a63-2531-5fb2-aef7-f3f2cc115012,,note,• VR Clause 706.07,,,,,,,
label,595024d1-b5a6-5c39-8330-c596ec83abb6,,note,• VR Clause 706.09,,,,,,,
label,dd395429-3fee-54df-866b-1ea5935b2252,,note,Acceptance criteria - Bedding / embedment requirements are to be as specified by VR706 and VR Table 706.061.,,,,,,,
label,f9e93ab9-d25d-58dc-a0a8-3153dda1766a,,note,Freq - Each Lot,,,,,,,
label,75a3804a-5452-558b-8c57-76a9374506fc,,note,Key - R,,,,,,,
label,8803825f-6317-5323-9226-0d4991ccf09d,,note,Resp - SE,,,,,,,
label,f43c6948-81f6-51d2-9d6d-05d944f67be9,,note,Remarks/record -,,,,,,,
button,b2ead47f-45f5-5df7-b30e-e2ba878d0095,,button,• Test Report (if applicable),"Yes,No,N/A",,,,,,
date,d50fa01f-8385-51c9-8d83-111143ad26d9,,date,Inspection Date:,,,,,,,
checkpoint-status,,,checkpoint,4.2 - Bedding / Embedment Placement,,,,,,,
label,5b89141a-31c1-5c78-9069-9cdb5684b8b4,,note,Ref docs - VR Clause 706.07,,,,,,,
label,b36c8235-9d11-598f-8a28-699fd7d4859e,,note,Acceptance criteria - Placement of bedding / embedment is to be as per VR 706.07.,,,,,,,
label,607c841d-17ea-5e08-9f7f-7c20d5bbbeae,,note,Freq - Each Lot,,,,,,,
label,86bdaf50-762f-506e-9118-dead22738d53,,note,Key - R,,,,,,,
label,3ea15c82-0b62-5f67-a305-eae99f233e4a,,note,Resp - SE,,,,,,,
date,43dc06d7-e749-5e6a-86ae-f8323ad9d1b1,,date,Inspection Date:,,,,,,,
checkpoint-status,,,checkpoint,4.3 - Backfill Material Properties (under paved areas),,,,,,,
label,43610fe3-6804-5dcc-ad68-34de47b51b0e,,note,Ref docs - VR Clause Table 706.061,,,,,,,
label,5781045e-3920-54ad-bf97-ed792f38df10,,note,Acceptance criteria - Backfill material properties to be as per Table 706.061 (See figure 1).,,,,,,,
label,837f580d-a55d-577d-9a96-9766819336e9,,note,Freq - Each Lot,,,,,,,
label,cb4b7be2-b0cb-5a6c-9191-5de0e2b0a746,,note,Key - R,,,,,,,
label,614b7a6b-c4c4-52f6-9f20-babd90fbcb81,,note,Resp - SE,,,,,,,
label,0097b327-a16d-5bd2-a37b-a333e685fde0,,note,Remarks/record -,,,,,,,
button,1a3743db-da78-5afc-a232-856d9cf4ef57,,button,• NATA Test Report (if applicable),"Yes,No,N/A",,,,,,
date,82084a36-886a-546b-874b-0ebb991f05c0,,date,Inspection Date:,,,,,,,
checkpoint-status,,,checkpoint,4.4 - Backfilling (under paved areas),,,,,,,
