Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Switchboards,,,,,
,Scope,,,,
,Rows,,,,
,,DB,,DB,Site QA
,Columns,,,,
,,Fixings installed in wall correctly if board is wall mounted,,Fixings installed in wall correctly if board is wall mounted,
,,All clearances sighted to ensure location is compliant,,All clearances sighted to ensure location is compliant,
,,All cables correctly installed in protection device/earth/neutral bars & fully secured,,All cables correctly installed in protection device and earth and neutral bars and fully secured,
,,Cables neatly dressed,,Cables neatly dressed,
,,Phase tabs on chassy covered,,Phase tabs on chassy covered,
,,All earths & neutrals labelled to match phase numbers,,All earths and neutrals labelled to match phase numbers,
,,Switchboard is clean on the inside & outside,,Switchboard is clean on the inside and outside,
,,Masking blanks installed,,Masking blanks installed,
,,Feisst label on the door installed,,Feisst label on the door installed,
,,"Switchboard Tested & Passed, results uploaded to drive via iPad",,"Switchboard Tested & Passed, results uploaded to drive via iPad",
,,DB legend installed,,DB legend installed,
,,Photos,,Photos,
,,,,,
Cable Tray,,,,,
,Scope,,,Cable Tray,
,Rows,,,,
,,Cable Tray,dynamic,Cable Tray,Site QA
,Columns,,,,
,,Unistrutt Filed & Painted,,Unistrutt Filed & Painted,
,,Hangers Spaced as Specified,,Hangers Spaced as Specified,
,,Correct Size Tray Installed,,Correct Size Tray Installed,
,,Tray Joined Correctly,,Tray Joined Correctly,
,,Hangers Seismic Restrained as per Design,,Hangers Seismic Restrained as per Design,
,,Tray Fastened to Hangers,,Tray Fastened to Hangers,
,,Correct Anchors used fixing to Ceiling,,Correct Anchors used fixing to Ceiling,
,,Cable Tray Bonded,,Cable Tray Bonded,
,,Photos,,Photos,
,,,,,
First Fix,,,,,
,Scope,,,First Fix,
,Rows,,,,
,,First Fix,dynamic,First Fix,Site QA
,Columns,,,,
,,Flush Boxes,,Flush Boxes,
,,Cabling,,Cabling,
,,Cat Wires,,Cat Wires,
,,Cable Tray,,Cable Tray,
,,QA - Lights,,QA - Lights,
,,,,,
Second Fix,,,,,
,Scope,,,2nd Fix,
,Rows,,,,
,,2nd Fix,dynamic,2nd Fix,Site QA
,Columns,,,,
,,Power Outlets,,Power Outlets,
,,Light Switches,,Light Switches,
,,Light Fixtures & PIR Sensors,,Light Fixtures & PIR Sensors,
,,,,,
FEL SM Weekly Site Checklist,,,,,
,Scope,,,FEL SM Weekly Site Checklist,
,Rows,,,,
,,FEL SM Weekly Site Checklist,dynamic,FEL SM Weekly Site Checklist,
,Columns,,,,
,,Monday,,monday,
,,Prestart Meeting with Team,,prestart meeting with team,
,,Health Check,,health check,
,,Review Tasks for the week,,review tasks for the week,
,,Identify Targets Including Hours,,identify targets including hours,
,,Approve hours by 9AM for previous week,,approve hours by 9am for previous week,
,,Sign off Subcontractor Hours & Submit,,sign off subcontractor hours & submit,
,,Review SWMS,,review swms,
,,Site Toolbox Meeting,,site toolbox meeting,
,,SSSP in Order,,sssp in order,
,,Tuesday,,tuesday,
,,Follow up outstanding RFI's with PM,,follow up outstanding rfi's with pm,
,,Wednesday,,wednesday,
,,Review Roadblocks & Follow Up if still unresolved,,review roadblocks & follow up if still unresolved,
,,QAs up to date,,qas up to date,
,,Thursday,,thursday,
,,Weekly planner filled out for week ahead,,weekly planner filled out for week ahead,
,,Roadblocks identified and actioned,,roadblocks identified and actioned,
,,Materials organized for week ahead,,materials organized for week ahead,
,,Plans printed with any relevant notes added,,plans printed with any relevant notes added,
,,Friday,,friday,
,,Submit Toolbox minutes to main contractor and FEL office,,submit toolbox minutes to main contractor and fel office,
,,Job Cards up to date and submitted,,job cards up to date and submitted,
,,Team tasks for week ahead filled out on whiteboard,,team tasks for week ahead filled out on whiteboard,
