type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,
checklist,ITP-075-CIV-CPD-General Concrete Melbourne Water,itp,,,,Yes,ITP-075-CIV-CPD-General Concrete Melbourne Water Rev 0,,,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-CIV-CPD-General Concrete_Melbourne Water,,,,,,,,,,,,,,,,,,,
label,ITP Description: General Concrete_Melbourne Water,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV-CPD,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,
label,Revision Date: 8/09/2023,,,,,,,,,,,,,,,,,,,
label,ITP created by: Ethan CARUANA-SMITH,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep TALASILA,,,,,,,,,,,,,,,,,,,
checkpoint,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 703 June 2018,,,,,,,,,,,,,,,,,,,
checkpoint,1.2 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 812 July 2016,,,,,,,,,,,,,,,,,,,
checkpoint,1.3 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - Melbourne Water 7251/08/420,,,,,,,,,,,,,,,,,,,
checkpoint,1.4 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - AS1379-2007,,,,,,,,,,,,,,,,,,,
checkpoint,1.5 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - AS3610-2018,,,,,,,,,,,,,,,,,,,
checkpoint,1.6 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - AS4671-2019,,,,,,,,,,,,,,,,,,,
section,2. Preliminaries - Materials,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Bedding Material / Base Layer,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings 703.21 812.04,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - 20mm Class 3 bedding material conforms to specified requirements applicable to the class of product as detailed on the drawings.,,,,,,,,,,,,,,,,,,,
label,○ Material is registered with VicRoads in accordance with Code of Practice RC500.02.,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, for each mix design, prior to placement of material ",,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Concrete Mix,,,,,,,,,,,,,,,,,,,
