type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,
checklist,ITP-076-CIV-CPD-Pit 5.5 Installation Melbourne Water,itp,,,,Yes,ITP-076-CIV-CPD-Pit 5.5 Installation Melbourne Water Rev 0,,,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-CIV- CPD - Melbourne Water - Stormwater Pit Suppy & Installation,,,,,,,,,,,,,,,,,,,
label,ITP Description: Melbourne Water - Stormwater Pit Suppy & Installation,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV-CPD,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,
label,Revision Date: 19/09/2023,,,,,,,,,,,,,,,,,,,
label,ITP created by: Ethan Caruana Smith,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,
checkpoint,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 701 (May 2020),,,,,,,,,,,,,,,,,,,
checkpoint,1.2 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 705 (June 2021),,,,,,,,,,,,,,,,,,,
checkpoint,1.3 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - Melbourne Water Standard Drawing 7251/08/416,,,,,,,,,,,,,,,,,,,
checkpoint,1.4 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - Melbourne Water Standard Drawing 7251/08/423,,,,,,,,,,,,,,,,,,,
checkpoint,1.5 - Non Dependent,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings - Package 36,,,,,,,,,,,,,,,,,,,
section,2. Preliminaries-Materials,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Precast Drainage Pit,,,,,,,,,,,,,,,,,,,
label,"Reference - IFC drawings - package 36, Gestalt Engineers pit L-4/5 & L-5/5 package",,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Precast steel reinforced concrete drainage pits shall be manufactured, supplied and installed in accordance with design drawings marked as IFC.",,,,,,,,,,,,,,,,,,,
label,○ All concrete shall be manufactured to the concrete mix design registered by VicRoads and comply with the requirements of Section 705.04. Concrete grades shall comply with Table 705.041,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Teambinder Material Approval,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Drainage Pit - Step Irons,,,,,,,,,,,,,,,,,,,
label,Reference - Melbourne Water Standard Drawing 7251/08/416,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Step irons shall be manufactured by 13mm steel bar covered with polypropylene plastic in accordance with 705.04,,,,,,,,,,,,,,,,,,,
label,○ Drainage pits greater than 1.0 m deep shall be fitted with step irons in accordance with Section 705.12 and Melbourne Water - 7251/08/416,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Teambinder Material Approval,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,
checkpoint,2.3 - Drainage Bedding,,,,,,,,,,,,,,,,,,,
label,Reference - IFC drawings - package 36,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Pit shall be installed on nominal 50mm thick 200 Sq concrete packers. positioned at 1m centres around perimeter of pit. Underside of pit to be flood grouted with Min 25Mpa grout,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - Teambinder Material Approval,,,,,,,,,,,,,,,,,,,
