"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d516bb46-7961-4cc9-ac3e-ffaf4b3af258","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA / ITP's"
"842e5247-fc12-4ca3-b17e-193ac9a094b7","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA / ITP's","Roofing"
"15aabfc0-5267-48d1-8b60-4568564fc36e","","folder-normal","not-started","","step","TRUE","FALSE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium"
"eac1ac88-fc42-48d6-8147-656d96bbf7c2","","folder-normal","not-started","","step","TRUE","FALSE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding"
"4408716e-53c9-4964-886f-6d42ad07c556","","checklist-sectioned","not-started","Soffit Cladding checklist","checklist","FALSE","FALSE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding"
"320a1458-7e2a-5ac3-986c-39a9efe2efeb","","checkpoint-group","not-started","","","FALSE","FALSE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection"
"0c59bb1c-2b8e-58d1-adc8-13b627291523","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Soffit Cladding type: 3mm Solid Aluminium - 82 Full Sheets + 2 Additional"
"b8035fa6-4e22-57e8-a624-8fc442db6360","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Insulation: Proctor Wrap HTR"
"e013e62b-c9f8-5ee6-b9cb-5d68678f48a6","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Backing Rod Feature Parapet Capping"
"909005d7-a48c-5190-bbc3-0eaeb7348125","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Fabrication Cost - Includes Z sections"
"4ad1db73-be13-5519-9745-2c350fb6bc97","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Curving face material"
"d256c43f-c127-5ee8-a6cb-f8b7968fc7f0","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Wall Cladding Top Hat - 0.75mm - 15mm Top Hat / Junction Stud"
"26677d91-5278-520a-9fa4-56ece1e6903c","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Flashing Material: 0.61mm Colorbond"
"e9af4f27-0eff-5a01-850b-cf67cc4fca62","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Installation"
"1df9cbf4-8b1f-5c46-a1ce-0f3a5e6f578a","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Is primary structure adequate to support cladding or secondary framing?"
"0039902e-2b36-517b-adac-f5bf0e00c833","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Caulk done with no gaps"
"908cf2ad-8804-5cf9-8604-2dbf135260e3","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Top hats installed at correct spacings to meet Manufacturers recommendations."
"abbde684-266c-5197-9715-e6f7af4c39ec","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Wall cladding fixed to sub frame as per Manufacturer's recommendations."
"ee5efc21-3f38-5416-9a72-96ddc4e523b1","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Wall cladding flashed to make watertight."
"683b2c5c-7139-5010-b42a-073a0f98d34b","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Area clean and free of debris"
"d76d38c7-015e-54f5-bbca-80611af89e5d","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Materials in good condition"
"f9850524-3b0a-56d9-809a-ddf1e33f6a77","","checkpoint-status","not-started","","","TRUE","TRUE","QA / ITP's","Roofing","Roof Fascia Capping Aluminium","Soffit Cladding","Soffit Cladding","Material Inspection","Signoffs"
