"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6ee8c941-4a57-46c3-9e40-002d25c68b5c","","folder-normal","not-started","","step","TRUE","FALSE","External"
"274ab599-a046-408a-b88c-37d708f5d3a2","","folder-normal","not-started","","step","TRUE","FALSE","External","Building 3"
"af9e3deb-1cdd-4527-8e90-482bd0c34901","","folder-normal","not-started","","step","TRUE","FALSE","External","Building 3","L1"
"3f356c12-ba65-4dfd-a09e-7c4c954232b7","","checklist-flat","not-started","Seismic Suite (Without Feature Screens)","checklist-flat","FALSE","FALSE","External","Building 3","L1","Type:C1.1"
"fd0fbb0b-fe59-507f-9dea-385aaf202bd0","","checkpoint-status","not-started","Seismic Suite (Without Feature Screens):7432d605-72a8-495b-9c85-a6ff9a15f2ce","","TRUE","TRUE","External","Building 3","L1","Type:C1.1","Opening Prepared by Main contractor, Report poor sealing/wrapping work, concrete crack, un-installed joint flashing etc"
"f6e75280-2b36-5aad-86d5-4b176dc83d72","","checkpoint-status","not-started","Seismic Suite (Without Feature Screens):a54680e7-33e3-49ad-acf3-1cdd84155628","","TRUE","TRUE","External","Building 3","L1","Type:C1.1","Setout/Grids/Datum Lines"
"43a87176-63c0-5100-a409-2e1a578d2492","","checkpoint-status","not-started","Seismic Suite (Without Feature Screens):ee4c1b9b-e13e-4b22-8035-e3969796709f","","TRUE","TRUE","External","Building 3","L1","Type:C1.1","Head/jamb flashing installed as per shop drawing"
"8367b6a1-0a1e-5518-8531-f56bfec7f138","","checkpoint-status","not-started","Seismic Suite (Without Feature Screens):4decfff2-51b6-4b34-b51d-bf5465e1a9ee","","TRUE","TRUE","External","Building 3","L1","Type:C1.1","Seismic Installed As Per Shop Drawings, Packers&fixings as per shop drawing"
"3ff82cc4-dea2-5148-ac52-a49b3f9d519e","","checkpoint-status","not-started","Seismic Suite (Without Feature Screens):962a17fd-23de-4dbd-800e-5a2d8bd1e628","","TRUE","TRUE","External","Building 3","L1","Type:C1.1","Splicers & Soakers Sealed"
"39a92d47-e25d-5631-a528-c049e3998557","","checkpoint-status","not-started","Seismic Suite (Without Feature Screens):a394841b-8a1c-443a-83cd-70410cab6115","","TRUE","TRUE","External","Building 3","L1","Type:C1.1","Panel Fitted & Locked Off"
"0ff2c65c-4847-5d47-9e94-4c593b3e9723","","checkpoint-status","not-started","Seismic Suite (Without Feature Screens):47b863dd-2fe4-43c4-9001-3919f2e33fe1","","TRUE","TRUE","External","Building 3","L1","Type:C1.1","PEF Rod & bond breaker (Sikadur 52) applied as per spec (where Sikalastic 152)"
"cd5b94b0-a4b2-524f-aaf6-ec1ae8cdde28","","checkpoint-status","not-started","Seismic Suite (Without Feature Screens):87638ea0-f425-46e5-9e69-ff1f68ddea59","","TRUE","TRUE","External","Building 3","L1","Type:C1.1","Weather seal installed as per spec where needed"
"5f1d6280-edcd-55ec-9a98-3a0894f19286","","checkpoint-status","not-started","Seismic Suite (Without Feature Screens):e62e24be-fa0a-404d-a13d-e22de5cfe381","","TRUE","TRUE","External","Building 3","L1","Type:C1.1","Air seal as per shop drawing"
"cd98812f-8940-576d-9693-6872ff2984e5","","checkpoint-status","not-started","Seismic Suite (Without Feature Screens):bb939ee4-0ed9-4f9a-8ad9-b968a2c6a95b","","TRUE","TRUE","External","Building 3","L1","Type:C1.1","Report if any damage on factroy glazed glass"
"92889710-d5c9-57a3-8b86-6f8cff71b609","","checkpoint-status","not-started","Seismic Suite (Without Feature Screens):f9368d09-6fc6-4c5f-87b4-5f341421911f","","TRUE","TRUE","External","Building 3","L1","Type:C1.1","Trade Clean"
"5bb04485-d48a-507b-a324-ecfe0c9c99a6","","checkpoint-status","not-started","Seismic Suite (Without Feature Screens):626d92d8-e8d5-4d59-9ef4-3eacf59e24c1","","TRUE","TRUE","External","Building 3","L1","Type:C1.1","Wights - Sign Off"
"386e8976-9f26-482c-8235-c9db00506225","","folder-normal","not-started","","step","TRUE","FALSE","External","Building 3","L2"
"fd2d7ab9-fb05-4c33-9ab2-200bf5271edc","","checklist-flat","not-started","Seismic Suite (With Feature Screens)","checklist-flat","FALSE","FALSE","External","Building 3","L2","Type:2.1"
"b6066583-a645-5540-a06b-ee1c081f12e1","","checkpoint-status","not-started","Seismic Suite (With Feature Screens):14077c94-c4f1-44ce-97a2-463e76a5f76e","","TRUE","TRUE","External","Building 3","L2","Type:2.1","Opening Prepared by Main contractor, Report poor sealing/wrapping work, concrete crack, un-installed joint flashing etc"
"893c73b0-3a7d-5201-9a8a-97cdc283df0c","","checkpoint-status","not-started","Seismic Suite (With Feature Screens):655253a3-6562-4714-9374-c2ce42703380","","TRUE","TRUE","External","Building 3","L2","Type:2.1","Setout/Grids/Datum Lines"
"9158caf6-e092-51a7-a58e-ab5f52ced821","","checkpoint-status","not-started","Seismic Suite (With Feature Screens):e50f3eef-2b0b-4726-85f0-1765f4a61486","","TRUE","TRUE","External","Building 3","L2","Type:2.1","Head/jamb flashing installed as per shop drawing"
