Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Overall Progress,,,,,,,
,Scope,,,Site QA,,,
,Rows,,,,,,
,,Site QA,dynamic,Site QA,,,
,Columns,,,,,,
,,Ground Works,,Ground Works,,,
,,Collumns,,Collumns,,,
,,Walls,,Walls,,,
,,Lift & Sevice Pit Over Runs,,Lift & Sevice Pit Over Runs,,,
,,Stairs Precast,,Stairs precast,,,
,,Suspended Slab,,Suspended Slab,,,
,,Core Lids,,Core lids,,,
,,Core Walls,,Core Walls,,,
,,,,,,,
Variations / Site Instructions,,,,,,,
,Scope,,,Variations / SI,,,
,Rows,,,,,,
,,Apr-23,dynamic,Apr-23,Variations / SI,,
,,May-23,dynamic,May-23,Variations / SI,,
,,Jun-23,dynamic,Jun-23,Variations / SI,,
,,Jul-23,dynamic,Jul-23,Variations / SI,,
,,Aug-23,dynamic,Aug-23,Variations / SI,,
,,Sep-23,dynamic,Sep-23,Variations / SI,,
,,Oct-23,dynamic,Oct-23,Variations / SI,,
,,Nov-23,dynamic,Nov-23,Variations / SI,,
,,Dec-23,dynamic,Dec-23,Variations / SI,,
,Columns,,,,,,
,,Variation/SI Details Entered,,Variation / SI Details Entered,,,
,,Work type:,Work type:,Variation / SI Details Entered,,,
,,Attention:,Attention:,Variation / SI Details Entered,,,
,,Area/Location,Area/Location,Variation / SI Details Entered,,,
,,Date,Date,Variation / SI Details Entered,,,
,,Scope of work,Scope of work,Variation / SI Details Entered,,,
,,Normal Hours,Normal Hours,Variation / SI Details Entered,,,
,,Overtime Hours,Overtime Hours,Variation / SI Details Entered,,,
,,Material to complete task,Material to complete task,Variation / SI Details Entered,,,
,,Reference/SI Number Entered,,Reference/SI Number Entered,,,
,,Reference/SI Number,Reference/SI Number,Reference/SI Number Entered,,,
,,Variation/SI Work Completed,,Variation / SI Work Completed,,,
,,Values added,,Values added (Office use only),,,
,,Labour Value,Labour Value,Values added (Office use only),,,
,,Material Value,Material Value,Values added (Office use only),,,
,,Measured Items,Measured Items,Values added (Office use only),,,
,,Total Variation Value,Total Variation Value,Values added (Office use only),,,
