"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"406c699b-df7a-4298-9065-56d84c117576","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"222bc592-a09e-4ca2-a959-2b20a05b355a","","pass","Site Establishment","checklist","FALSE","FALSE","Project QA","Site Establishment"
"71a7445f-0c6f-44d4-bd92-11f3201952cf","","not-started","Preline","checklist","FALSE","FALSE","Project QA","Preline"
"4e333a3b-5a19-48d1-8f48-a9e89dc89bd9","","not-started","Finishes","checklist","FALSE","FALSE","Project QA","Finishes"
"4f645107-18a1-40a2-b137-cf237d50199e","","not-started","Defect Clearance","checklist","FALSE","FALSE","Project QA","Defect Clearance"
"2439b1a3-1d94-4174-960d-5d7b9f1fd6e2","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety"
"d60d7b74-35b3-4c2c-a5cd-9d84347c3c4f","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start"
"b5657940-7952-452f-bf0c-89f27c144a28","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Jun-23"
"f87a1814-c06b-491a-bb19-cf64e4ead9ac","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Jul-23"
"381dae5e-23b0-49f8-8bf1-6d4099aa3f61","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Aug-23"
"b9a5324d-2eb8-4d10-a95d-03755c4e0cd3","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Sep-23"
"54b140a2-968f-4973-9df1-c7d21e4d3115","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Oct-23"
"74589c45-c15e-4d1f-831d-9ff132ab469b","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Nov-23"
"a69426e5-0498-452d-9d46-58cced37e98f","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Dec-23"
"0a9d9b75-cf4f-4043-87e2-219594100a0c","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Jan-24"
"05327c15-351e-45a5-9023-e895a118198e","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Feb-24"
"0c822918-76a5-4915-9bdb-68f6c38688d8","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Mar-24"
"2eb17cc4-b353-476a-a5a6-74e11a0d4a9f","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Apr-24"
"e8b3cc35-53f4-4506-b91f-9a6573e27694","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","May-24"
"b696a044-1412-4cfe-894c-885153e6e0a1","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Jun-24"
"594dd7f8-db03-43df-b899-b1269dbf9a55","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Jul-24"
"1d36b900-297b-4d16-af6c-29b217a1e971","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Aug-24"
"a6fc99cd-4fcc-4f95-8db8-bcf7a187659b","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Sep-24"
"bbfc8415-012c-45ce-b73f-1600a24e6633","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Oct-24"
"d8583153-6db1-46da-8ef1-6d22c458315a","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox"
"1e5460a9-bd99-48c9-9337-2961d5a50088","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Jun-23"
