"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b7ddae86-1f8d-4a72-89c7-0274955404d2","","no-status-not-started","","folder","TRUE","FALSE","Project QA"
"15835392-070a-4c10-b83e-d632f8fc6429","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Site Establishment"
"31712676-ab13-482a-9547-c88c680df2ef","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Steelwork - Existing"
"48b0feda-f393-442b-8dbb-33d6d4233c90","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Steelwork - New"
"04fd80c1-b256-46ef-850d-957484c9d927","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Building - External works"
"f62048f7-9f6d-48e5-9b7d-42b3bb7cd02c","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Building - Interior fitout works"
"6b5c9d81-e65a-4681-a432-f6f9fdd5540f","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Building - Concrete works"
"4577b68d-aaf0-496d-bb84-754ef0ea655e","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety"
"53e05320-2620-479a-9abc-9dbb38bfd968","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start"
"2b15bfaa-95db-4990-b98f-8c618b1ec79a","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Jun-23"
"7992d254-61fa-4343-b152-3fb3c4f76475","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Jul-23"
"d6300878-2912-4f7e-860d-3ef4963a69fd","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Aug-23"
"c782f8d6-4826-4d93-a568-a93314706d83","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Sep-23"
"787331c1-17fa-4221-8a4e-314f05d367b7","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Oct-23"
"bc8e1e8c-8181-4082-9459-e7560118fc43","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Nov-23"
"642e3296-ba6d-4a89-aa8e-a3af80ba4d3b","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Dec-23"
"2a941e02-59da-4d4f-9b40-f56140804df6","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Jan-24"
"4057b772-8e55-4dc9-a7f5-78fd3f21d84d","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Feb-24"
"5f929d6d-1853-4c02-a89a-3783fcf2423d","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Mar-24"
"83b2e54f-61be-4376-b0ab-d1e0cff77602","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Apr-24"
"1dbbdc10-04e6-4312-a93a-7b0f1c5a7e34","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","May-24"
"4321b798-1621-40cc-ace6-a7d02bba37b5","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Jun-24"
"1c417c19-cd11-4f6f-9b06-6739c11bfc3f","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Jul-24"
"24399304-ae82-4c72-a3db-3b2809ae8865","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Aug-24"
"5abb45de-e23c-483d-bd8f-68ef46bbad88","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Sep-24"
"e6afd1f9-676d-4f0d-8113-5d214d48f7a1","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Pre-Start","Oct-24"
"e8cb08d3-a4e1-44df-ae58-dfc119ecaa58","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox"
"6ddb3ef6-5e6d-44f7-b0f6-d653acbee709","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Jun-23"
"5e562f99-87c2-464d-a49d-fb0c8c177778","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Jul-23"
"8087f581-59a0-4c71-a721-85152c0ac093","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Aug-23"
"a5cd779c-db00-4e86-b57e-7c77ce011645","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Sep-23"
"181d8f07-a021-4737-82cb-c6a166befd56","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Oct-23"
"1c9f7856-5597-4978-b145-00c84087ebe7","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Nov-23"
"ded205ef-7800-42d9-8a0c-fbc0404e405b","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Dec-23"
"b2b78cce-2ea5-4a0f-9e33-40c28151a798","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Jan-24"
"d6561b5a-5743-4a25-838b-0f902843b91d","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Feb-24"
"96ab78c2-0056-4774-bd42-d525b7862986","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Mar-24"
"cc3bf169-2d95-43c1-b1ef-7685057d9171","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Apr-24"
"a995b9de-89c1-480d-814a-a76fb7741561","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","May-24"
"b07fcd4b-bc1e-4312-be1e-80e4ba373509","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Jun-24"
"0ccad725-52d8-4570-8817-43ad04186b9a","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Jul-24"
"44de01b0-7505-454f-a2c9-334de675fecf","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Aug-24"
"e8862b02-88d3-4968-bc5d-c191ba32dd88","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Sep-24"
"5cef1ed6-48e2-4c4a-866f-c1a2d188ee4a","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Toolbox","Oct-24"
"15f404a4-787b-408e-9f18-ec318d199b28","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection"
"c08cfbec-06aa-4da1-bdeb-d8509e576c0e","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Jun-23"
"8abb9cd2-4ef8-408c-ad2d-ceb60db50821","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Jul-23"
"43c1fe47-7d2f-4d26-b94c-1d2b9d4e5be7","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Aug-23"
"bdcff0b9-6dc1-452d-acd1-5da2ad66ab9e","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Sep-23"
"6609af14-b636-4e93-8f38-de81964c595e","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Oct-23"
"1801eebe-fd73-4717-970a-7486141335fc","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Nov-23"
"2744ab4f-bca7-47d9-9969-8a5a4f476434","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Dec-23"
"7f14c8e0-cef0-4c66-aaad-ab8fab97e868","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Jan-24"
"c31db610-4ee0-4a07-a5ec-8ae8d264d7cd","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Feb-24"
"d2e04704-1a61-4c6a-9047-1b9d6078f7cb","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Mar-24"
"735c2f94-a3e4-4743-8260-4d8cc593500c","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Apr-24"
"db51382d-254b-4f56-9dbc-99ec727879dc","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","May-24"
"83c0a5f7-25c3-464d-adca-dec8d81c0cc2","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Jun-24"
"3a2f5d4d-e285-41f8-a9df-de6ddca5b97e","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Jul-24"
"bc9ea3e0-5dd6-449c-b176-675a0525d439","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Aug-24"
"19ba5f89-1a69-44c4-a63b-a21a535857e9","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Sep-24"
"9abc4d43-5426-410a-a7a1-9d6544c87462","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Site Inspection","Oct-24"
"bf23c05b-536a-471a-9253-184b7ce147da","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation"
"ca63d7c6-bdd6-4d3b-85b7-712080b45af0","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jun-23"
"29592ab3-026a-4831-8272-a8ed10f03579","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jul-23"
"341af6a8-c876-49d8-bf9c-4f282a5efe84","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Aug-23"
"8cae2715-5891-4db8-b8aa-b43ec8d15a57","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Sep-23"
"8f9e5e6f-1050-40dc-969d-f629b2b106c8","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Oct-23"
"781f8873-80d7-4393-8b12-8444ae3e111f","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Nov-23"
"2af3791f-c23b-4d75-b86b-29478e4b06af","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Dec-23"
"680a1cd9-762a-41ce-be42-5ca958858a3c","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jan-24"
"dc4faa03-7065-43af-9dbe-6c92f86ff0ae","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Feb-24"
"59ab5713-ceca-4545-ae92-dd167a6422bc","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Mar-24"
"3ba45495-0218-4519-983e-34eb9f088f55","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Apr-24"
"0be11223-a954-41ef-8928-4295ffeb14c5","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","May-24"
"b09f7f52-b1b1-4db9-bc6c-9c9994db95d2","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jun-24"
"a88cfe5b-81d4-4ba3-ac77-3d607df90ec7","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jul-24"
"6fc9b7ab-9498-4d05-bdad-515b3136714f","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Aug-24"
"875e3479-af78-4ae3-a286-4c40cbeb0ed3","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Sep-24"
"5121ec2f-3fea-4590-afa9-168e8d08f8fe","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Oct-24"
"097c0b0b-aa41-416f-905e-fdae44f37fa9","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping"
"3b23da66-68a9-48bb-bfa5-f98c9b053ae8","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jun-23"
"9e5cd1a0-a418-4a0f-ba51-28b63f4bc831","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jul-23"
"aca4afbf-0aed-4d22-9d97-cad22db7a1e1","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Aug-23"
"f85bcbe6-e819-44b4-8409-459dc39cf1a0","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Sep-23"
"6bca03c0-ca9e-4227-8d51-b17cd4079856","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Oct-23"
"f3ce991c-ca1c-44d3-ba82-92522e7eb621","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Nov-23"
"49c7e21b-7649-4b8c-b5ab-2cafe77e52aa","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Dec-23"
"c7a67630-3f59-4efa-a24a-0b7abf78fd90","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jan-24"
"12bdeeae-a276-4b60-bde4-8cdb85d04eef","","no-status-not-started","","folder","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Feb-24"
