"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fb02bdca-a112-4806-b2ef-6db87e84ba69","","checklist-flat","no-status-started","93bd1be2dc3f7d66098628adff5b0a88d6a562baf6b97b6716aee51438f745bf","checklist-flat","FALSE","FALSE","Job Details"
"d39aded4-ea20-41a1-84e9-1f9687acf530","","folder-normal","work-in-progress","","step","TRUE","FALSE","SSSP/Weekly Toobox Talks/Near Miss&Accident Reports"
"3ac1f0ae-8df4-4e4e-a4d0-7e19ff8b58ef","","checklist-flat","no-status-started","569f56ef298fe1ff1b983328ecce38a960168f7aa41ade93cc05b1047030fb5f","checklist-flat","FALSE","FALSE","SSSP/Weekly Toobox Talks/Near Miss&Accident Reports","SSSP / TA Documentation "
"3cae76e2-e9b2-4a5e-a9b8-4b5e6d7dd38f","","folder-normal","work-in-progress","","step","TRUE","TRUE","SSSP/Weekly Toobox Talks/Near Miss&Accident Reports","Weekly Toolbox Talks"
"36332ce7-60c5-4ae8-9ff2-d910d35adea4","","checklist-sectioned","work-in-progress","H&S - Toolbox Talks","checklist","FALSE","FALSE","SSSP/Weekly Toobox Talks/Near Miss&Accident Reports","Weekly Toolbox Talks","Toolbox Checklist 29/08/2022"
"05c93da0-c227-4e67-a08e-d9690876e7ad","","folder-normal","pass","","step","TRUE","TRUE","SSSP/Weekly Toobox Talks/Near Miss&Accident Reports","Site Safety Inspections"
"cf9bd75d-9dca-436d-8929-25ffe83088c0","","checklist-sectioned","pass","H&S - Site Safety Inspection","checklist","FALSE","FALSE","SSSP/Weekly Toobox Talks/Near Miss&Accident Reports","Site Safety Inspections","Site Inspection Checklist"
"db261f7d-cdf5-4cac-9a0a-f0c8e7acecee","","folder-normal","no-status-not-started","","step","TRUE","TRUE","SSSP/Weekly Toobox Talks/Near Miss&Accident Reports"," Near Miss Reports"
"607d82c1-dd46-4e76-93f2-229ad64dd91a","","folder-normal","no-status-not-started","","step","TRUE","TRUE","SSSP/Weekly Toobox Talks/Near Miss&Accident Reports","Accident Reports"
"84424456-1ad2-4798-86ad-9f294c5bfe0e","","folder-normal","no-status-not-started","","step","TRUE","TRUE","SSSP/Weekly Toobox Talks/Near Miss&Accident Reports","Behavioural Safety Observations (BSO)"
"37ec7d78-9e04-4546-87dc-2f46f8261b62","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"90329dac-56dd-4d0a-b0ff-6abf4f6ff2c9","","checklist-sectioned","pass","Add New Area (All checklists)","checklist","FALSE","FALSE","QA","01. Anoxic Tank ring beam"
"eb1c2150-58ca-4095-97ea-e0b5c941c597","","checklist-sectioned","work-in-progress","Add New Area (All checklists)","checklist","FALSE","FALSE","QA","02. MCC Floor Foundations and Slab"
"672a5ed4-a963-4e8f-a143-9c9b47c626bc","","checklist-sectioned","work-in-progress","Add New Area (All checklists)","checklist","FALSE","FALSE","QA","03. HSW Tank Foundation"
"761ee1f8-f7e3-4ae9-8503-70fc79c1f48e","","checklist-sectioned","not-started","Add New Area (All checklists)","checklist","FALSE","FALSE","QA","04. Alum Tank & Bund"
"16a93f29-8b64-40e8-a6b9-a2e2204789c2","","checklist-sectioned","not-started","Add New Area (All checklists)","checklist","FALSE","FALSE","QA","05. Transformer and RMU Base"
"a9a3d316-5951-4aae-97b1-659b91e41464","","checklist-sectioned","not-started","Add New Area (All checklists)","checklist","FALSE","FALSE","QA","06. Perimeter and Influent Pipe Supports"
"0c5a0952-cfa4-4939-b3e3-00e5eef740be","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations"
"dc93a835-aa3c-478b-8698-bef343307f20","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Client Instructions"
"a513607b-ca24-4439-9df6-ffa55b1c31eb","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Meeting Minutes"
"8300f1fa-900c-40ca-ae41-d623847d4093","","folder-normal","pass","","step","TRUE","FALSE","Daily Pre-starts and Risk Assessments"
"060a5b7c-b3d6-484d-a92d-866f812b6b23","Child Prestart Checklist(8a6c01ec-f705-5245-b1da-ffa26b4222cc) -- Weather conditions (Existing drop down boxes to remain)(9a685268-36ea-50e1-a8a7-68c6a0a1bca7): DataPoint Select most appropriate description(68c04772-0bca-455d-aeb0-6d02d506fe4e) is missing 'select' values
Child Prestart Checklist(8a6c01ec-f705-5245-b1da-ffa26b4222cc) -- Weather conditions (Existing drop down boxes to remain)(9a685268-36ea-50e1-a8a7-68c6a0a1bca7): DataPoint Wind Strength(30f81c6c-0793-41a8-8b37-d8dcc9087c66) is missing 'select' values
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Heavy items(1095c486-c483-421a-ba31-5a7f72f4ace3) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Sharp ends of bars(1e4d10b0-a727-4dd4-b932-3df091bfba1b) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Working on elevated areas(62bc9757-0f2f-4022-bd9a-0d57749bf31a) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Working on Scaffold platforms(0cc6da97-1dec-47e8-ac54-e076c54a2510) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Cutting bars with a Grinder(761b8202-75e7-475a-b6d2-fbf07c68a288) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Un protected bar ends(28239c1a-c238-455b-b534-9cb950fc7486) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Stacked material(77541b5c-a701-4bfb-95db-a73a2dfbe5a4) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Holes on Floors(69f2935c-f480-4629-afd9-0e8e22eb5a09) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Trap doors for access on elevated sections(5db78b1d-c363-4165-b82d-e40979497971) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Installing long bars that can fall into adjacent area(b7d7e162-89b8-460d-89f4-f7c82abb4812) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Installed reinforcing on surface area to be walked on(c674bf4c-d9f8-4c8b-91e3-67f97c942595) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Small items falling from height(eb3e854a-c79b-4b93-866b-93ecab0a7cea) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Bars falling from height(53e2520e-f00a-4a6c-b96d-56c668977613) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Injure back(a31ac59a-5be0-46c9-aaa6-a601d13436dc) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Injure Ankle(e977385b-096c-49fa-bcf3-31f79c6e8410) has hidden property width:50
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Injure Eyes(d0a9bf19-f2ce-429c-a283-72cda88e8955) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Falling from height(5e5ba559-bd7a-4c36-b576-73472a93ec27) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Cuts on hands, legs or other body parts(42f39406-57be-481c-8157-8cc4982592dd) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Falling through hole(98afe031-c46c-48ff-9a65-31be1718e74e) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Stacked material could collapse and roll or fall on people(e638e471-4d72-4d70-8b6a-3808c4ee474b) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Fingers cut or amputated(ce65a7ed-3c99-476d-bede-b1a9246352fd) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Sparks into eyes or burns on skin from sparks(4a1662e0-5f4b-4e76-b389-cac436485016) has hidden property width:100
Child Risk Assessment(3d8e2860-f1fb-5dc5-8f44-1b78f98c7af4) -- Task Description(95af6fc8-4e9f-5565-a128-1cccb0dcfbd6): DataPoint Finger or foot can get pinched(50852f28-1452-4eae-998d-c634d853a07a) has hidden property width:100","checklist-sectioned","pass","Add Daily Prestart checks","checklist","FALSE","FALSE","Daily Pre-starts and Risk Assessments","Prestart Checklist - Date: 29/08/2022"
