"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6d6cc5f6-8fcf-4b9f-b247-b6c93fea4898","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"c2643cab-945d-4c92-a77f-26afbadd8ee8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Podium"
"0e1839c0-ea20-484f-b45a-033e82dd8756","","not-started","","folder","TRUE","FALSE","Site QA","Podium","Zone 1"
"5d947f2f-9757-47dc-9587-b24d2d20f690","","not-started","TP 01 - Application of Waterproofing Template (Planter Boxes)","checklist","FALSE","FALSE","Site QA","Podium","Zone 1","Planters"
"8237ab9a-80ce-4f4d-b484-ce4a24eb53db","","not-started","ITP 03 - Application of Waterproofing Template (External Membrane Under Screed)","checklist","FALSE","FALSE","Site QA","Podium","Zone 1","Membrane Under Screed"
"2456c7b9-0305-41f3-b5cd-31c0cac30e12","","not-started","","folder","TRUE","FALSE","Site QA","Podium","Zone 2"
"1325f2cb-6d33-4d12-bc47-afd055dbd9ee","","not-started","TP 01 - Application of Waterproofing Template (Planter Boxes)","checklist","FALSE","FALSE","Site QA","Podium","Zone 2","Planters"
"85689e26-743f-4a1a-98a3-6c23a196c75f","","not-started","ITP 03 - Application of Waterproofing Template (External Membrane Under Screed)","checklist","FALSE","FALSE","Site QA","Podium","Zone 2","Membrane Under Screed"
"f15f85c1-a0af-420c-8ba0-09db6bd4d5dd","","not-started","","folder","TRUE","FALSE","Site QA","Podium","Zone 3"
"b390b90f-24d9-405c-b5ee-4936f2959f48","","not-started","TP 01 - Application of Waterproofing Template (Planter Boxes)","checklist","FALSE","FALSE","Site QA","Podium","Zone 3","Planters"
"78811b2c-c4d9-4a0f-a8be-359a4f0f68e0","","not-started","ITP 03 - Application of Waterproofing Template (External Membrane Under Screed)","checklist","FALSE","FALSE","Site QA","Podium","Zone 3","Membrane Under Screed"
"5c3e14e2-6ce6-4dfa-8edb-84abbd53cdc5","","pass","","folder","TRUE","FALSE","Site QA","Podium","Zone 4"
"4e7073ee-ab93-4db3-9386-92f2e8cdf2ed","","pass","TP 01 - Application of Waterproofing Template (Planter Boxes)","checklist","FALSE","FALSE","Site QA","Podium","Zone 4","Planters"
"2e2e6fdd-a567-4752-9aa3-b97e60e6d2e5","","pass","ITP 08 - Application of Waterproofing Template (Podium)","checklist","FALSE","FALSE","Site QA","Podium","Zone 4","ITP 08 - Application of Waterproofing Template (Podium)"
"a6bdc177-9dc5-4094-b601-dcdf93add943","","pass","","folder","TRUE","FALSE","Site QA","Podium","Zone 5"
"5cdb9a12-038e-43ff-adf7-c6f7d306beab","","pass","TP 01 - Application of Waterproofing Template (Planter Boxes)","checklist","FALSE","FALSE","Site QA","Podium","Zone 5","TP 01 - Application of Waterproofing Template (Planter Boxes)"
"21bf0699-b7cc-4882-bb97-936fe767b79e","","pass","ITP 08 - Application of Waterproofing Template (Podium)","checklist","FALSE","FALSE","Site QA","Podium","Zone 5","ITP 08 - Application of Waterproofing Template (Podium)"
"58b8686d-3c5c-45b7-b682-4ed833195ba0","","work-in-progress","","folder","TRUE","FALSE","Site QA","School"
"ead88f90-b1b9-4497-9fc4-06ab2009dee3","","pass","ITP 04 - Application of Waterproofing Template (Balconies UV Stable)","checklist","FALSE","FALSE","Site QA","School","Level 2"
"ff04db7f-5842-4281-b8e0-9b3aa3b3e86a","","pass","ITP 04 - Application of Waterproofing Template (Balconies UV Stable)","checklist","FALSE","FALSE","Site QA","School","Level 3"
