type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,
checklist,CHK-001-CIV-Stormwater Drainage Pipes Installation,itp,,,,Yes,CHK-001-CIV-Stormwater Drainage Pipes Installation Rev 1,f23e8c72-1285-4052-838f-3463eb36ef27,,,,,,,,,,,
section,1 - Referenced Documentation,,,,,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,,,,,
note,Document Title: CHK-CIV-CAMMS-Stormwater Drainage Pipes Installation,,,,,,,,,,,,,,,,,,
note,ITP Description: CAMMS-Stormwater Drainage Pipes Installation,,,,,,,,,,,,,,,,,,
note,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,
note,Revision Number: A,,,,,,,,,,,,,,,,,,
note,Revision Date: [Date of Approval],,,,,,,,,,,,,,,,,,
note,ITP created by: Victor Mira,,,,,,,,,,,,,,,,,,
note,ITP approved for use by: [Approval Authority],,,,,,,,,,,,,,,,,,
label,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701,,,,,,,,,,,,,,,,,,
label,1.2 - Main ITP,,,,,,,,,,,,,,,,,,
label,REFERENCE: ITP-CIV-CAMMS-Stormwater Drainage Rev 0,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: This ITP Should be used in Conjunction with ITP-CIV-CAMMS-Stormwater Drainage Rev 0,,,,,,,,,,,,,,,,,,
textbox,Enter: Main ITP Lot Number,,,,,,,,,,,,,,,,,,
section,2 - Preliminaries - Materials,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Bedding,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Materials used for bedding and selected backfill shall be free from perishable matter and lumps and Shall conform with the Material Approval in the Main ITP.,,,,,,,,,,,,,,,,,,
label,ATTACH: Bedding Material Delivery Docket,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Material Delivery Docket,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Backfill Material,,,,,,,,,,,,,,,,,,
label,REFERENCE: VR 701,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Materials used for bedding and selected backfill shall be free from perishable matter and lumps and shall conform with the Material Approval in the Main ITP. ,,,,,,,,,,,,,,,,,,
label,ATTACH: Backfill Material Delivery Docket,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,,,
