"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"181b8919-19aa-4e2c-87e8-9332abe1a4e2","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"02072b7f-b057-51f1-9051-2c4e1238f55e","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Lot 1"
"78108b51-5698-554f-81f4-904582daafe7","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Lot 1","Earthworks"
"ba7e9415-dda6-54d5-9ed3-18b9e51e704b","","checklist-flat","pass","QA - Detailed Excavation -","checklist-flat","FALSE","FALSE","Site QA","Lot 1","Earthworks","Detailed Excavation"
"82a3aa81-8a8d-5708-8fdc-b5f559b70ae6","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Services Located"
"994fbd60-3bf3-5b2b-80bb-40ce86f21349","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Location accurate"
"214f7057-04e0-5f3b-b93c-83bbe3688e35","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Topsoil stripped completely"
"4cd86227-df7e-5c9f-8c63-3c866edadf7e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Building pads set out correctly with RLs as required for cut/fill"
"7de0d35b-e368-58d0-bfaa-10f004f2a48b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Correct cut back for walls/foundations"
"e1b202b1-d0f7-58f3-86e8-258d47d42e2c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Geotech Engineer Inspection"
"869be14f-c022-5d6f-8069-a3eadc69e020","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Detailed excavation completed, reviewed and approved"
"17b284cb-d3f2-5cac-8069-5f087ca7b7b1","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Lot 1","Stormwater"
"db890b43-3931-5358-8194-842c99749de5","","checklist-sectioned","pass","QA - Pipeline Installation Checklist","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1"
"f293b2ef-a930-5ba4-be69-63184691052e","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying"
"f2f4a6c3-9f48-546c-b0a2-ff3eeb1099e9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","Latest consented drawings"
"bcb39ce0-50f8-5e14-b13c-29075e62fae3","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","Setout completed checked and accurate"
"922fdec2-79a5-5b5d-b90b-45e9a839b330","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","Services Located and before you dig plans checked"
"898de563-aeaa-5673-908f-7b1b0e287fc5","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","All junctions marked out and run through with operator"
"b52fb404-e793-5146-b6b1-f392c55c2186","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","Laser grade checked. Correct +/-. Benching required if >1.5m"
"8afb0f8e-a74a-50d8-ba01-8d085c6edfb1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","Laser checked for line with string line"
"70be8b8d-3d2c-521d-8387-150babd3f693","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","Correct trench width for pipe size"
"05bfe309-d44d-5100-a3b9-0bce85f0feb1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","Starter checked for fall. Starter epoxyed to seal from water."
"0fa295fc-fbd8-5426-8490-195faedd697e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","Corbel installed with suitable bedding around pipe (Photo Required)"
"5cd5c395-ae7c-50b7-923e-c11ec8e620c9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","Ground Conditions Checked & Acceptable"
"fc934c9a-98b1-51e7-b95c-03ec85cde1c7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying","General photos during pipe laying"
