type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,
checklist,ITP-041 - Rail Expansion Joint Installation Rev1,itp,,,,,ITP-041 - Rail Expansion Joint Installation Rev1,,,,,,,
section,Preliminary Works,,,,,,,,,,,,,
checkpoint,1.1 Check for correct documentation,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing works,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure that all employees and contractors are using the most current and complete set of drawings ,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: Design Drawings and Register,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,1.2 Implementation of all measures and controls,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing works,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, JSEA, SWMS & WP",,,,,,,,,,,,,
label,• Ensure that all employees and contractor involved in the welding process and are signed onto the relevent hot works permit,,,,,,,,,,,,,
label,"REFERENCE DOCUMENTS: PSP, EMP, TMP, JSEA, SWMS, WP",,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,1.3 Check materials and expansion joint systems,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing works,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Check rail surface is free from any profile deformation and is straight, no crippled or deformed rail is to be used",,,,,,,,,,,,,
label,• Check condition of rail sleepers / pandrols,,,,,,,,,,,,,
label,• Ensure rail jewellery is of sound condition,,,,,,,,,,,,,
label,• Ensure expansion joint box are of adequate condition,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: AS 1085 IFC Drawings,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,
label,"RESPONSIBILITY: Client, Fulton Hogan Engineer",,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,1.4 Welders qualifications,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing works,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Welders shall be trained and compliant in Aluminothermic Welding Requirements;,,,,,,,,,,,,,
label,• TLIW2012 Grind Rails,,,,,,,,,,,,,
label,• TLIW3015 Weld Rails using Aluminothermic welding process,,,,,,,,,,,,,
label,• TLIW3035 Heat & cut materials using oxy-LPG equipment for the rail industry,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 Appendix C,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,1.5 Ultrasonic testers qualifications,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing works,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ultrasonic testers shall be trained and qualified to AINDT Technician level and shall be experienced in rail weld testing. Certification shall be provided to and approved by the Superintendent prior to commencement of testing.,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 Appendix C,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
section,Expansion Joints Works,,,,,,,,,,,,,
checkpoint,2.1 Gap setting,,,,,,,,,,,,,
label,FREQUENCY: Each box,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure the box is set to the manufacturer's gap setting and temperature criteria. As below; ,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: Prazska Drawing 1PA.031.000.00.00.1,,,,,,,,,,,,,
label,"• IFC Drawings 1674-TC-202, 1674-TC-203, 1674-TC-204",,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,2.2 Installation of expansion joint system,,,,,,,,,,,,,
label,FREQUENCY: Each expansion joint box ,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Ensure the expansion joints are installed in the correct direction. I.e., moving and fixed end are in correct orientation. ",,,,,,,,,,,,,
label,"REFERENCE DOCUMENTS: IFC Drawings 1674-TC-202, 1674-TC-203, 1674-TC-204",,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,2.3 Grouting,,,,,,,,,,,,,
label,FREQUENCY: Each box ,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Contractor to ensure that non-shrinking grout fill is installed between bridge deck and rail expansion joint system. ,,,,,,,,,,,,,
label,"REFERENCE DOCUMENTS: IFC Drawings 1674-TC-202, 1674-TC-203, 1674-TC-204",,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,2.4 Construction of expansion joint,,,,,,,,,,,,,
label,FREQUENCY: Each expansion joint box ,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure rubber boots are installed per manufacturers requirements prior to concreting. ,,,,,,,,,,,,,
label,• Use anchoring plates to hold the rail expansion joints in position.,,,,,,,,,,,,,
label,• Ensure that all collapsed grooves are reformed. ,,,,,,,,,,,,,
label,"REFERENCE DOCUMENTS: IFC Drawings 1674-TC-202, 1674-TC-203, 1674-TC-204",,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,2.5 Expansion joint bonding system,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure bonds are sealed as per agreed method with Yarra Trams,,,,,,,,,,,,,
label,• Ensure the rail bond is correctly positioned from old 41kg rail,,,,,,,,,,,,,
label,"REFERENCE DOCUMENTS: CE-019-ST-0033 cl 4.5.4 IFC Drawings 1674-TC-202, 1674-TC-203, 1674-TC-204",,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Inspection / Test Method,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
section,Construction Works,,,,,,,,,,,,,
checkpoint,3.1 Installation of pandrol plate,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Pandrol plates to be installed as required/instructed by the client,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 cl 4.8.3,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,3.2 Placement of rail,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All track work, including expansion joint systems shall confrom to alignment, offset, level and cant as per design drawings and track charts",,,,,,,,,,,,,
label,• Bottom of rail and bearing surface shall be clean of foreign materials before laying,,,,,,,,,,,,,
label,"• Track Gauge shall be calibrated to 1435mm with a tolerance of +3mm , using an approved measuring device",,,,,,,,,,,,,
label,• Geometry tolerances as follows:,,,,,,,,,,,,,
label, – Centreline location: +/- 3mm ,,,,,,,,,,,,,
label, – Level: +/- 3mm,,,,,,,,,,,,,
label, – Line measured (>10m chord): +/- 3mm,,,,,,,,,,,,,
label, – Twist (3.5m chord): +/- 2mm,,,,,,,,,,,,,
label, – Cant: +/- 3mm ,,,,,,,,,,,,,
label," – Gauge (open track): +3mm, -0mm ",,,,,,,,,,,,,
label,Note: Cant shall be applied uniformly over transitions,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 cl 4.6.10,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: Completion of track charts,,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,3.3 Placement of jewellery,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Each pandrol shall be fastened to track with approved jewellery and rail clips,,,,,,,,,,,,,
label,• Clips shall be installed with panpuller or equivalent ,,,,,,,,,,,,,
label,• All fasteners shall be sealed as per agreed method with Yarra Trams,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 cl 4.8,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,WP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,3.4 Rail end preparation,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Rails shall be saw cut or flame cut ,,,,,,,,,,,,,
label,• Minimum closure length from proximity of welds shall be 2m,,,,,,,,,,,,,
label,• Rail end conditions shall match (i.e flame cut - flame cut),,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 cl 4.9 & Appendix C Code of Practise SkV Elite Welding Proc.,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,WP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,3.5 Welding of rail,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Joints shall be square across the track ,,,,,,,,,,,,,
label,• Maximum skew at square joints shall be 65mm,,,,,,,,,,,,,
label,"• Portions shall match rail type (i.e HHR, Ordinary) ",,,,,,,,,,,,,
label,• Welds shall not be within:,,,,,,,,,,,,,
label, – 3m of another weld,,,,,,,,,,,,,
label, – 3m of a rail end,,,,,,,,,,,,,
label, – 1.5m of a glued insulation joint assembly,,,,,,,,,,,,,
label,• Field welds shall be +/- 50mm from centre of bay between sleepers,,,,,,,,,,,,,
label,• Weld Return forms shall be completed by qualified welder ,,,,,,,,,,,,,
label,• Welds shall be grinded after 1 hour ,,,,,,,,,,,,,
label,• Welds shall be free of water,,,,,,,,,,,,,
label,"• Post grinding, welds shall be cleaned for visual inspection",,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 ccl 4.9. & Appendix C AS1085 Code of Practise SkV Elite Welding Proc.,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,TP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,3.6 Grinding & cleaning welds,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: The weld shall be ground smooth to the exact rail head profile after it has sufficiently cooled (not earlier than one hour after pouring). The grinding stroke should not exceed 500 mm to each side of the weld.,,,,,,,,,,,,,
label,• Welds shall be cleaned of sand and cast metal residues to permit a thorough visual inspection.,,,,,,,,,,,,,
label,• The vertical tolerance of the weld (of a 1m straight edge) shall be 0mm for dip and between 0mm and 0.5mm for peak.,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 Appendix C ,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,3.7 Track adjustment,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Allowance must be made for expansion and contraction of rail to control stress. The required adjustment depends on rail temperature at time of laying and/or adjusting the rail lengths.,,,,,,,,,,,,,
label,"• In hot weather, it may be necessary to anchor the track temporarily to avoid expansion while the next section is laid or adjusted to avoid creep.",,,,,,,,,,,,,
label,• Each rail length shall be adjusted in accordance with the rail adjustment table and shall be anchored to standard pattern in accordance with Standard Drawing STD_T9008.,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 Appendix C STD T9008,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,3.8 Reinforcement,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure that all reinforcement is placed as specified by construction drawings. ,,,,,,,,,,,,,
label,"• All placed reinforcement shall be clean and free from grease, tar, oil, paint, mud, loose or thick rust, etc.",,,,,,,,,,,,,
label,• Reinforcing mesh shall be handled carefully to prevent distortion. They shall be lapped and tied with wire at a maximum spacing of 500 mm.,,,,,,,,,,,,,
label,• Reinforcement shall be terminated 75 to 80 mm from dowelled contraction joints.,,,,,,,,,,,,,
label,"• Reinforcement shall terminate at least 40 mm and not more than 80 mm from longitudinal construction joints, or pavement edges.",,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 CL 4.7.7,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP Signed Off,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,3.9 Dowels,,,,,,,,,,,,,
label,FREQUENCY: Where Required,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure that all dowels are placed as specified in the construction drawings,,,,,,,,,,,,,
label,"• All dowels shall be one-piece, straight, plain round steel bars complying with the requirements of AS 1302 and of the size shown on the drawings",,,,,,,,,,,,,
label,"• Dowels shall be clean and free from mill scale, loose rust or oil.",,,,,,,,,,,,,
label,• Ensure that all dowels are securely held in their correct position until the concrete has set.,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 CL 4.7.8,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Verify,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer ,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
checkpoint,3.10 Pre pour inspection,,,,,,,,,,,,,
label,FREQUENCY: Prior to start,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Verification of track gauge calibration; a site test shall be conducted by checking measurement accuracy in a 180 degree diference in gauge placement,,,,,,,,,,,,,
label,"• Contractor and Superintendent shall verify dimensions, levels and alignments of all formworks, reinforcement, rail levels, rail joint welding, track bonding, system drainage are satisfactory for the expansion joint systems ",,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 ,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Inspection / Test Method,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: FH Track Inspection,,,,,,,,,,,,,
label,HP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer / YT Superintendent,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,
checkpoint,3.11 Post pour inspection,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Ensure finished surface of concrete is of high standard, with a uniform and level surface in accordance with pavement thickness and levels specified in the drawings",,,,,,,,,,,,,
label,• Ensure no defects are present in slab,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: CE-019-ST-0033 ,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: Post pour checklist,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer ,,,,,,,,,,,,,
