"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1ec5c7fe-b96c-4913-a49c-d82a0f8627f0","","fail","","folder","TRUE","FALSE","Building A"
"eed51ddb-790c-4f47-af59-6dc396547425","","work-in-progress","","folder","TRUE","FALSE","Building A","Level 1"
"fbe73e66-51a6-4eb3-a7b4-8641eb8b7d03","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.002 - Consult / Interview Room"
"18e8e3e2-2616-4199-8b09-9303d65b22ff","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.003 - Consult / Interview Room"
"e8ff9057-6018-49dc-8b96-b44248476580","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.004 - Consult / Interview Room"
"db89f323-b629-4187-8321-729850ddff18","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.005 - Consult Room"
"3ea76924-e17c-4afd-8a81-024db9d94a63","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.006 - Consult / Interview Room"
"dad2daa2-e0bc-495e-a18a-3f9f5c2f573d","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.007 - Consult / Interview Room"
"c3670f66-99c3-40f3-94d8-4d181da196ec","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.008 - Consult / Interview Room"
"a0ecad0c-a372-49ff-b1f4-d74596b31549","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.009 - Consult / Interview Room"
"f2a608b1-205f-4a46-b102-e59d7d40147c","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.011 - Consult / Interview Room"
"88fb5910-77b9-49c6-89f8-18f71f0b9978","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.012 - Consult / Interview Room"
"5e69a48b-f65c-4985-9fc1-34df7bdb5f08","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.014 - Consult Room"
"5a5dec25-549f-4840-ba84-cd2713c5426b","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.016 - Waiting Room "
"a2b82800-4260-4576-97e0-e1a843478aa9","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.024 - Consult Room"
"1aaa5969-153f-4c04-a555-318df4b22f0a","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.028 - Group Room, Large"
"caae006c-b0c8-4300-8396-3f65123080eb","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.031 - Circulation"
"63ebb0cf-6610-4d7e-8d32-802c2d907c11","","work-in-progress","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.032 - Reception / Clerical"
"2cf0f50c-4d82-4362-8b08-67030e2468a2","","not-started","ITP SIGN OFF CATEGORIES","checklist","FALSE","FALSE","Building A","Level 1","01.A.049 - Physiotherapy Assessment Room"
