"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2a80f5cf-1e30-404b-8a60-cc18211cda82","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"efab4890-a84d-4b49-b83e-1d4227a972b3","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA"
"38b7655d-450e-495e-a400-8347b591bc9c","","folder-normal","not-started","","step","TRUE","FALSE"," QA","1no RoofSafe Cable System @ 58m - Line 01"
"135ff405-99f6-4b2a-b504-7089647b61a6","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","1no RoofSafe Cable System @ 58m - Line 01","Pre-Fit Off Checklist - Line 01"
"bc506f74-9e3f-4b95-8c8c-e9b308e9f938","","checklist-flat","not-started","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","1no RoofSafe Cable System @ 58m - Line 01","Fit Off Checklist - Line 02"
"b6722bf1-e69f-4f33-8f93-26fb80eca347","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","5no AP Type 01 Fall Arrest Anchors"
"6137af9c-26ca-4ad8-93d9-ddc7d037b64e","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","5no AP Type 01 Fall Arrest Anchors","Pre-Fit Off Checklist - 5no AP Type 01 Fall Arrest Anchors"
"79bfa9ce-59f1-40e7-b949-9c00344475be","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","5no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 01"
"cac5cb72-7ddf-405a-a5e8-eef599186764","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","5no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 02"
"94ec6a50-fd6a-48a0-a8c2-f8e33626fb7e","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","5no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 03"
"cf94152c-e000-4c59-832f-4abe5c09dc10","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","5no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 04"
"36342fb6-883c-4d67-9e77-cc4e70cb18ab","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","5no AP Type 01 Fall Arrest Anchors","Fit Off Checklist - Anchor 05"
"75e10db5-4c82-4b32-a7d4-79d397cc3de0","folder-normal must be display normal but was flat","folder-normal","no-status-started","","step","FALSE","FALSE","Roof Access Requirements"
"747d1995-a00c-4b00-b219-952c78dcbf0e","","checklist-flat","no-status-started","b2cdd24a8c5a7312e4f2eceb64abebce23144a41bf70b073529969b36cddd1d0","checklist-flat","FALSE","FALSE","Roof Access Requirements","Brief description of roof access requirements for Recert Team"
"de678497-b905-4a09-a96b-57ec64b22535","","checklist-flat","not-started","Practical Completion","checklist-flat","FALSE","FALSE","Practical Completion"
