"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"bdb2d8e4-b1b8-4e95-9cf2-e0199e963abe","","folder-normal","","","step","TRUE","FALSE","Site QA"
"01571320-087a-44f7-8015-90bd2feec6f3","","folder-normal","","","step","TRUE","FALSE","Site QA","SOG B-3"
"3e2f62de-e1ea-47f6-a29e-ac54bc1a0ae1","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-3","Lift Over Run"
"9ee859e9-e156-4e0c-aa62-f111bf9e793f","","checklist-flat","","S.O.G Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-3","SOG Edge Boards"
"157dec23-b9a0-4bfb-9f60-4acf24f16220","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-3","Centre core P2"
"494505bf-ad29-43ac-936b-0f5dd9d49211","","checklist-sectioned","","zSYS - Jump System / Climb Track Checklist (old version)","checklist","FALSE","FALSE","Site QA","SOG B-3","Centre core P2"
"ccedd3c0-d008-4b91-9469-f390292ffff7","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-3","B3 pad footings P1"
"9e594de4-6bfd-4d79-9710-40e22ab5c23e","","folder-normal","","","step","TRUE","FALSE","Site QA","Basement 3"
"2cc01ba8-73f8-4df6-ada8-a61b06be7572","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Columns"
"40a63423-a732-425a-b10d-586007a983cf","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Walls"
"fc1a7301-e199-4be1-b30f-172ae4dc39d9","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 3","Slab"
"8f832fda-a8b0-47a5-8b5e-49e2108ccead","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Basement 3","Stairs"
"aa3359d8-199e-4e19-b4cb-6fda3533d8c6","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 3","B3 P1"
