Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Overall Progress,,,,,,
,Scope,,,Site QA,,
,Rows,,,,,
,,Site QA,grouping,Site QA,,
,,External Works Site Plan Sheet 1,,External Works Site Plan Sheet 1,Site QA,
,,External Works Site Plan Sheet 2,,External Works Site Plan Sheet 2,Site QA,
,,Production Area Sheet 1,,Production Area Sheet 1,Site QA,
,,Production Area Sheet 2,,Production Area Sheet 2,Site QA,
,,Office Layout Ground Floor,,Office Layout Ground Floor,Site QA,
,,Office Layout Level 1,,Office Layout Level 1,Site QA,
,,Office Layout Rooftop,,Office Layout Rooftop,Site QA,
,,Amenities - WH Dock Office,,WH Dock Office,Amenities,Site QA
,,Amenities - Warehouse Amenities 1,,Warehouse Amenities 1,Amenities,Site QA
,,Amenities - Production Amenities,,Production Amenities,Amenities,Site QA
,,Amenities - Office Grd Floor Amenities,,Office Grd Floor Amenities,Amenities,Site QA
,,Amenities - Office First Floor Amenities,,Office First Floor Amenities,Amenities,Site QA
,,Amenities - Main Office Ground Floor,,Main Office Ground Floor,Amenities,Site QA
,Columns,,,,,
,,"Cold, Heated Water & Recycled Water",,"Cold, Heated Water & Recycled Water",,
,,Hose Reels,,Hose Reels,,
,,Hydrants,,Hydrants,,
,,Hydraulic Pumps,,Hydraulic Pumps,,
,,Stormwater,,Stormwater,,
,,Sanitary Fixtures & Tapware,,Sanitary Fixtures & Tapware,,
,,In Ground Sewer Drainge,,In Ground Sewer Drainge,,
,,Sanitary Plumbing,,Sanitary Plumbing,,
,,Commissioning of Plant and Equipment,,Commissioning of Plant and Equipment,,
,,Trade Waste Drainage,,Trade Waste Drainage,,
,,Penetrations and Core Holes,,Penetrations and Core Holes,,
,,"Rough Ins (Cold, Hot, Warm & Recycled Water and Gas) ",,"Rough Ins (Cold, Hot, Warm & Recycled Water and Gas) ",,
,,,,,,
"ITP 001 Hydraulics - Cold, Heated Water & Recycled Water",,,,,,
,Scope,,,"Cold, Heated Water & Recycled Water",,
,Rows,,,,,
,,Scope of work,grouping,Scope of work,,
,,Check documents are current & for construction,,Check documents are current & for construction,Scope of work,
,,Check levels & falls,,Check levels & falls,Scope of work,
,,Competency,grouping,Competency,,
,,Trade Registration,,Trade Registration,Competency,
,,Set Out,grouping,Set Out,,
,,Mark out pipe and fixture locations and co-ordinate with other trades. Ensure that correct fixture information is being used,,Mark out pipe and fixture locations and co-ordinate with other trades. Ensure that correct fixture information is being used,Set Out,
,,Existing services have been located and marked out as appropriate (eg/dial before you dig drawings) and the Services Subcontractors own services scan carried out,,Existing services have been located and marked out as appropriate (eg/dial before you dig drawings) and the Services Subcontractors own services scan carried out,Set Out,
,,Pipes Support,grouping,Pipes Support,,
,,Pipes to be supported as per AS 3500. Extra supports to be added to prevent pipe movement caused by water pressure effects,,Pipes to be supported as per AS 3500. Extra supports to be added to prevent pipe movement caused by water pressure effects,Pipes Support,
,,Valves,grouping,Valves,,
,,Check valves for water mark approval.,,Check valves for water mark approval.,Valves,
,,Piping,grouping,Piping,,
,,Pipework sizes as per for construction drawings.,,Pipework sizes as per for construction drawings.,Piping,
,,"Pipework is in accordance with the IFC drawings, sample submission and specification",,"Pipework is in accordance with the IFC drawings, sample submission and specification",Piping,
,,Pipe/conduit locations and alignment is in accordance with design requirements,,Pipe/conduit locations and alignment is in accordance with design requirements,Piping,
,,Minimum separation of underground services is achieved,,Minimum separation of underground services is achieved,Piping,
,,Cast Ins / Penetrations / Blockouts installed to IFC detail and signed off on pre pour ITP,,Cast Ins / Penetrations / Blockouts installed to IFC detail and signed off on pre pour ITP,Piping,
,,Pipe/conduit penetrations in accordance with approved services location.,,Pipe/conduit penetrations in accordance with approved services location.,Piping,
,,Penetrations are of suitable height and have been capped where required.,,Penetrations are of suitable height and have been capped where required.,Piping,
,,Pipework penetration collars/isolation is in accordance with specified requirements,,Pipework penetration collars/isolation is in accordance with specified requirements,Piping,
,,Pipework have been installed without damage,,Pipework have been installed without damage,Piping,
,,Pipework Joints have been appropriately treated/glued,,Pipework Joints have been appropriately treated/glued,Piping,
,,Pipe/conduit compliance record/certificate,,Pipe/conduit compliance record/certificate,Piping,
,,Thrust blocks installed as per detail,,Thrust blocks installed as per detail,Piping,
,,Protruding services have been adequately protected from future construction damage,,Protruding services have been adequately protected from future construction damage,Piping,
,,Insulation,grouping,Insulation,,
,,"Specifications, design documentation and issued for construction drawings",,"Specifications, design documentation and issued for construction drawings",Insulation,
,,Marking & Labelling,grouping,Marking & Labelling,,
,,Underground pipework to have identification tape installed.,,Underground pipework to have identification tape installed.,Marking & Labelling,
,,All marking tape is in accordance with Australian Standards,,All marking tape is in accordance with Australian Standards,Marking & Labelling,
,,Pits,grouping,Pits,,
,,"Specifications, design documentation and issued for construction drawings (AS 3500)",,"Specifications, design documentation and issued for construction drawings (AS 3500)",Pits,
,,Testing,grouping,Testing,,
,,"Prior to testing the system shall be flushed of all foreign matter. Hydrostatic pressure test before backfilling, lagging & covering. Pipework with elastomeric or RRJ shall be backfilled leaving the joints exposed. Test as per AS 3500.4. 1500 KPA for 30 min. No leaks are acceptable. Some fixtures cannot handle 1500 KPA.These items are to be disconnected for the 1500 KPA test then reconnected and tested at their maximum operation pressure for 30 min",,"Prior to testing the system shall be flushed of all foreign matter. Hydrostatic pressure test before backfilling, lagging & covering. Pipework with elastomeric or RRJ shall be backfilled leaving the joints exposed. Test as per AS 3500.4. 1500 KPA for 30 min. No leaks are acceptable. Some fixtures cannot handle 1500 KPA.These items are to be disconnected for the 1500 KPA test then reconnected and tested at their maximum operation pressure for 30 min",Testing,
,,Backfill Compaction,grouping,Backfill Compaction,,
,,"Backfill pipe with sand and fill balance of trench with selected excavated spoil. Photographs of installed services prior to backfill. Bedding material is in accordance with the IFC drawings, sample submission and specification. Bedding material grading certificate to be provided. Trench backfill material is in accordance with the IFC drawings, sample submission and specification.",,"Backfill pipe with sand and fill balance of trench with selected excavated spoil. Photographs of installed services prior to backfill. Bedding material is in accordance with the IFC drawings, sample submission and specification. Bedding material grading certificate to be provided. Trench backfill material is in accordance with the IFC drawings, sample submission and specification.",Backfill Compaction,
,,Final Trim / Clean Site,grouping,Final Trim / Clean Site,,
,,Final clean and grade site area affected by the water services scope of works. Excess spoil removed in accordance with terms of contract,,Final clean and grade site area affected by the water services scope of works. Excess spoil removed in accordance with terms of contract,Final Trim / Clean Site,
,,All Authority approvals have been received with Supporting records from Services Subcontractors,,All Authority approvals have been received with Supporting records from Services Subcontractors,Final Trim / Clean Site,
,,Final Inspection / Completion,grouping,Final Inspection / Completion,,
,,"Verify all inspections, complete records. All Authority approvals have been received with Supporting records from Services Subcontractors",,"Verify all inspections, complete records. All Authority approvals have been received with Supporting records from Services Subcontractors",Final Inspection / Completion,
,,Record Drawings,grouping,Record Drawings,,
,,"Provide Requirement as per contract documentation including Dimensioned, Surveyed, Falls, Locations, Components",,"Provide Requirement as per contract documentation including Dimensioned, Surveyed, Falls, Locations, Components",Record Drawings,
