type,name,values,prefix,postfix,usage count,user addable,template name,Resource ID,,,,,,,
checklist,ITP-190-CIV-SSB-Subsoil Drainage,itp,,,,,ITP-190-CIV-SSB-Subsoil Drainage Rev 0,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,
label,Document Title: ITP-190-CIV-SSB-Subsoil Drainage,,,,,,,,,,,,,,
label,ITP Description: SSB-Subsoil Drainage,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 190-CIV,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,
label,Revision Date: 14/08/2024,,,,,,,,,,,,,,
label,ITP created by: Victor Mira,,,,,,,,,,,,,,
label,ITP approved for use by: Victor Mira,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,
label,Reference: VicRoads Section 702 (May '19),,,,,,,,,,,,,,
section,Precast Deliveries,,,,,,,,,,,,,,
checkpoint,2.1 Pipes,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings VR 702.04,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All subsurface drainage shall be Category 1, 100mm DIA Class 1000 Perforated Plastic Pipe. Perforations shall be max 1.5mm and minimum length of 150mm per sqm",,,,,,,,,,,,,,
textbox,Reference: Material approval in Teambinder:,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,"METHOD: Verify, Document Review",,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,FREQUENCY: When applicable,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/Nominated Authority,,,,,,,,,,,,,,
