"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"271f6ffc-de92-48e0-9310-e41d2b3fba2b","","folder-normal","work-in-progress","","step","TRUE","FALSE","B02"
"7e9a9177-11b3-4881-83be-75b646be2900","","checklist-flat","pass","Pre-commencement Checklist","checklist-flat","FALSE","FALSE","B02","Pre-commencement checklist"
"4955faf1-8860-43a0-b110-e292e8ea3d05","","checklist-flat","not-started","48647645aba31838f6b677c9ac625876a88821f09fc66ed588d1e568ae23bed8","checklist-flat","FALSE","FALSE","B02","Handover Checklist"
"d9b512cc-b7dd-4e1d-81ca-4c1c58c2ae7d","","checklist-sectioned","pass","Warm Roof Checklist","checklist","FALSE","FALSE","B02","Finger A"
"33a5b74f-1e4e-4436-b0aa-7670142ca7fd","","checklist-sectioned","pass","Warm Roof Checklist","checklist","FALSE","FALSE","B02","Finger B"
"ab7ad742-9b6e-4f4a-9207-b9c6cf3377c3","","checklist-sectioned","pass","Warm Roof Checklist","checklist","FALSE","FALSE","B02","Finger C"
"e718e644-e105-48aa-b718-ebcd5731071e","","checklist-sectioned","work-in-progress","287c1c09098560021fc7ff0f80bd99cb52dc6d2568decca05b065078355d587b","checklist","FALSE","FALSE","B02","Finger D"
"31e7eba7-bdcb-4111-8d07-1deb63b63495","","checklist-sectioned","work-in-progress","Warm Roof Checklist","checklist","FALSE","FALSE","B02","Finger E"
"d5a0478f-3e44-4737-a6de-bbdf0976fabb","","checklist-sectioned","pass","Warm Roof Checklist","checklist","FALSE","FALSE","B02","Finger F"
"8be73295-da72-46b4-9e8f-d0da577b2e80","","checklist-sectioned","pass","Warm Roof Checklist","checklist","FALSE","FALSE","B02","Finger G"
"54238805-f5d2-45fd-ba59-1b04efe701bc","","checklist-sectioned","pass","Warm Roof Checklist","checklist","FALSE","FALSE","B02","Finger H"
"145a0380-bb46-4ba0-a9d1-56f676a4685a","","folder-normal","work-in-progress","","step","TRUE","FALSE","B03"
"c817ccb6-26e8-4f20-bc84-782742898c9b","","folder-normal","pass","","step","TRUE","FALSE","B03","Site QA"
"b1dddf2d-49cd-466d-b15d-0e3c36ef706f","","checklist-flat","pass","Membrane Checklist","checklist-flat","FALSE","FALSE","B03","Site QA","Area A"
"f760c31f-67e0-46fe-af92-4c5e682f5895","","checklist-flat","pass","Membrane Checklist","checklist-flat","FALSE","FALSE","B03","Site QA","Area B"
"0c430d1a-d12e-4069-80c1-ade635dafe07","","checklist-flat","work-in-progress","Handover Checklist","checklist-flat","FALSE","FALSE","B03","Handover Checklist"
"e29145c7-a0e7-4afb-806e-b169c966e81a","","folder-normal","work-in-progress","","step","TRUE","FALSE","B04"
"b2ee566d-210d-4a65-a237-0f5889ecc367","","folder-normal","pass","","step","TRUE","FALSE","B04","Site QA"
"47dab9d1-2139-4cee-af3f-6fa6f3d2d793","","checklist-flat","pass","Membrane Checklist","checklist-flat","FALSE","FALSE","B04","Site QA","Area A"
"e8e79022-a112-4ff9-b691-9f782e7124d6","","checklist-flat","pass","Membrane Checklist","checklist-flat","FALSE","FALSE","B04","Site QA","Area B"
"18d3406b-8e62-4e5f-9ef5-04b2c75f2b03","","checklist-flat","work-in-progress","Handover Checklist","checklist-flat","FALSE","FALSE","B04","Handover Checklist"
"67c099bc-c9a2-474d-a804-f36bd4ed0db4","","folder-normal","work-in-progress","","step","TRUE","FALSE","B05"
"247deb3e-0fa5-4bd8-8d01-3cf3d4522ca5","","folder-normal","work-in-progress","","step","TRUE","FALSE","B05","Site QA"
"911b4345-bb48-4c98-8df2-2c9ab647c56d","","checklist-sectioned","work-in-progress","FC - S - Roofing","checklist","FALSE","FALSE","B05","Site QA","Area A"
"95166709-bd52-49e6-95d2-bfb53153f9c7","","checklist-sectioned","not-started","FC - S - Roofing","checklist","FALSE","FALSE","B05","Site QA","Area B"
