"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Basement","dynamic","basement","site qa"
,,"Ground Floor","dynamic","ground floor","site qa"
,,"Level 1","dynamic","level 1","site qa"
,,"Level 2","dynamic","level 2","site qa"
,,"Crane Base","dynamic","crane base","site qa"
,,"Pool & Spa","dynamic","pool & spa","site qa"
,"Columns"
,,"Formwork",,"formwork"
,,"Reinforcing",,"reinforcing"
,,"Concrete Pre-Pour",,"concrete pre-pour"
,,"Concrete Post-Pour",,"concrete post-pour"
,,"Pre-Excavation",,"pre-excavation"
,,"Excavation",,"excavation"
,,"Injured Workers Details",,"injured workers details"
,,"Incident Details",,"incident details"
,,"Treatment Details",,"treatment details"
,,"Form Details",,"form details"

