"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1e131c81-4472-4310-a523-a508d965cd3c","","folder-normal","pass","","step","TRUE","FALSE","Stage 1"
"fae69bb7-4c72-42e6-b281-5f1cf16c7857","","folder-normal","pass","","step","TRUE","FALSE","Stage 1","51"
"604f812b-ebf1-427e-8ecd-6f2659fc756d","","folder-normal","pass","","step","TRUE","FALSE","Stage 1","51","Ground"
"5a17034f-d6f2-4159-8a58-c62ed7e669fb","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","Ground","W01h-51"
"b48e8271-1a31-576b-a504-9b02e3741cd4","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","Ground","W01h-51","Opening Wrapped & Prepared Correctly"
"cf8a0d06-229a-5d5d-8321-08e11ca0a9a0","","checkpoint-status","pass","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","Ground","W01h-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"6b9aa151-47c3-5783-aac9-943ab1e6337d","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","Ground","W01h-51","Installed / Fixed As Per Shop Drawings"
"7fef13be-df2f-5772-b09f-b4e66469fb38","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","Ground","W01h-51","Airseals Completed"
"dc937293-87f8-5802-9431-7177bfcc3db8","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","Ground","W01h-51","Site Glazing Completed - Viridian Glass"
"202a0458-c10e-5682-8190-bcbe079c43f1","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","Ground","W01h-51","Trade Clean"
"8ca7df2f-1b0c-5c89-a02f-0a8a370f2da7","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","Ground","W01h-51","Wights - Sign Off"
"68fb798f-9ed7-4d43-88f7-0903e05858d9","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","Ground","W02h-51"
"95279b06-25ec-5c1b-8967-4c7b310e4c41","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","Ground","W02h-51","Opening Wrapped & Prepared Correctly"
"47388389-4451-5889-ac29-bf5c2296163a","","checkpoint-status","pass","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","Ground","W02h-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"031a6f5f-746e-5f96-80e0-01f60519c007","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","Ground","W02h-51","Installed / Fixed As Per Shop Drawings"
"52993b5c-e8f8-5239-bdb9-b50b2474a126","","checkpoint-status","pass","Residential Suite:e1c5c805-307e-46e1-b63c-3445aadd0d61","","TRUE","TRUE","Stage 1","51","Ground","W02h-51","Airseals Completed"
"a01cb9a4-b581-5396-9b1e-7ec8b5afb40c","","checkpoint-status","pass","Residential Suite:b754cab3-9fe2-44aa-a388-33a0694689b2","","TRUE","TRUE","Stage 1","51","Ground","W02h-51","Site Glazing Completed - Viridian Glass"
"35761cb8-c5df-50a3-adc3-a379028a2fa5","","checkpoint-status","pass","Residential Suite:b59821e0-248d-499f-b75f-f28c16c2b445","","TRUE","TRUE","Stage 1","51","Ground","W02h-51","Trade Clean"
"3b902196-b6ea-591a-b73a-ab1d9fb1f06d","","checkpoint-status","pass","Residential Suite:2a2a1b30-f501-428f-bd20-95c03ccfd883","","TRUE","TRUE","Stage 1","51","Ground","W02h-51","Wights - Sign Off"
"ef0bb7d3-52fc-4cba-a27a-a75090398187","","checklist-flat","pass","Residential Suite","checklist-flat","FALSE","FALSE","Stage 1","51","Ground","W03h-51"
"d7398d89-6e3a-5b84-a294-3bf5781a3bbf","","checkpoint-status","pass","Residential Suite:36b39726-5dbb-4555-a4e7-d9e9a328bc77","","TRUE","TRUE","Stage 1","51","Ground","W03h-51","Opening Wrapped & Prepared Correctly"
"899bb657-e686-57e6-98ca-9bb03eeb4e98","","checkpoint-status","not-applicable","Residential Suite:a1dd8f97-d392-4a0e-b03f-cb88d29ff49c","","TRUE","TRUE","Stage 1","51","Ground","W03h-51","Weather Seals As Per Shop Drawing (provide photo reference)"
"30ed783e-6226-5575-bb26-6b66f51d4ae6","","checkpoint-status","pass","Residential Suite:a11d5101-7888-4e47-9417-bc68307ebcfd","","TRUE","TRUE","Stage 1","51","Ground","W03h-51","Installed / Fixed As Per Shop Drawings"
