"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5496bd3b-43c6-477c-8bfc-8f754a3e9c80","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"da83bc21-93d8-5cbe-9b7a-9097e69d2bf1","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"cda5f5a5-7556-5d66-b9b4-bfbcea1b950c","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"244f7ec7-d6c0-5564-a8a0-bbe270a93001","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"3a1bb973-be14-5bcc-8442-b6bd4b53bf26","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"fcb18e33-a69b-563b-a096-ace7bdb7fe20","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"d7bdcd44-4637-532b-8f8b-a5c0e7899973","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"23730f57-f56c-43f9-81cc-eea55eb99441","","folder-normal","not-started","","step","TRUE","FALSE","QA"
"50864cac-96df-4bc1-af95-3958fa58cf06","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems"
"9a34591a-f2b1-4092-99d0-70560c67a68a","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01"
"6a0f141a-9eeb-4e63-9a54-6c3f4ba939cc","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist"
"978dd97a-fa7b-584f-ba77-5da6574cd617","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"86aaf999-3076-5a0d-931a-a6627e61b155","","holdpoint","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist","EMAIL PM"
"3f1ed991-6d96-5e48-90d2-2382b84aa62a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"3be98f6b-4542-417e-903b-de769cdb69ba","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01"
"405c53fe-5af7-5094-92b3-cb3d12dc46af","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test - 2 photos required"
"8b038510-d78b-51ea-8284-35cb742bb3a5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Photo taken of Swages - 12 photos required"
"f712b5ae-4789-562d-9792-239e6b104469","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"879c3450-069b-5b32-ba81-f389bf0054f5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Video taken of system"
"a64ae040-420d-5823-8ee4-a5427f9ca505","","checkpoint-status","not-started","","","TRUE","TRUE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"ad1db605-bb95-4400-84ae-fb6a8b1ea0ef","","folder-normal","not-started","","step","TRUE","FALSE","QA","RoofSafe Cable Systems","1No RoofSafe Cable System - Line 02"
