resource,type,Add Step,Add Post,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6
,step,,,Inground,,,,,
In Ground ITP,checklist,,,,Sewer Drains,,,,
In Ground ITP,checklist,,,,Greasey Waste,,,,
In Ground ITP,checklist,,,,Sewer Pump,,,,
In Ground ITP,checklist,,,,Grease Interceptor,,,,
,step,,,Penetrations,,,,,
,step,,,,Set Out,,,,
,step,,,,,Basement,,,
Penetrations ITP,checklist,,,,,,DDA,,
Penetrations ITP,checklist,,,,,,Female Toilets,,
Penetrations ITP,checklist,,,,,,Male Toilets,,
,step,,,,,Ground,,,
Penetrations ITP,checklist,,,,,,DDA,,
,step,,,,,Level 1,,,
Penetrations ITP,checklist,,,,,,DDA,,
Penetrations ITP,checklist,,,,,,101,,
Penetrations ITP,checklist,,,,,,102,,
Penetrations ITP,checklist,,,,,,103,,
Penetrations ITP,checklist,,,,,,104,,
Penetrations ITP,checklist,,,,,,105,,
Penetrations ITP,checklist,,,,,,106,,
Penetrations ITP,checklist,,,,,,107,,
Penetrations ITP,checklist,,,,,,108,,
Penetrations ITP,checklist,,,,,,109,,
Penetrations ITP,checklist,,,,,,110,,
Penetrations ITP,checklist,,,,,,111,,
Penetrations ITP,checklist,,,,,,112,,
Penetrations ITP,checklist,,,,,,113,,
Penetrations ITP,checklist,,,,,,114,,
Penetrations ITP,checklist,,,,,,115,,
Penetrations ITP,checklist,,,,,,116,,
Penetrations ITP,checklist,,,,,,117,,
Penetrations ITP,checklist,,,,,,118,,
Penetrations ITP,checklist,,,,,,119,,
Penetrations ITP,checklist,,,,,,120,,
Penetrations ITP,checklist,,,,,,121,,
Penetrations ITP,checklist,,,,,,122,,
Penetrations ITP,checklist,,,,,,123,,
Penetrations ITP,checklist,,,,,,124,,
,step,,,,,Level 2,,,
Penetrations ITP,checklist,,,,,,Laundry,,
Penetrations ITP,checklist,,,,,,Kitchen,,
Penetrations ITP,checklist,,,,,,201,,
Penetrations ITP,checklist,,,,,,202,,
Penetrations ITP,checklist,,,,,,203,,
Penetrations ITP,checklist,,,,,,204,,
Penetrations ITP,checklist,,,,,,205,,
Penetrations ITP,checklist,,,,,,206,,
Penetrations ITP,checklist,,,,,,207,,
Penetrations ITP,checklist,,,,,,208,,
Penetrations ITP,checklist,,,,,,209,,
Penetrations ITP,checklist,,,,,,210,,
Penetrations ITP,checklist,,,,,,211,,
Penetrations ITP,checklist,,,,,,212,,
Penetrations ITP,checklist,,,,,,213,,
Penetrations ITP,checklist,,,,,,214,,
Penetrations ITP,checklist,,,,,,215,,
Penetrations ITP,checklist,,,,,,216,,
Penetrations ITP,checklist,,,,,,217,,
Penetrations ITP,checklist,,,,,,218,,
Penetrations ITP,checklist,,,,,,219,,
Penetrations ITP,checklist,,,,,,220,,
Penetrations ITP,checklist,,,,,,221,,
Penetrations ITP,checklist,,,,,,222,,
Penetrations ITP,checklist,,,,,,223,,
Penetrations ITP,checklist,,,,,,224,,
Penetrations ITP,checklist,,,,,,225,,
Penetrations ITP,checklist,,,,,,226,,
Penetrations ITP,checklist,,,,,,227,,
,step,,,,,Level 3,,,
Penetrations ITP,checklist,,,,,,DDA,,
Penetrations ITP,checklist,,,,,,Kitchen,,
Penetrations ITP,checklist,,,,,,301,,
Penetrations ITP,checklist,,,,,,302,,
Penetrations ITP,checklist,,,,,,303,,
Penetrations ITP,checklist,,,,,,304,,
Penetrations ITP,checklist,,,,,,305,,
Penetrations ITP,checklist,,,,,,306,,
Penetrations ITP,checklist,,,,,,307,,
Penetrations ITP,checklist,,,,,,308,,
Penetrations ITP,checklist,,,,,,309,,
Penetrations ITP,checklist,,,,,,310,,
Penetrations ITP,checklist,,,,,,311,,
Penetrations ITP,checklist,,,,,,312,,
