type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,SYM-ITP-017 - Traffic Signals (Rev A),,,,,,SYM-ITP-017 - Traffic Signals (Rev A),,,,
section,1.0 Preliminaries,,,,,,,,,,
checkpoint,1.1 - Determine lot size,,,,,,,,,,
label,Ref docs: Lot map,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Has the lot been defined and marked up on lot map? ,"Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: W,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Lot map,,,,,,,,,,
holdpoint,WITNESS POINT,,,,,,,,,,
checkpoint,1.2 - Survey set-out,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Has the work area been set out as per IFC drawings? ,"Yes,No,N/A",,,,,,,,,
label,Freq: Each lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: W,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
holdpoint,WITNESS POINT,,,,,,,,,,
section,2.0 Traffic Signals Installation,,,,,,,,,,
checkpoint,2.1 - Signalised Construction,,,,,,,,,,
label,Ref docs: IFC Drawings,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Has signalised crossing been constructed in accordance with the IFC Drawings?,"Yes,No,N/A",,,,,,,,,
label,Freq: Each lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: W,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Subcontractor ITP's,,,,,,,,,,
holdpoint,WITNESS POINT,,,,,,,,,,
checkpoint,2.2 - Testing and Commissioning,,,,,,,,,,
label,Ref docs: IFC Drawings,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Has Signalised crossing passed all commissioning and testing?,"Yes,No,N/A",,,,,,,,,
label,Freq: Each lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: W,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Subcontractor ITP's,,,,,,,,,,
holdpoint,WITNESS POINT,,,,,,,,,,
checkpoint,2.3 - VicRoads Approval,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
label,• DOT inspection & approval provided?,"Yes,No,N/A",,,,,,,,,
textbox,Date:,,,,,,,,,,
label,Freq: Each lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: PE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Subcontractor ITP's,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
section,4.0 Conformance check,,,,,,,,,,
checkpoint,4.1 - Test Reports & As-builts,,,,,,,,,,
label,Ref docs: Subcontractor ITP,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• All Test reports and as builts received and reviewed.,"Yes,No,N/A",,,,,,,,,
label,Freq: Each lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: W,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Test reports,,,,,,,,,,
label,• As-builts,,,,,,,,,,
holdpoint,WITNESS POINT,,,,,,,,,,
checkpoint,4.2 - Product non-conformance,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• All Product Non-Conformance(s) recorded and closed (if applicable),"Yes,No,N/A",,,,,,,,,
label,Freq: Each lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: W,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Completed NCR form,,,,,,,,,,
holdpoint,WITNESS POINT,,,,,,,,,,
checkpoint-no-status,Lot acceptance:,,,,,,,,,,
textbox,Works complete (signer SS),,,,,,,,,,
textbox,Date works complete,,,,,,,,,,
textbox,Lot conforms (signer PE),,,,,,,,,,
textbox,Date lot closed,,,,,,,,,,
textbox,NCR/s no. raised,,,,,,,,,,
textbox,Date NCR closed for this lot,,,,,,,,,,
