type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,SYM-ITP-002 - Flexible Pavements (Rev A),,,,,,SYM-ITP-002 - Flexible Pavements (Rev A),,,,
section,1.0 Preliminaries,,,,,,,,,,
checkpoint,1.1 - Survey Set-out ,,,,,,,,,,
label,Ref docs: IFC Drawings,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Has the work area been set out for line and level? ,"Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of Works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.2 - Conformance of Previous layer,,,,,,,,,,
label,Ref docs: VR Clause 304.04,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
label,• Has the previous layer passed acceptance criteria?,,,,,,,,,,
button,• Approval to proceed? ,"Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: PE,,,,,,,,,,
label,CYP D&C JV - Key: H,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Survey Conformance Certificate,,,,,,,,,,
label,• ITP & Test Reports,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.3 - Material classification and source,,,,,,,,,,
label,Ref docs: ,,,,,,,,,,
label,• VR Clause 304.03,,,,,,,,,,
label,• 811,,,,,,,,,,
label,• 812,,,,,,,,,,
label,• IFC Drawings,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Is the correct material being used?,"Class 2,Class 3,CTCR",,,,,,,,,
button,• Has the material to be used been approved for use (Material certificates to be provided)?,"Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works ,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
label,CYP D&C JV - Key: H,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• CYP D&C JV Materials Approval ,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.4 - Determine lot size,,,,,,,,,,
label,Ref docs: VR Clause 304.111,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
textbox,• What is the lot size?,,,m2,,,,,,,
label,• Maximum lot size = 1 days production or 4000m2,,,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Lot map,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
section,2.0 Pavement Construction,,,,,,,,,,
checkpoint,2.1 - Layer classification,,,,,,,,,,
label,Ref docs: ,,,,,,,,,,
label,• VR Clause 304,,,,,,,,,,
label,• IFC Drawings,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Is the pavement intended to be Lower Subbase or Upper Subbase?,"Lower subbase,Subbase,Base",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: R,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
checkpoint,2.2 - Construction - Jointing,,,,,,,,,,
label,Ref docs: VR Clause 304.07,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
label,• Transverse - Offset by not less than 2 m to any underlying pavement layers.,,,,,,,,,,
label,• Longitudinal - Offset by not less than 150 mm to any underlying pavement layers. Located within 300 mm of the traffic lane lines or within 300 mm of the centre of a traffic lane.,,,,,,,,,,
button,• Has all of the above been completed correctly and to a high standard?,"Yes,No,N/A",,,,,,,,,
label,Freq: Each lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: W,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
