type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,SYM-ITP-019 - CLADDING (Rev A),,,,,,SYM-ITP-019 - CLADDING (Rev A),,,,
section,1.0 Preliminaries,,,,,,,,,,
checkpoint,1.1 - Conformity with Drawings,,,,,,,,,,
label,Ref docs: TAS-A-AUD-6007-0426 – LANDSCAPE (IFC),,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,"• Are the drawings, complete & current?","Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
section,2.0 Pre-Construction Activities,,,,,,,,,,
checkpoint,2.1 - Survey Set-Out,,,,,,,,,,
label,Ref docs: TAS-A-AUD-6007-0426 – LANDSCAPE (IFC) & TAS-HWW-SDL-ZWD-SPC-AUD-SDU-A0010-00 – Section 0433 Stone Cladding,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,"• Has the structure been surveyed, including any fixing inserts, before commencement?","Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: S,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
checkpoint,2.2 - Installation Considerations,,,,,,,,,,
label,Ref docs: TAS-HWW-SDL-ZWD-SPC-AUD-SDU-A0010-00 – Section 0433 (Stone Cladding 3.4),,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Is the structure clear of dirt and blemishes?,"Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: S,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
section,3.0 Construction,,,,,,,,,,
checkpoint,3.1 - Fixings,,,,,,,,,,
label,Ref docs: TAS-HWW-SDL-ZWD-SPC-AUD-SDU-A0010-00 – Section 0433 (Stone Cladding – 3.5) ,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,"• Have stone cladding fixings been provided as required, sufficient to support, restrain and resist the structural design loads on each cladding panel, as specified?","Yes,No,N/A",,,,,,,,,
label,Freq: Per lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: S,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
checkpoint,3.2 - Adhesives,,,,,,,,,,
label,Ref docs: TAS-HWW-SDL-ZWD-SPC-AUD-SDU-A0010-00 – Section 0433 (Stone Cladding – 3.5) ,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,"• Have adhesives been applied where required, as specified?","Yes,No,N/A",,,,,,,,,
label,Freq: Per lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: S,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
checkpoint,3.3 - Installation of cladding,,,,,,,,,,
label,Ref docs: TAS-HWW-SDL-ZWD-SPC-AUD-SDU-A0010-00 – Section 0433 (Stone Cladding – 3.7) ,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,"• Has cladding been installed as described in specification, considering given tolerances?","Yes,No,N/A",,,,,,,,,
label,Freq: Per lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: S,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
checkpoint-no-status,Lot acceptance:,,,,,,,,,,
textbox,Works complete (signer SS),,,,,,,,,,
textbox,Date works complete,,,,,,,,,,
textbox,Lot conforms (signer PE),,,,,,,,,,
textbox,Date lot closed,,,,,,,,,,
textbox,NCR/s no. raised,,,,,,,,,,
textbox,Date NCR closed for this lot,,,,,,,,,,
