type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,SYM-ITP-004 - Underscreed Concrete Pavement (Rev A),,,,,,SYM-ITP-004 - Underscreed Concrete Pavement (Rev A),,,,
section,1.0 Preliminaries,,,,,,,,,,
checkpoint,1.1 - Concrete mix design approval,,,,,,,,,,
label,Ref docs: ,,,,,,,,,,
label,• VR703.01,,,,,,,,,,
label,• VR703.05,,,,,,,,,,
label,• AS 1379,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Concrete mix design approved by the Superintendent and a registered mix and Material properties meet project specifications,"Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
label,CYP D&C JV - Key: H,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.2 - Concrete Grade,,,,,,,,,,
label,Ref docs: Project Specs,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
textbox,• Concrete Strength,,,MPA,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
label,CYP D&C JV - Key: H,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.3 - Conformity with Drawings,,,,,,,,,,
label,Ref docs: VR Clause 701.10,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,"• Are the drawings, complete & current?","Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
label,CYP D&C JV - Key: H,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Attach Recent IFC Drawings,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.4 - Setting Out,,,,,,,,,,
label,Ref docs: ,,,,,,,,,,
label,• VR703.17,,,,,,,,,,
label,• VR703.15,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Is the work area clearly pegged out for line and level?,"Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SS,,,,,,,,,,
label,CYP D&C JV - Key: H,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.5 - Bedding Preparation,,,,,,,,,,
label,Ref docs: ,,,,,,,,,,
label,• VR703.20/703.21,,,,,,,,,,
label,• VR204.13,,,,,,,,,,
label,• VR304.08,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
label,• Is edging constructed over Pavement layer?,,,,,,,,,,
button,"• Where edgings are constructed over pavement layers, bedding shall be provided between the pavement layer and the underside of the edging, or the edging thickened to match the pavement layer.","Yes,No,N/A",,,,,,,,,
button,• Is bedding for footpaths and surfaces compacted to 100mm thickness unless noted otherwise.,"Yes,No,N/A",,,,,,,,,
button,"• Is bedding for SUPs, bedding compacted to 150mm thick unless noted otherwise.","Yes,No,N/A",,,,,,,,,
button,• Bedding shall be moist but shall have no free water on the surface before concrete is placed,"Yes,No,N/A",,,,,,,,,
button,"• Is bedding material used for cast in place concrete paving works compacted size 20 mm Class 3 or Class 4 crushed rock or Class 3 or Class 4 crushed concrete, manufactured and supplied in accordance with Sections 812 or 820 respectively.","Yes,No,N/A",,,,,,,,,
