type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,SYM-ITP-003 - Asphalt Placement 1 (Rev A),,,,,,SYM-ITP-003 - Asphalt Placement 1 (Rev A),,,,
section,1.0 Pre-start activities,,,,,,,,,,
checkpoint,1.1 - Determine lot size,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
textbox,• What is the lot size?,,,m2,,,,,,,
label,• Maximum Lot Size = per days production,,,,,,,,,,
label,Freq: Each lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: S,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Lot map,,,,,,,,,,
checkpoint,1.2 - Asphalt Mix Designs Approval and Compliance ,,,,,,,,,,
label,Ref docs: VR Clause 407.05 to 407.10,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Is the asphalt mix design considered “General” and does it conform with VicRoads Section 407? Has mix design been approved by CYP D&C JV? ,"Yes,No,N/A",,,,,,,,,
label,Freq: Each possession,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
label,CYP D&C JV - Key: H,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Mix Design Approval,,,,,,,,,,
textbox,• Aconex Reference No,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.3 - Conformance of previous layer,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Has the previous layer passed acceptance criteria?,"Yes,No,N/A",,,,,,,,,
label,Freq: Each lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE,,,,,,,,,,
label,CYP D&C JV - Key: H,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
textbox,• Lot reference no:,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.4 - Temperature conditions,,,,,,,,,,
label,Ref docs: VR Clause 407.13,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,"• For intermediate and base courses surface to be above 5 degrees Celsius. For wearing course installation, surface to be greater then 10 degrees Celsius. Has the above criteria been met?","Yes,No,N/A",,,,,,,,,
label,Freq: Each lot,,,,,,,,,,
