type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,SYM-ITP-001-Subgrade (Rev A),,,,,,SYM-ITP-001-Subgrade (Rev A),,,,
section,1.0 Preliminaries,,,,,,,,,,
checkpoint,1.1 - Determine lot size,,,,,,,,,,
label,Ref docs: Lot map,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
textbox,• What is the lot size?,,,m2,,,,,,,
label,• Maximum lot size = 1 days production or 4000m2,,,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: W,,,,,,,,,,
label,Symal Infrastructure - Resp: PE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Lot map,,,,,,,,,,
holdpoint,WITNESS POINT,,,,,,,,,,
checkpoint,1.2 - Survey set-out,,,,,,,,,,
label,Ref docs: VR Clause 204.03 (a),,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Has the work area been set out for line and level? ,"Yes,No,N/A",,,,,,,,,
label,Freq: Each lot,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: PE,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.3 - Excavation material classification,,,,,,,,,,
label,Ref docs: ,,,,,,,,,,
label,• VR Clause,,,,,,,,,,
label,• 204.06 (c),,,,,,,,,,
label,• 204.04 (b),,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Has the material being excavated been inspected with category agreed upon by Superintendent?,"Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: PE,,,,,,,,,,
label,CYP D&C JV - Key: H,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Imported material test report,,,,,,,,,,
label,• CYP Material Approval,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
