type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,SYM-ITP-007 - Subsurface Drainage (Rev A),,,,,,SYM-ITP-007 - Subsurface Drainage (Rev A),,,,
section,1.0 General Details,,,,,,,,,,
checkpoint,1.1 - Set Out,,,,,,,,,,
label,Ref docs: Civil drawings,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Is the work area clearly pegged out for line and level?,"Yes,No,N/A",,,,,,,,,
textbox,Subsurface drainage Reference,,,,,,,,,,
textbox,Size of Lot,,,M,,,,,,,
label,Days production or pit to pit,,,,,,,,,,
textbox,Zone,,,,,,,,,,
textbox,Stage,,,,,,,,,,
label,Freq: Prior to the Start of Activity,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: S,,,,,,,,,,
label,Symal Infrastructure - Resp: SS,,,,,,,,,,
checkpoint,1.2 - Procedure for method of compaction and placement of no fines concrete filter material.,,,,,,,,,,
label,Ref docs: ,,,,,,,,,,
label,• Construction Document (Drainage),,,,,,,,,,
label,• VR702.05,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Has the method of compaction shall be in accordance with the Contractor’s quality procedures been submitted for review by the Superintendent and approved?,"Yes,No,N/A",,,,,,,,,
button,• Has no fines concrete been used as a filter material?,"Yes,No,N/A",,,,,,,,,
button,• Has no fines concrete been placed and compacted within 1 hour of mixing?,"Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: S,,,,,,,,,,
label,Symal Infrastructure - Resp: SS,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• As per approved Construction Document,,,,,,,,,,
checkpoint,1.3 - Conformity with Drawings,,,,,,,,,,
label,Ref docs: ,,,,,,,,,,
label,• VR702.03,,,,,,,,,,
label,• IFC Drawings,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,"• Are the drawings, complete & current?","Yes,No,N/A",,,,,,,,,
button,• Is the subsurface drainage  pipe or the geocomposite invert level not exceeding 25 mm from the specified level and not more than 50 mm from the specified line. With changes of grade not at a rate exceeding 10 mm in any 3 m length.,"Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Attach completed Permit,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.4 - Excavation Permit & Penetration Permit,,,,,,,,,,
label,Ref docs: ,,,,,,,,,,
label,• SMP,,,,,,,,,,
label,• VR 602.03,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Were all identified underground services marked and potholed to confirm location and depth and no machine excavation within 1m of underground services.,"Yes,No,N/A",,,,,,,,,
button,• Relevant permits have been signed and approved. ,"Yes,No,N/A",,,,,,,,,
button,• Extents and levels correct to relevant drawings,"Yes,No,N/A",,,,,,,,,
button,• 50mm Blinding to be placed as required to allow working surface and protect excavation.,"Yes,No,N/A",,,,,,,,,
button,• Has the trench been excavated to allow 300mm between top of capping and top of subsoil pipe?,"Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
section,2.0 Subsurface drainage materials and installation,,,,,,,,,,
checkpoint,2.1 - Pipes,,,,,,,,,,
label,Ref docs: ,,,,,,,,,,
label,• VR 702.04,,,,,,,,,,
label,• VR 702.03,,,,,,,,,,
label,• VR 702.09,,,,,,,,,,
