type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,SYM-ITP-024 - Handrails & Balustrades (Rev A),,,,,,SYM-ITP-024 - Handrails & Balustrades (Rev A),,,,
section,1.0  Handrails & Balustrades,,,,,,,,,,
checkpoint,1.1 - Set Out,,,,,,,,,,
label,Ref docs: Civil drawings,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Is the work area clearly pegged out for line and level?,"Yes,No,N/A",,,,,,,,,
textbox,• Handrail/Balustrade Reference,,,,,,,,,,
textbox,• Zone,,,,,,,,,,
textbox,• Stage,,,,,,,,,,
label,Freq: Prior to the Start of Activity,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: S,,,,,,,,,,
label,Symal Infrastructure - Resp: SS,,,,,,,,,,
checkpoint,1.2 - Conformity with Drawings,,,,,,,,,,
label,Ref docs: Civil Drawings,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,"• Are the drawings, complete & current?","Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Attach Recent IFC Drawings,,,,,,,,,,
label,• Attach Shop Drawings,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.3 - Permit &,,,,,,,,,,
label,Ref docs: SMP,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Relevant permits have been signed and approved.,"Yes,No,N/A",,,,,,,,,
button,• Extents and levels correct to relevant drawings,"Yes,No,N/A",,,,,,,,,
button,• Are handrails and Balustrades compliant with DDA standards.,"Yes,No,N/A",,,,,,,,,
label,Freq: Prior to start of works,,,,,,,,,,
label,VERIFY OF ACCEPTANCE BY,,,,,,,,,,
label,Symal Infrastructure - Key: H,,,,,,,,,,
label,Symal Infrastructure - Resp: SE/PE,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Attach completed Permit ,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,1.4 - Material compliance,,,,,,,,,,
label,Ref docs: QMP,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Are handrails and Balustrades compliant with DDA standards.,"Yes,No,N/A",,,,,,,,,
checkpoint,1.5 - Subcontractor ITP,,,,,,,,,,
label,Ref docs: QMP,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,• Have the subcontractor ITP’s been completed and attached,"Yes,No,N/A",,,,,,,,,
button,• Have handrail and Balustrades been installed as per approved shop drawings?,"Yes,No,N/A",,,,,,,,,
button,• All edges smoothed and final finish provided as per project specs?,"Yes,No,N/A",,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Attach subcontractor ITP,,,,,,,,,,
checkpoint,1.6 - As Built,,,,,,,,,,
label,Acceptance criteria: ,,,,,,,,,,
button,Were survey as-builts completed,"Yes,No,N/A",,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc): ",,,,,,,,,,
label,• Attach survey Report,,,,,,,,,,
checkpoint-no-status,Lot acceptance:,,,,,,,,,,
textbox,Works complete (signer SS),,,,,,,,,,
textbox,Date works complete,,,,,,,,,,
textbox,Lot conforms (signer PE),,,,,,,,,,
textbox,Date lot closed,,,,,,,,,,
textbox,NCR/s no. raised,,,,,,,,,,
textbox,Date NCR closed for this lot,,,,,,,,,,
