type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,
checklist,ITP-121-STR-CPD-Grout Pedestals & Bearings,itp,,,,,ITP-121-STR-CPD-Grout Pedestals & Bearings Rev 0,,,,,,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-STR-CPD-Grout Pedestals & Bearings,,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: CPD-Grout Pedestals & Bearings,,,,,,,,,,,,,,,,,,,,,,
label,ITP Number: 121,,,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): STR,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 19/01/2024,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Andrew Carlini ,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 610 Feb 2020,,,,,,,,,,,,,,,,,,,,,,
section,2. Preliminaries - Materials,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Product Selection,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - IFC Drawings 610.28, 610.33",,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Product to be selected based on the following criteria:,,,,,,,,,,,,,,,,,,,,,,
label,"i. either a single component, self consolidating and dual shrinkage compensating cementitious grout OR a single component low shrinkage mortar",,,,,,,,,,,,,,,,,,,,,,
label,ii. have the required strength at 28 days as noted on the IFC drawings.,,,,,,,,,,,,,,,,,,,,,,
label,iii. have the characteristics capable of being applied to the minimum and maximum thickness as noted on the IFC drawings.,,,,,,,,,,,,,,,,,,,,,,
label,Note: Pedestals 200mm or greater shall be constructed from concrete - use ITP-STR-Structural Concrete instead,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, for each product, prior to placement of product",,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Curing Compound,,,,,,,,,,,,,,,,,,,,,,
label,Reference - 610.23 (d),,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Details of curing compound and NATA test certificate stating compliance with AS3799 no more than 3 years from issue, to be submitted for review to the Nominated Authority.",,,,,,,,,,,,,,,,,,,,,,
label,Note: This may be the same product used for the concrete curing,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, for each product, prior to placement of product",,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
section,3. Preliminaries - Procedures & Documentation,,,,,,,,,,,,,,,,,,,,,,
checkpoint,"3.1 - Curing Methodology (for Concrete, Grout and Mortar)",,,,,,,,,,,,,,,,,,,,,,
label,Reference - 610.23 (a),,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Curing methodology/procedure to be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,,,,,,,,,
label,Note: This may be the same document used for the concrete curing.,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Correspondence Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, 4 weeks prior to placement of product",,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - ConQA Hold Point Release,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
section,4. Pre-construction Activities,,,,,,,,,,,,,,,,,,,,,,
checkpoint,4.1 - IFC Drawings,,,,,,,,,,,,,,,,,,,,,,
label,Reference - MRPA Quality Management Plan,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Check the revision of the IFC drawings are current as per the drawing register (on Teambinder),,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Prior to starting Works and at regular intervals,,,,,,,,,,,,,,,,,,,,,,
label,Category - HP*,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - All,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,4.2 - Survey Set-out,,,,,,,,,,,,,,,,,,,,,,
label,"Reference - IFC Drawings 610.46 (a), Table 610.462 (Nov 2018), 610.47 (a) Table 610.472 (March/June 2019)",,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Survey activities undertaken to ensure and validate that all Works meet level and location requirements within the tolerances as per the table 610.462 / 610.472 as applicable to the element.,,,,,,,,,,,,,,,,,,,,,,
label,Note: Different revisions of 610 have different clause numbers,,,,,,,,,,,,,,,,,,,,,,
label,"Method - Measure, Visual",,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Each element,,,,,,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,,,,,,
label,"Responsibility - Surveyor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
