type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,
checklist,ITP-122-STR-CPD-Precast Barriers and Kerbs Installation,itp,,,,,ITP-122-STR-CPD-Precast Barriers and Kerbs Installation Rev 0,,,,,,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-122-STR-CPD -Precast Barriers and Kerbs Installation,,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: CPD -Precast Barriers and Kerbs Installation,,,,,,,,,,,,,,,,,,,,,,
label,ITP Number: 122,,,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): STR,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 19/01/2024,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Andrew Carlini ,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 610 Feb 2020,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.2 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 620 May 2009,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.3 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 630 October 2013,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.4 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 670 October 2013,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1.5 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - VicRoads Section 671 October 2013,,,,,,,,,,,,,,,,,,,,,,
section,2. Preliminaries Materials,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Grout,,,,,,,,,,,,,,,,,,,,,,
label,Reference - MRPA Quality Management Plan,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Details of the grout to be placed between the precast elements to be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, for each product",,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Shims,,,,,,,,,,,,,,,,,,,,,,
label,Reference - MRPA Quality Management Plan,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Details of the Shims to be placed beneath the precast elements to be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, for each product",,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - This ITP,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.3 - Bitumen Board,,,,,,,,,,,,,,,,,,,,,,
label,Reference - MRPA Quality Management Plan,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Details of the Bitumen Board to be placed between the precast elements to be submitted for review to the Nominated Authority.,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,"Frequency - Once, for each product",,,,,,,,,,,,,,,,,,,,,,
