type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,QA_TEM_003_Earth Electrode,,,,,,
checkpoint,Record electrode type and size (AS/NZS 3000 Table 5.2),,,,,,
text,Material,,,,,,
text,Diameter,,,,,,
checkpoint,Earth electrode is driven to the minimum depth (AS/NZS 3000 5.3.6.3),,,,,,
bool,Vertical type - 1.2 metres,,,,,,
bool,Strip type - 3 metres,,,,,,
checkpoint,Earth electrode is installed in a correct location (AS/NZS 3000 5.3.6.4),,,,,,
label,External to the building in ground that is exposed to the weather,,,,,,
label,Separated from conductive enclosures of other buried services,,,,,,
label,Is in an accessible location,,,,,,
checkpoint,Earth electrode is mechanically protected and labelled in accordance with AS/NZS 3000 5.5.1.3,,,,,,
label,WARNING MAIN ELECTRICAL EARTHING CONDUCTOR—DO NOT DISCONNECT,,,,,,
checkpoint,Earth connection point to stake is protected from corrosion (i.e. painted earth clamp) (AS/NZS 3000 5.5.5.3),,,,,,
checkpoint,Location of the earth electrode has been identified at the main switchboard.,,,,,,
checkpoint,"If measurement of the resistance of the earth electrode is requested, refer to the test procedure detailed in AS/NZS 3017 clause 3.8.",,,,,,
,,,,,,,
checklist-flat,QA_TEM_006_Surface Conduit Installation,,,,,,
checkpoint,Conduits are the correct type,,,,,,
checkpoint,Conduits are following the approved route as specified,,,,,,
checkpoint,Conduits are straight plumb/parallel,,,,,,
checkpoint,Conduits have sharp edges and burrs removed (steel),,,,,,
checkpoint,Conduits have expansion joints installed where required,,,,,,
checkpoint,Conduits have specified support installed,,,,,,
checkpoint,Conduits have product branding cables removed or not visible,,,,,,
checkpoint,Conduits are sealed against water ingress where required,,,,,,
checkpoint,Conduits have equipment entries correctly sealed,,,,,,
,,,,,,,
checklist-flat,QA_TEM_008_Cable Support Prior to Cabling,,,,,,
checkpoint,Cable support has correct origin and destination,,,,,,
checkpoint,Cable support follows correct route,,,,,,
checkpoint,Cable support is correct type material and not damaged,,,,,,
checkpoint,Cable support is correctly aligned,,,,,,
checkpoint,Cable support has correct type/quantity supports,,,,,,
checkpoint,Cable support is attached securely to supports,,,,,,
checkpoint,Cable support has correct type and size of fittings,,,,,,
checkpoint,Cable support is complete for the entirety of its length,,,,,,
checkpoint,Cable support has correct segregation,,,,,,
checkpoint,Cable support is earthed correctly,,,,,,
,,,,,,,
checklist-flat,QA_TEM_009_Cable Support Post Cabling,,,,,,
checkpoint,Cable support is properly sealed at all penetrations,,,,,,
