Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,
Site Install Progress,,,,,,,
,Scope,,,QA,,,
,Rows,,,,,,
,,Building B01A,dynamic,On Site Installation QA,Building B01A,QA,
,,Building B01B,dynamic,On Site Installation QA,Building B01B,QA,
,,Building B02,dynamic,On Site Installation QA,Building B02,QA,
,,Building B03A,dynamic,On Site Installation QA,Building B03A,QA,
,,Building B03B,dynamic,On Site Installation QA,Building B03B,QA,
,,Building B03C,dynamic,On Site Installation QA,Building B03C,QA,
,,Building B03D,dynamic,On Site Installation QA,Building B03D,QA,
,,Building B04,dynamic,On Site Installation QA,Building B04,QA,
,,Building B05,dynamic,Structural Steel Installation,Building B05,QA,
,Columns,,,,,,
,,Prestart,,Prestart,,,
,,Steel Delivery,,Steel Delivery,,,
,,Steel Erection,,Steel Erection,,,
,,Overview QA,,Overview QA,,,
,,Welding,,Welding,,,
,,Site NDT,,Site NDT,,,
,,Coating,,Coating,,,
,,Handover,,Handover,,,
,,,,,,,
Overview QA Progress,,,,,,,
,Scope,,,QA,,,
,Rows,,,,,,
,,Building B01A ,grouping,Building B01A ,,,
,,01A Level 1,expanded,01A Level 1,On Site Installation QA,Building B01A ,QA
,,01A Level 2,expanded,01A Level 2,On Site Installation QA,Building B01A ,QA
,,01A Level 3,expanded,01A Level 3,On Site Installation QA,Building B01A ,QA
,,01A Level 4,expanded,01A Level 4,On Site Installation QA,Building B01A ,QA
,,01A Level 5,expanded,01A Level 5,On Site Installation QA,Building B01A ,QA
,,Roof Side A ,expanded,Roof Side A ,On Site Installation QA,Building B01A ,QA
,,Roof Middle,expanded,Roof Middle,On Site Installation QA,Building B01A ,QA
,,Roof Side B,expanded,Roof Side B,On Site Installation QA,Building B01A ,QA
,,Building B01B,grouping,Building B01B,,,
,,01B Ground,expanded,01B Ground,On Site Installation QA,Building B01B,QA
,,01B Level 1,expanded,01B Level 1,On Site Installation QA,Building B01B,QA
,,01B Level 2,expanded,01B Level 2,On Site Installation QA,Building B01B,QA
,,01B Level 3,expanded,01B Level 3,On Site Installation QA,Building B01B,QA
,,01B Level 5 / ROOF,expanded,01B Level 5 / ROOF,On Site Installation QA,Building B01B,QA
,,01B Level 4,expanded,01B Level 4,On Site Installation QA,Building B01B,QA
,,Building B02,grouping,Building B02,,,
,,B02 Ground,expanded,B02 Ground,On Site Installation QA,Building B02,QA
,,B02 Level 1,expanded,B02 Level 1,On Site Installation QA,Building B02,QA
,,B02 Level 2,expanded,B02 Level 2,On Site Installation QA,Building B02,QA
,,B02 Level 3,expanded,B02 Level 3,On Site Installation QA,Building B02,QA
,,B02 Level 4,expanded,B02 Level 4,On Site Installation QA,Building B02,QA
,,B02 Level 5/Roof,expanded,B02 Level 5/Roof,On Site Installation QA,Building B02,QA
,,Building B03A,grouping,Building B03A,,,
,,Level 2,expanded,Level 2,On Site Installation QA,Building B03A,QA
,,Level 3,expanded,Level 3,On Site Installation QA,Building B03A,QA
,,Level 4,expanded,Level 4,On Site Installation QA,Building B03A,QA
,,Level 5,expanded,Level 5,On Site Installation QA,Building B03A,QA
,,Lower Roof,expanded,Lower Roof,On Site Installation QA,Building B03A,QA
,,Upper Roof,expanded,Upper Roof,On Site Installation QA,Building B03A,QA
,,Building B03B,grouping,Building B03B,,,
,,Level 1,expanded,Level 1,On Site Installation QA,Building B03B,QA
,,Level 2,expanded,Level 2,On Site Installation QA,Building B03B,QA
,,Level 3,expanded,Level 3,On Site Installation QA,Building B03B,QA
,,Level 4,expanded,Level 4,On Site Installation QA,Building B03B,QA
,,Level 5,expanded,Level 5,On Site Installation QA,Building B03B,QA
,,Lower Roof,expanded,Lower Roof,On Site Installation QA,Building B03B,QA
,,Upper Roof,expanded,Upper Roof,On Site Installation QA,Building B03B,QA
,,Building B03C,grouping,Building B03C,,,
,,Level 2,expanded,Level 2,On Site Installation QA,Building B03C,QA
,,Level 3,expanded,Level 3,On Site Installation QA,Building B03C,QA
,,Level 4,expanded,Level 4,On Site Installation QA,Building B03C,QA
,,Level 5,expanded,Level 5,On Site Installation QA,Building B03C,QA
,,Lower Roof ,expanded,Lower Roof ,On Site Installation QA,Building B03C,QA
,,Upper Roof,expanded,Upper Roof,On Site Installation QA,Building B03C,QA
,,Building B03D,grouping,Building B03D,,,
,,Level 2,expanded,Level 2,On Site Installation QA,Building B03D,QA
,,Level 3,expanded,Level 3,On Site Installation QA,Building B03D,QA
,,Level 4,expanded,Level 4,On Site Installation QA,Building B03D,QA
,,Level 5,expanded,Level 5,On Site Installation QA,Building B03D,QA
,,Lower Roof,expanded,Lower Roof,On Site Installation QA,Building B03D,QA
,,Upper Roof,expanded,Upper Roof,On Site Installation QA,Building B03D,QA
,,Building B04,grouping,Building B04,,,
,,Level 1,expanded,Level 1,On Site Installation QA,Building B04,QA
,,Level 2,expanded,Level 2,On Site Installation QA,Building B04,QA
,,Level 3,expanded,Level 3,On Site Installation QA,Building B04,QA
,,Roof,expanded,Roof,On Site Installation QA,Building B04,QA
,Columns,,,,,,
,,Steel erects to correct Level,,Steel erects to correct Level,,,
,,Steelwork plumb and within tolerance,,Steelwork plumb and within tolerance,,,
,,"Purlins, girts, sag rods straight & tight",,"Purlins, girts, sag rods straight and tight",,,
,,Snug tight bolts checked,,Snug tight bolts checked,,,
,,Posts chemset correctly,,Posts chemset correctly,,,
,,Bracing installed & tightened,,"Bracing installed & tightened (Temporary bracing secured, if required)",,,
,,All welding completed to spec & weld procedure,,All welding completed to spec and weld procedure,,,
,,"NDT conducted & passed, if required",,"NDT conducted and passed, if required",,,
,,Coating touch up completed,,Coating touch up completed,,,
,,Steel surface left clean,,Steel surface left clean,,,
,,Area left tidy & accessible,,Area left tidy and accessible,,,
,,Steel erectors sign off,,Steel erectors sign off,,,
