"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ccc8f6c3-2f23-4f1b-983d-a6e203670de0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building A"
"ed3e743b-c8c8-4b63-827a-f19eccce84b4","","folder-normal","pass","","step","TRUE","FALSE","Building A","Ground floor"
"830c8cd8-2646-47fc-ad7c-6888c3d6f059","","checklist-flat","pass","Photos","checklist-flat","FALSE","FALSE","Building A","Ground floor","Underslab - Waste Water"
"f7aebb82-ca42-40bc-98c2-5e2e1d91337f","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Building A","Refuse Room"
"cd71b5fc-c95e-4e99-9860-94f8706e8d66","","checklist-flat","not-started","Underslung Pvc","checklist-flat","FALSE","FALSE","Building A","Underslung"
"b23a3c4c-7a02-4b5c-af69-eb3117af36f3","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1"
"8e3f0fa2-da1c-41d5-9434-3eacdb09e9f6","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A101"
"3f210217-6a9e-4e02-bf21-4023950039c8","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A101","Bathroom"
"3f743978-8f42-4baf-b498-c02c4ec50308","","checklist-flat","not-started","Toilet Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A101","Bathroom","Toilet"
"f40ecd3a-d16c-4ef9-a466-db363c3755ea","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A101","Bathroom","Wash Hand Basin"
"7ff1b5f0-0e74-484b-8e83-47203ef5e7e9","","checklist-flat","not-started","Shower Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A101","Bathroom","Shower"
"26ebab68-6cd5-4a40-9454-b209439d60fe","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A101","Bathroom","FWG"
"0cc5b86a-6609-49c6-8ec9-7cc1bc10bebb","","checklist-flat","not-started","Shower Tray","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A101","Bathroom","Shower Tray"
"486e44a1-f7fb-4513-b88a-99462e421344","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A101","Kitchen"
"11a8df9f-1865-43ae-bbdf-5ad1e3f34397","","checklist-flat","not-started","Kitchen Checklist","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A101","Kitchen","Kitchensink checklist"
"3d6653f1-9a42-4b77-b2f0-aa3ae4b2d0bd","","folder-normal","not-started","","step","TRUE","FALSE","Building A","Level 1","Unit A101","Laundry"
"e59afd06-a55e-4ca7-ba8b-28cb1e396e59","","checklist-flat","not-started","Laundry","checklist-flat","FALSE","FALSE","Building A","Level 1","Unit A101","Laundry","Laundry"
"a7eb4901-c92b-48c3-86aa-56b27f83967d","","checklist-flat","not-started","FWG First Fix Checklist","checklist-flat","TRUE","TRUE","Building A","Level 1","Unit A101","Laundry","FWG"
