"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1aaed0a5-fc27-470d-ad90-a08ba3523b78","","fail","","folder","TRUE","FALSE","Site QA"
"c297c7aa-cdbc-4f11-8f95-f5215168c7eb","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office"
"75865981-7e93-491b-ba1b-6df16f3d58e7","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure"
"81e3d7c0-4f4e-422a-ae17-d94b07ca5b8b","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)"
"0261fff3-f86e-4c19-bda6-ce59be8ed14a","","pass","Excavation - GPL-QSE-ITP-STRUC-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East"
"5ba8777d-e62e-59a1-a9e5-3a3a34cd11a9","","pass","","section","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works"
"b95c9d94-d017-59e5-b957-c3d247f3369a","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works","Attach markup plan of extent of excavation covered by this ITP"
"8db4afca-ae7a-5ff4-b758-aa2e762c1868","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works","Confirm Dial-Before-You-Dig has been received (attach plans)"
"9b3e8348-f718-56e3-8044-8981c058b9db","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works","Confirm existing service scan has been completed (attach survey report)"
"254a12f3-355d-5c50-9e4d-3bae8d76b395","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works","Confirm if any hand digging excavation is required close to underground services"
"428525c1-338e-57e9-881d-3eed73cd5d4e","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works","Confirm set-out of site boundary, excavation line and RL datum (attach survey plan)"
"02ee8505-84a4-5b25-89b3-247aef3658a7","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works","Confirm existing water table RL"
"db8ecc29-f747-5a59-bf57-2bbf305e1df4","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works","Confirm dewatering requirements & methodology (if required)"
"2427648c-406e-53c9-b524-e12c2a690e23","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works","Obtain approval for temporary anchors outside the site boundary (if required)"
"2a83b9a9-2a7d-521a-946c-e486f863b3f2","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works","Confirm vibration limits and monitoring requirements"
"3859730e-9ba2-58c3-a974-9451f5623c5c","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works","Confirm noise limits and monitoring requirements"
"269eb099-f366-5690-a327-6ad502c25f25","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works","Confirm working hours and equipment limitations"
"2a5dc176-f91f-5035-b01f-ddd2423b7e2c","","pass","","checkpoint","TRUE","TRUE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East","Prior to Works","Confirm soil testing has been undertaken and tipping classification report received (attach report)"
