"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1aaed0a5-fc27-470d-ad90-a08ba3523b78","","fail","","folder","TRUE","FALSE","Site QA"
"c297c7aa-cdbc-4f11-8f95-f5215168c7eb","","fail","","folder","TRUE","FALSE","Site QA","Multigate Office"
"75865981-7e93-491b-ba1b-6df16f3d58e7","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure"
"81e3d7c0-4f4e-422a-ae17-d94b07ca5b8b","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)"
"0261fff3-f86e-4c19-bda6-ce59be8ed14a","","pass","Excavation - GPL-QSE-ITP-STRUC-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","East"
"b1524db2-e7da-4ca3-ba97-eb9d5212200f","","pass","Excavation - GPL-QSE-ITP-STRUC-003 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Excavation (Compacted Fill)","West"
"49f58d6b-32bb-4fd4-b6f7-4db91ac92d68","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Piling"
"6a5b4f8f-ac24-4094-905a-1f8f65a004d3","","pass","Piling - GPL-QSE-ITP-STRUC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Piling","East"
"ac23b338-367d-4aa8-8191-cc6b7d2a11f5","","pass","Piling - GPL-QSE-ITP-STRUC-001 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Piling","West"
"93ac8b39-31a9-4e99-8dcb-d8363b7ac79a","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Footings"
"da59ea2a-dd51-4e1b-818c-a778fbc56c9b","","pass","Footings & Bases - GPL-QSE-ITP-STRUC-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Footings","OSD Base"
"97c10866-8b03-4052-8d1b-f8dda606eaa9","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Footings","OSD Tank Walls"
"a2f69587-06ec-405f-9981-3e28dbc9fc98","","pass","Footings & Bases - GPL-QSE-ITP-STRUC-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Footings","Crane Base"
"5ffbed5e-da11-42bc-97c2-11b418d78546","","pass","Footings & Bases - GPL-QSE-ITP-STRUC-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Footings","Lift Bases"
"5dffc446-df5e-49d4-998a-2efb570f320b","","pass","Footings & Bases - GPL-QSE-ITP-STRUC-004 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Footings","Stair Bases & Strip Footings"
"fcf2dcb1-9cd9-440e-a10d-ad7491d2acbe","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Footings","Lift Walls (Kicker-L1, A)"
"f12e1d35-de23-4b7c-a6a1-71f446b33427","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Footings","Stair Walls (Kicker-L1, B)"
"3e483f19-71e8-421f-b3c4-027a47c2543f","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Footings","Stair Walls (Kicker-L1, C)"
"830efe03-6bfa-4807-9873-fa6a7df4d5fe","","pass","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Footings","Stair & Lift Walls (Kicker-L1, D)"
"8bdff3fc-26ff-4370-be13-bccc04579953","","pass","","folder","TRUE","FALSE","Site QA","Multigate Office","Structure","Level 1 (Ground)"
"0fe4f38e-ca4f-4c57-8bb5-487a6d6cfb3f","","pass","Slab on Ground - GPL-QSE-ITP-STRUC-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 1 (Ground)","SOG (A)"
"6aa66405-208e-4901-89e7-4b977554868b","","pass","Slab on Ground - GPL-QSE-ITP-STRUC-005 (Rev 00)","checklist","FALSE","FALSE","Site QA","Multigate Office","Structure","Level 1 (Ground)","SOG (B)"
