type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,
checklist,ITP - Pile Predrilling,itp,,,,,ITP - Pile Predrilling,,,,
section,Location Details,,,,,,,,,,
checkpoint-no-status,Site Reference - Block,,,,,,,,,,
dropdown,Site Reference,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,,,,,,,
section,Preconstruction,,,,,,,,,,
checkpoint,Design Review,,,,,,,,,,
label,Verification of Piling Design and Layout,,,,,,,,,,
label,Compliance with approved drawings and geotechnical report,,,,,,,,,,
label,Design Approval Documentation,,,,,,,,,,
label,01_Maungaturoto_FS2V-23°-12_DUO_EX ,,,,,,,,,,
label,02_Maungaturoto_FS2V-23°-12_DUO_EX,,,,,,,,,,
label,Schletter FS DUO - Fixed-tilt Installation Manual,,,,,,,,,,
label,Schletter Piling Instructions for Maungaturoto Solar Farm,,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
checkpoint,Material Approval,,,,,,,,,,
label,Approval of drilling fluids or stabilizers (if applicable),,,,,,,,,,
label,Compliance with specifications,,,,,,,,,,
label,Material Test Certificates / Delivery Dockets for each delivery,,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
checkpoint,Survey & Marking,,,,,,,,,,
label,Visual Inspection of marked drilling points,,,,,,,,,,
label,Visual Inspection of alignment and marking of pile locations,,,,,,,,,,
label,Alignment with approved layout drawings,,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,,
checkpoint,Equipment Verification,,,,,,,,,,
label,Visual Inspection of drilling equipment functionality and calibration,,,,,,,,,,
label,Drilling equipment in good working condition,,,,,,,,,,
label,Visual Inspection of Plant Prestarts,,,,,,,,,,
section,Drilling Operations,,,,,,,,,,
checkpoint,Drilling Alignment,,,,,,,,,,
label,Check verticality and alignment of drilled holes for every hole,,,,,,,,,,
label,Hole should be within 3° of vertical in both North/South and East/West directions,,,,,,,,,,
label,Visual Inspection and Measurement,,,,,,,,,,
label,ITC Record Updated for every table,,,,,,,,,,
checkpoint,Rock Penetration,,,,,,,,,,
label,Confirm penetration into rock (if applicable),,,,,,,,,,
label,Achieves specified embedment depth,,,,,,,,,,
label,Drilling Logs,,,,,,,,,,
checkpoint,Spoil Removal,,,,,,,,,,
label,Spoil has been removed from each hole,,,,,,,,,,
label,Hole is clean and ready for pile placement,,,,,,,,,,
label,Visual Inspection of the holes drilled,,,,,,,,,,
checkpoint,Drilling Depth and Width,,,,,,,,,,
label,The minimum depth for all holes shall be 1.5m,,,,,,,,,,
label,The minimum width for all holes shall be 300mm,,,,,,,,,,
label,ITC Record Updated for every table,,,,,,,,,,
checkpoint,Predrill Hole Fill Media,,,,,,,,,,
label,Predrill hole media to be Stabilised Sand,,,,,,,,,,
label,Material Test Certificates/Delivery Dockets Attached,,,,,,,,,,
section,Post-Drilling Activities,,,,,,,,,,
checkpoint,Cleaning and Preparation,,,,,,,,,,
label,Visual Inspection of cleanliness and condition of drilled holes,,,,,,,,,,
label,Free from debris and loose material,,,,,,,,,,
checkpoint,Stabilization,,,,,,,,,,
label,Verify stabilization measures (if required),,,,,,,,,,
label,Free from debris and loose material,,,,,,,,,,
checkpoint,Survey Verification,,,,,,,,,,
label,Visual Inspection of resurvey alignment and location of drilled holes for piling,,,,,,,,,,
label,Compliance with design tolerances,,,,,,,,,,
section,Maintenance and Monitoring,,,,,,,,,,
checkpoint,Equipment Maintenance,,,,,,,,,,
label,Inspect and maintain drilling equipment Daily,,,,,,,,,,
label,Proper functioning and safety compliance,,,,,,,,,,
label,Visual Inspection of daily maintenance records completed,,,,,,,,,,
checkpoint,Drilled Holes,,,,,,,,,,
label,Monitor for collapse or deformation,,,,,,,,,,
label,Holes maintain structural integrity,,,,,,,,,,
section,Post Construction & Handover,,,,,,,,,,
checkpoint,Final Inspection & Walkthrough,,,,,,,,,,
label,Comprehensive Visual Inspection of all drilled holes,,,,,,,,,,
label,"Compliance with approved design, function and specification requirements",,,,,,,,,,
label,Verify readiness of drilled holes for piling,,,,,,,,,,
label,Area ready for subsequent construction activities,,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
checkpoint,Non-Conformance-Reports,,,,,,,,,,
label,"Each Non-Conformance Reported, Rectified & Closed Out",,,,,,,,,,
checkpoint,Punch List,,,,,,,,,,
label,Development of Punchlist with Client and Contractor Representative,,,,,,,,,,
label,Punch List closed out in a timely mannor,,,,,,,,,,
checkpoint,Documentation,,,,,,,,,,
label,On completion of the Predrilling works for this Block,,,,,,,,,,
label,Supply all documentation on completion of the Piling works for the block,,,,,,,,,,
label,"Submission of all test results, ITC's and any as-built drawings",,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
,,,,,,,,,,,
checklist,ITP - Piling,itp,,,,,ITP - Piling,,,,
section,Location Details,,,,,,,,,,
checkpoint-no-status,Site Reference - Block,,,,,,,,,,
dropdown,Site Reference,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,,,,,,,
section,Preconstruction,,,,,,,,,,
checkpoint,Design Review,,,,,,,,,,
label,Verification of Piling Design and Layout,,,,,,,,,,
label,Compliance with approved drawings and geotechnical report,,,,,,,,,,
label,Design Approval Documentation,,,,,,,,,,
label,01_Maungaturoto_FS2V-23°-12_DUO_EX ,,,,,,,,,,
label,02_Maungaturoto_FS2V-23°-12_DUO_EX,,,,,,,,,,
label,Schletter FS DUO - Fixed-tilt Installation Manual,,,,,,,,,,
label,Schletter Piling Instructions for Maungaturoto Solar Farm,,,,,,,,,,
label,"In terms of the Piling Operation, in the event that early refusal is not observed, the Pile Testing done by Schletter prior to the construction phase is the extent of the Pile Testing done. Please refer to the Pile Testing Report provided for further details.",,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
checkpoint,Material Approval,,,,,,,,,,
label,Approval of Piles and Coating,,,,,,,,,,
label,"Compliance with specifications (e.g., grade, dimensions, corrosion resistance)",,,,,,,,,,
label,Material Test Certificates,,,,,,,,,,
holdpoint,CHINT Hold Point,,,,,,,,,,
checkpoint,Design Verification,,,,,,,,,,
label,Visual Inspection of Design,,,,,,,,,,
label,Client Review of ULS Testing and Geotechnical Reports,,,,,,,,,,
label,Pile Design Report/Drawings available,,,,,,,,,,
holdpoint,CHINT Hold Point,,,,,,,,,,
checkpoint,Survey & Marking,,,,,,,,,,
label,Visual Inspection of alignment and marking of pile locations,,,,,,,,,,
label,Alignment with approved IFC Drawings,,,,,,,,,,
checkpoint,Ground Preparation,,,,,,,,,,
label,Visual Inspection of clearing and levelling of the site,,,,,,,,,,
label,"Free from debris, vegetation, and obstructions",,,,,,,,,,
checkpoint,Equipment Verification,,,,,,,,,,
label,Inspect equipment and tools for installation,,,,,,,,,,
label,Equipment is functional and calibrated,,,,,,,,,,
label,Equipment Records where applicable,,,,,,,,,,
section,Construction,,,,,,,,,,
checkpoint,Pile Installation,,,,,,,,,,
label,Schletter FS Duo Fixed-tilt Installation Manual,,,,,,,,,,
label,Schletter Piling Instructions for Maungaturoto Solar Farm,,,,,,,,,,
label,Piles installed in the correct locations as per Schletter drawings and electronics Setout data,,,,,,,,,,
label,All piles in every table are installed to the designs and every pile is checked for the following tolerances:,,,,,,,,,,
label,North/South +/- 3°,,,,,,,,,,
label,East/West +/- 3°,,,,,,,,,,
label,Pile Twisting from axis +/- 5°,,,,,,,,,,
label,Distance E/W +/- 100mm,,,,,,,,,,
label,N/S +/- 50mm,,,,,,,,,,
label,Reveal Height +/- 100mm,,,,,,,,,,
label,Height difference foundation posts within one row +/- 50mm,,,,,,,,,,
label,Piles have no damage deformation and in correct orientation,,,,,,,,,,
label,Piling ITCs completed for each table ,,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,,
checkpoint,Pile Depth,,,,,,,,,,
label,Drive piles to marked embedment depth or until they reach the point of refusal,,,,,,,,,,
label,Pile locations recorded and marked in Piling Maps,,,,,,,,,,
label,Record Actual Pile embedment Depth and reveal heights in Data Tracker,,,,,,,,,,
label,Pile refusal in accordance with Pile Installation Manual,,,,,,,,,,
label,Piles cut and holes drilled and cold galvanising applied as per Schletter Installation Instructions,,,,,,,,,,
label,Piles are installed to a minimum driven depth of 1.8m ,,,,,,,,,,
label,If Pile refusal is found at 1.5-1.7m Perform individual Pile Test with Vertical SLS Load: 11.31kN with a displacement of less than 5mm after resetting to 0kN and Horizontal SLS Load: 5.77kN with a displacement of less than 5mm after resetting to a load of 0kN.,,,,,,,,,,
label,If Pile refusal is found at shallow depth of <1.5m consider predrilling a 300mm diameter hole to a minimum of 1.5m in depth and backfill with stabilised sands and perform one pile test per area to determine foundation strength.,,,,,,,,,,
label,Piling ITC's completed for each table,,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,,
checkpoint,Pile Predrilling,,,,,,,,,,
label,For every pile predrilled:,,,,,,,,,,
label,Predrill pile holes to be drilled and cleaned out to a minimum of 1.5m deep and results recorded,,,,,,,,,,
label,Predrill holes are a minimum of 300mm diameter and results recorded,,,,,,,,,,
label,Pile Predrill holes are backfilled with an approved material,,,,,,,,,,
label,Predrilling ITC's completed for each table,,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,,
checkpoint,Cold Galvanisation Product Application,,,,,,,,,,
label,Review & approval of galvanisation product,,,,,,,,,,
label,Top 30mm of each pile must be sealed with an appropriate zinc coating as per Schletter FS Duo Installation Manual,,,,,,,,,,
label,Application of zinc protection follow paint manufacturers recommendations,,,,,,,,,,
label,Predrilling ITC's completed for each table,,,,,,,,,,
section,Post Installation Testing,,,,,,,,,,
checkpoint,Refusal at depth (1.5-1.7m or less),,,,,,,,,,
label,If Pile refusal is found at 1.5-1.7m Perform individual Pile Test with Vertical SLS Load: 11.31kN with a displacement of less than 5mm after resetting to 0kN and Horizontal SLS Load: 5.77kN with a displacement of less than 5mm after resetting to a load of 0kN.,,,,,,,,,,
label,If Pile refusal is found at shallow depth of <1.5m predrilling a 300mm diameter hole to a minimum of 1.5m in depth and backfill with an approved material and perform one pile test per area to determine foundation strength.,,,,,,,,,,
label,Hold Point for United Civil,,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,,
section,Post Construction & Handover,,,,,,,,,,
checkpoint,Final Inspection & Walkthrough,,,,,,,,,,
label,Comprehensive Visual Inspection of all installed piles,,,,,,,,,,
label,Compliance with approved design and specifications,,,,,,,,,,
label,Verify all piles meet design and functional requirements,,,,,,,,,,
label,Area ready for subsequent construction activities,,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
checkpoint,Non-Conformance-Reports,,,,,,,,,,
label,"Each Non-Conformance Reported, Rectified & Closed Out",,,,,,,,,,
checkpoint,Punch List,,,,,,,,,,
label,Development of Punchlist with Client and Contractor Representative,,,,,,,,,,
label,Punch List closed out in a timely manor,,,,,,,,,,
checkpoint,Documentation,,,,,,,,,,
label,On completion of the Piling works for this Block,,,,,,,,,,
label,Supply all documentation on completion of the Piling works for the block,,,,,,,,,,
label,"Submission of all test results, ITC's and any as-built drawings",,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
,,,,,,,,,,,
checklist,ITP - Racking Installation,itp,,,,,ITP - Racking Installation,,,,
section,Location Details,,,,,,,,,,
checkpoint-no-status,Site Reference - Block,,,,,,,,,,
dropdown,Site Reference,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,,,,,,,
section,Preconstruction,,,,,,,,,,
checkpoint,Design Review,,,,,,,,,,
label,Verification of Racking Design and Layout,,,,,,,,,,
label,Compliance with approved drawings and structural analysis,,,,,,,,,,
label,Design Approval Documentation,,,,,,,,,,
label,Schletter FS Duo - Fixed Tilt Installation Procedure,,,,,,,,,,
label,01_Maungaturoto_FS2V-23°-12_DUO_EX ,,,,,,,,,,
label,02_Maungaturoto_FS2V-23°-12_DUO_EX,,,,,,,,,,
holdpoint,CHINT Hold Point,,,,,,,,,,
checkpoint,Material Approval,,,,,,,,,,
label,"Approval of Racking components (e.g., frames, bolts etc)",,,,,,,,,,
label,Compliance with material specifications & standards,,,,,,,,,,
label,Material Test Certificates,,,,,,,,,,
holdpoint,CHINT Hold Point,,,,,,,,,,
checkpoint,Equipment Verification,,,,,,,,,,
label,Inspect equipment and tools for installation,,,,,,,,,,
label,Equipment is functional and calibrated,,,,,,,,,,
label,Equipment Records where applicable,,,,,,,,,,
checkpoint,Survey and Marking,,,,,,,,,,
label,Visually Inspect & Verify alignment and marking of racking locations,,,,,,,,,,
label,Alignment with approved layout drawings,,,,,,,,,,
checkpoint,Ground Preparation,,,,,,,,,,
label,Visual Inspection of clearing and levelling of the site,,,,,,,,,,
label,"Free from debris, vegetation, and obstructions",,,,,,,,,,
checkpoint,Foundation Verification,,,,,,,,,,
label,Verify foundation conditions and readiness for racking,,,,,,,,,,
label,Foundation integrity meets specifications,,,,,,,,,,
label,ITC completed for each table with piles installed,,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,,
section,Racking Installation,,,,,,,,,,
checkpoint,Frame Assembly,,,,,,,,,,
label,Inspect assembly of racking frames,,,,,,,,,,
label,Proper assembly as per Schletter FS Duo Installation Manual specifications,,,,,,,,,,
label,Visual Inspection of each frame,,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,,
section,Post Installation Checks,,,,,,,,,,
checkpoint,Mounting of Girders,,,,,,,,,,
label,Mechanical Installation ITC's are completed for Mounting of Girders,,,,,,,,,,
label,Each M12x30 bolt passed through from the Girder and fixed on the Pile with a M12 Washer and M12 Flange Serrated Nut,,,,,,,,,,
label,Torqued to value of +/- 5% of 56Nm and pass/fail recorded,,,,,,,,,,
label,Each bolted connection shall be marked after torquing,,,,,,,,,,
label,"K&T to check 100%, United Civil to check 15%, CHINT to Check 5%",,,,,,,,,,
checkpoint,Girder to Foundation Post Step Check,,,,,,,,,,
label,Mechanical Installation ITC's are completed for Girder to Post Installation,,,,,,,,,,
label,All Angles of the Girders to the horizontal are an angle of 23° +/- 1°,,,,,,,,,,
label,"K&T to check 100%, United Civil to check 15%, CHINT to check 5%",,,,,,,,,,
