"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"05b1a614-6b42-458d-b173-630463585c6a","","folder-normal","not-started","","step","TRUE","FALSE","Project QA"
"759d80e3-3e53-4ba4-8e02-e0e755684bdf","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","North Elevation"
"e5da91df-c476-4ff0-aadc-5e3f599bd63a","","checklist-sectioned","not-started","QA - Panel Installation","checklist","FALSE","FALSE","Project QA","North Elevation","Installation"
"108aed21-cf85-4f21-b1cc-e196a9bd6b52","","checklist-sectioned","not-started","QA - Panel Fabrication","checklist","FALSE","FALSE","Project QA","North Elevation","On-site Fabrication"
"2576cc37-ba77-4d15-88f4-fafdeca27303","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","East Elevation"
"14d7926a-ff6d-45e0-80cf-872fc58eab44","","checklist-sectioned","not-started","QA - Panel Installation","checklist","FALSE","FALSE","Project QA","East Elevation","Installation"
"95ec840a-78c6-4812-8e2a-ce88a6c7a412","","checklist-sectioned","not-started","QA - Panel Fabrication","checklist","FALSE","FALSE","Project QA","East Elevation","On-site Fabrication"
"8353f444-8d4e-4b9c-9abc-24b1669bd121","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","West Elevation"
"fccaa5e8-eb11-4875-ae3f-8e058711c2a6","","checklist-sectioned","not-started","QA - Panel Installation","checklist","FALSE","FALSE","Project QA","West Elevation","Installation"
"26e6e4d6-300b-4956-9b5d-ccfda713ef08","","checklist-sectioned","not-started","QA - Panel Fabrication","checklist","FALSE","FALSE","Project QA","West Elevation","On-site Fabrication"
"c465f6f2-7a8d-4b14-a886-4c38a972d995","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","South Elevation"
"509695ad-3be5-497f-9985-0091a47da8a7","","checklist-sectioned","not-started","QA - Panel Installation","checklist","FALSE","FALSE","Project QA","South Elevation","Installation"
"87972dba-66ac-4afc-b513-d2743f7d7675","","checklist-sectioned","not-started","QA - Panel Fabrication","checklist","FALSE","FALSE","Project QA","South Elevation","On-site Fabrication"
