"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"05b1a614-6b42-458d-b173-630463585c6a","","folder-normal","not-started","","step","TRUE","FALSE","Project QA"
"759d80e3-3e53-4ba4-8e02-e0e755684bdf","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","North Elevation"
"e5da91df-c476-4ff0-aadc-5e3f599bd63a","","checklist-sectioned","not-started","QA - Panel Installation","checklist","FALSE","FALSE","Project QA","North Elevation","Installation"
"7c4ee4d7-fd7c-54d2-af5c-758ea1164da3","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","North Elevation","Installation","PRE-START"
"6904b573-8f17-5d76-9f35-0c99c68ddc9b","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PRE-START","Check structure/frame is constructed in accordance with Symonite shop drawings. Ensure set out centres are correct (1465mm East and West, 1415mm North and South)"
"98cb4b4b-8fff-5eb8-a0a3-6848f6483b33","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PRE-START","Check joinery (by others) and abutments for aligment"
"583f30c5-d20d-534e-981e-220b6256fdc4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PRE-START","Check all flashings (if applicable) installed and fitted as per shop drawings"
"e8fc9c2e-7db9-551c-a5f7-eb23366be24d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PRE-START","Check building wrap/RAB/insulation/tenmat fitted as required and defect free"
"30f1af56-eace-5abb-9a6e-e68c76f42bce","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PRE-START","Check presence and correct fitment of any other critical elements"
"7980971c-a457-51b5-9d3c-2e3d3a283ea7","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","North Elevation","Installation","PRE-CLADDING INSTALLATION"
"6bec5937-7318-5f35-a027-6d4912378848","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PRE-CLADDING INSTALLATION","Install base / break flashings as detailed in shop drawings (if required)"
"05715fb4-a86d-5b3d-a032-42c2f0cd4d32","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PRE-CLADDING INSTALLATION","Install Naideck Tape at weather line penetrations"
"3594c18b-92cc-5254-9da3-df569a645390","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PRE-CLADDING INSTALLATION","Install top hat brackets as detailed plumb and level, use correct fixing as per drawings (ensuring embendment within structure as per shop drawings - note this varies per elevation)"
"78c7a0c6-aed7-5517-ba18-9d3357b77d67","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PRE-CLADDING INSTALLATION","Vertical Fixing rails installed as detailed plumb and level, use correct fixing as per drawings"
"86591444-5ab4-5a71-8733-1476c6da5205","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","North Elevation","Installation","PANEL INSTALLATION"
"5f30a2bd-f8bb-507a-98de-5ef91e101457","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PANEL INSTALLATION","Check panel size and identification is correct for location, no defects"
"a33d3fd4-1f38-59ef-9d9c-7a900ac83c2e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PANEL INSTALLATION","Fix off panels to rails, use correct fixing as per drawings"
"5a45ea9f-f510-5a13-a54d-2adda51e1058","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PANEL INSTALLATION","Install closer / vermin flashings as required"
"9814a772-63c6-5fa8-9179-df03aa51ecbd","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PANEL INSTALLATION","Install sill flashings below windows, with stabiliser brackets"
"00fbb3b1-0e9d-584b-a245-4ba6d15c4f45","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PANEL INSTALLATION","Install stabiliser brackets to window head flashings where required"
"c051fada-4902-58e2-aec2-af68e507e048","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","Installation","PANEL INSTALLATION","Install Sealant and backing rod as per shop drawings (ensuring joints do not exceed 20mm)"
"108aed21-cf85-4f21-b1cc-e196a9bd6b52","","checklist-sectioned","not-started","QA - Panel Fabrication","checklist","FALSE","FALSE","Project QA","North Elevation","On-site Fabrication"
"5c685703-6ea7-5799-a016-b565782f77f8","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","North Elevation","On-site Fabrication","PRE-START"
"73be786e-6351-5e89-96b9-cd625e4f1903","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","On-site Fabrication","PRE-START","Check panel delivered is in accordance with dimensions related to fabrication drawings"
"dea1f302-6e4b-543c-811a-b7f96d1333ea","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","On-site Fabrication","PRE-START","Check fold locations are correct to Symonite Shop Drawings and existing structure"
"c3e1b51f-a864-5a08-8a95-caad54e4e2b2","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","On-site Fabrication","PRE-START","Ensure correct tooling method used as detailed within fabrication drawings"
"fa084fed-aae4-541b-8bfd-c229d231e5f4","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","North Elevation","On-site Fabrication","PANEL FABRICATION"
"96b5edde-3eef-55f9-b954-2b3c25baf01c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","On-site Fabrication","PANEL FABRICATION","Panel cut to match existing structure / symonite shop drawing"
"dbdc991c-ef17-5bc4-ac13-977dce68000a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","On-site Fabrication","PANEL FABRICATION","Stiffeners cut to correct length"
"31f099d7-ee63-5eaf-ada1-9a9b0b9bcf77","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","On-site Fabrication","PANEL FABRICATION","Panel cleaned / prepared using Aktivator 205 for Sika 522 Adhesive"
"5de48b07-5260-5ec2-9f3e-55309feedc24","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","On-site Fabrication","PANEL FABRICATION","Stiffeners bonded at correct centres (based on fabrication drawings)"
"62b5b176-478e-529b-9a2e-8571dd3a04bd","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","On-site Fabrication","PANEL FABRICATION","Time taken to allow stiffener bonding to cure as per manufacturer's specification (24hrs)"
"15d20af4-e481-550a-836e-5434dbb7456b","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","North Elevation","On-site Fabrication","PANEL FABRICATION","Gusset installation as per fabrication drawings"
"2576cc37-ba77-4d15-88f4-fafdeca27303","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","East Elevation"
"14d7926a-ff6d-45e0-80cf-872fc58eab44","","checklist-sectioned","not-started","QA - Panel Installation","checklist","FALSE","FALSE","Project QA","East Elevation","Installation"
"72b36f31-2602-5dac-a7b7-c736c0b8285e","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","East Elevation","Installation","PRE-START"
"6d306842-7bb3-5e7f-a767-18eeb2073a6e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PRE-START","Check structure/frame is constructed in accordance with Symonite shop drawings. Ensure set out centres are correct (1465mm East and West, 1415mm North and South)"
"544259be-d716-5e93-9485-a5ea04c0be56","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PRE-START","Check joinery (by others) and abutments for aligment"
"3abfcb10-cf77-58bf-8393-d529ec5ae73f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PRE-START","Check all flashings (if applicable) installed and fitted as per shop drawings"
"f5e54138-9782-57af-a0fe-80c798cfb5c3","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PRE-START","Check building wrap/RAB/insulation/tenmat fitted as required and defect free"
"85de3235-aa7e-50f9-96a6-d2de7c86e99e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PRE-START","Check presence and correct fitment of any other critical elements"
"f04723aa-3f18-591c-8d80-9c5bbb18e0c7","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","East Elevation","Installation","PRE-CLADDING INSTALLATION"
"f8da66b4-cdbe-5602-a721-88c79edeb146","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PRE-CLADDING INSTALLATION","Install base / break flashings as detailed in shop drawings (if required)"
"d1b89f5c-4175-5f5a-8bd4-9d453aee4e42","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PRE-CLADDING INSTALLATION","Install Naideck Tape at weather line penetrations"
"9fe1528c-8aad-52ba-a0df-246c68b89e93","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PRE-CLADDING INSTALLATION","Install top hat brackets as detailed plumb and level, use correct fixing as per drawings (ensuring embendment within structure as per shop drawings - note this varies per elevation)"
"e27a9136-05e4-5817-a309-11631acf2d54","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PRE-CLADDING INSTALLATION","Vertical Fixing rails installed as detailed plumb and level, use correct fixing as per drawings"
"3f9b18b9-d31d-5f19-ad21-63000db3fbe1","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","East Elevation","Installation","PANEL INSTALLATION"
"fe5b2eb0-aeaf-5a4c-80cb-0546ed5ac797","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PANEL INSTALLATION","Check panel size and identification is correct for location, no defects"
"6bb782da-c55e-5096-ad83-09f54bfe3e4e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PANEL INSTALLATION","Fix off panels to rails, use correct fixing as per drawings"
"5140ec6c-3322-5d51-a9f0-4125ced0a587","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PANEL INSTALLATION","Install closer / vermin flashings as required"
"1f8dc05f-522e-5430-862d-61109257a27b","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PANEL INSTALLATION","Install sill flashings below windows, with stabiliser brackets"
"a9030e30-3634-5457-b080-e3940248ffb3","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PANEL INSTALLATION","Install stabiliser brackets to window head flashings where required"
"e5e6c1cd-d0de-5e1f-b8cb-bdf3b296809d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","East Elevation","Installation","PANEL INSTALLATION","Install Sealant and backing rod as per shop drawings (ensuring joints do not exceed 20mm)"
"95ec840a-78c6-4812-8e2a-ce88a6c7a412","","checklist-sectioned","not-started","QA - Panel Fabrication","checklist","FALSE","FALSE","Project QA","East Elevation","On-site Fabrication"
