Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,
checklist-sectioned,,,checklist,ITP - Pavement Rehab - SH 36 - Kaharoa Road South,itp,,,1,Yes,ITP - Pavement Rehab - SH 36 - Kaharoa Road South,9423e53b-6dcd-4d41-bcdc-ec2e14642554,,,,,,,
checkpoint-group,,,section,1. Procurement,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Geometric Design,,,,,,,,,,,,,,
label,2d4596d2-944c-55d0-a044-ffde9fab1d56,,note,"Controlling Documents - Austroads Guide to Road Design Part 3: Geometric Design, TNZ State Highway Geometric Design Manual",,,,,,,,,,,,,,
label,0cb9bf15-3ef7-53f2-98a8-af00896cc881,,note,Acceptance Criteria - Principal Approval,,,,,,,,,,,,,,
label,f832b364-6eca-524b-9a9d-471289a7543c,,note,Method - Contractor and Principal peer review,,,,,,,,,,,,,,
label,5d7e0a57-c55f-54f7-abd1-5a9b9528bfc4,,note,Frequency - per design revision,,,,,,,,,,,,,,
label,b1d06ccf-cd6c-5392-aacf-6ce6902a142b,,note,Conduct - C or S,,,,,,,,,,,,,,
label,7fbbfd95-58c1-5520-92cf-db3a26f5432f,,note,Produce Record - C,,,,,,,,,,,,,,
label,ab2d3352-b6d9-5860-b491-a2c3ddccc683,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pavement Treatment Design,,,,,,,,,,,,,,
label,4db457a8-ba94-5880-ae94-16d5eccc7826,,note,"Controlling Documents - Austroads Guide to Pavement Technology, New Zealand Guide to Pavement Evaluation and Treatment Design:2018 (Version 1.2)",,,,,,,,,,,,,,
label,63fc8a46-46e9-572f-bda8-3c87dcd6393f,,note,Acceptance Criteria - Principal Approval,,,,,,,,,,,,,,
label,650fc772-5a2b-5e19-ac41-389b07606981,,note,Method - Contractor and Principal peer review,,,,,,,,,,,,,,
label,9417a9fb-607c-5152-95cb-ad7b4c0a1b64,,note,Frequency - per design,,,,,,,,,,,,,,
label,c7317b46-f04e-5447-bc3f-e9991cb319c0,,note,Verifying Document - Approvals Register - Pavement Rehabilitation Design Report,,,,,,,,,,,,,,
label,922a03ba-9e70-5ce7-99df-ce3b6af2e669,,note,Conduct - C or S,,,,,,,,,,,,,,
label,80b45320-b3f0-57c7-b99f-c6b8d7c3ca24,,note,Produce Record - C,,,,,,,,,,,,,,
label,26faf3f7-3851-5da4-807f-0b3ffd4c4dbc,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: GAP 65 Pre-treatment Material - Aggregate Sampling,,,,,,,,,,,,,,
label,533637bf-fc13-54b3-b5e1-4b96bac12b7f,,note,"Controlling Documents - NZS 4407:2015, WSP Rotorua Sampling Guide",,,,,,,,,,,,,,
label,d56e0836-5158-5533-b5bb-23510d801b2a,,note,Verifying Document - Sampling Worksheet,,,,,,,,,,,,,,
label,adbe4b92-f355-5a96-aa75-986d8cf2503c,,note,Conduct - C or S,,,,,,,,,,,,,,
label,7c71eab4-1e04-5dd1-83ad-a91ce43842f6,,note,Approval - S,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: GAP 65 Pre-treatment Material - Source Property Test,,,,,,,,,,,,,,
label,ea0b32ec-b8d4-518f-81d3-9077b56417a5,,note,Controlling Documents - CBR - BOPE NOC Contract Documents Maintenance Specification Section 2.5.3,,,,,,,,,,,,,,
label,92bcbd89-8b2b-5b1b-8f06-ef39812bebf0,,note,Acceptance Criteria - Soaked CBR ≥ 40,,,,,,,,,,,,,,
label,344402c1-ec89-5c2f-9a85-8369865cba55,,note,Method - Soaked CBR test (NZS:4407:2015:3.15),,,,,,,,,,,,,,
label,448a4dd7-0323-5af4-9fa0-b9a06ed6b5cf,,note,Responsible Person - Supervisor,,,,,,,,,,,,,,
label,b8f66286-21fe-5599-87e2-220a544fd037,,note,Verifying Document - Test Report,,,,,,,,,,,,,,
label,694ca1c0-c24f-5201-a1e1-f20862fb8319,,note,Conduct - Sp or C or S,,,,,,,,,,,,,,
label,164bf214-2ac0-50a5-89f2-344a50e69e03,,note,Produce Record - Sp or S,,,,,,,,,,,,,,
label,4f9c4db8-b9a5-5414-b4be-f351b7bbf6b5,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: GAP 65 Pre-treatment Material - Production Property Test,,,,,,,,,,,,,,
label,55ce88ec-80c6-5208-9022-9ec83884e4ea,,note,Controlling Documents - Sand Equivalent - BOPE NOC Contract Documents Maintenance Specification Section 2.5.3,,,,,,,,,,,,,,
label,9a035835-8066-54c3-9335-20b6a9037cb7,,note,"Acceptance Criteria - Sand Equivalent >35, OR <35 but well graded with no more than 10% by mass passing through a 0.425mm sieve",,,,,,,,,,,,,,
label,a8884b26-6e07-54ce-983b-0d06a90311bb,,note,"Method - Sand Equivalent Test (NZS:4407:2015, 3.6)",,,,,,,,,,,,,,
label,96292080-297e-577a-aac0-a2490da0efde,,note,Responsible Person - Supervisor,,,,,,,,,,,,,,
label,cc113fb2-ea8e-52c6-997b-b445f45fb4f8,,note,Verifying Document - Test Report,,,,,,,,,,,,,,
label,485eca4d-4a0a-55e1-9fc4-303ce2f7d91e,,note,Conduct - Sp or C or S,,,,,,,,,,,,,,
label,f6811b9f-3cab-51dc-bd8d-537639909f06,,note,Produce Record - Sp or S,,,,,,,,,,,,,,
label,26741ed1-4afa-5de7-8100-a7462ecbac6e,,note,Approval - E,,,,,,,,,,,,,,
holdpoint,,,signoff,HOLD POINT,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: M/4 AP40 Basecourse Material - Aggregate Sampling,,,,,,,,,,,,,,
label,64eac7b0-4a94-5586-90a2-b23f766ecf36,,note,"Controlling Documents - NZS 4407:2015, WSP Rotorua Sampling Guide",,,,,,,,,,,,,,
label,e744ad4e-dedb-5940-973b-fdd1516a49a9,,note,Verifying Document - Sampling Worksheet,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Materials: M/4 AP40 Basecourse Material - Source Property Test (1),,,,,,,,,,,,,,
label,dacb2244-e65f-552d-acee-23201f29861f,,note,"Controlling Documents - Crushing Resistance (3.3.1) - TNZ M/4: 2006, NZS 4407: 1991 Test 3.10 (The Crushing Resistance Test)",,,,,,,,,,,,,,
label,2a4ff228-1666-5314-93ba-9b4691e42194,,note,Acceptance Criteria - less than 10% fines passing 2.36mm sieve size under a load of 130kN,,,,,,,,,,,,,,
label,5d0e8cbc-8d76-5d03-8e79-d6fa5f0664b3,,note,"Method - Curshing Resistance Test (NZS 4407:1991, Test 3.10)",,,,,,,,,,,,,,
label,bcc91c61-428e-58ec-9abb-64a6ac555968,,note,"Frequency - One test for every 10,000m³ of source material",,,,,,,,,,,,,,
label,b1fcc7a9-387b-5efa-8760-3425b0543c8f,,note,Responsible Person - Quality Controller,,,,,,,,,,,,,,
label,d995ba9d-b179-5620-ba6a-04f9fc59dca6,,note,Verifying Document - Test Report,,,,,,,,,,,,,,
label,7b649238-eb0b-5d64-bbf1-368df3a22f29,,note,Conduct - Sp or C or S,,,,,,,,,,,,,,
label,51620714-ea9c-5f79-9f9e-21450e6fc2a4,,note,Produce Record - Sp or S,,,,,,,,,,,,,,
