"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d365d5fa-61c9-49a3-aeed-96dd907aeda6","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"62d513ab-699e-58a5-b46c-986bfd4cf11c","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"23fd21d0-d76a-4e4e-bba9-17f00b013321","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture"
"02e5b060-d1ca-4108-94d4-971d19ab6063","","checklist-sectioned","pass","d445abf1a31c2db1731abc4e69e7a97b58c2708cdb80c557fdb618a745b730f8","checklist","FALSE","FALSE","Precast Manufacture","WELD PLATE DETAILS"
"1e3207d8-ad52-526d-86bf-fbb722daca3c","","checkpoint-group","pass","","","TRUE","TRUE","Precast Manufacture","WELD PLATE DETAILS","Weld plate details"
"48d4a2af-edca-5dc1-8d6c-d4a206b7afc6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","WELD PLATE DETAILS","Weld plate details","Edge Detail"
"758d6f45-b19a-5228-a017-7e870ada868f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","WELD PLATE DETAILS","Weld plate details","Bar Projections"
"92bc2813-4043-5a85-abf5-8814f70e7731","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","WELD PLATE DETAILS","Weld plate details","Cast in items"
"e97a792b-39c8-45ea-862d-b15dbae508fc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels 30 - 49"
"78caf3c8-4846-49ec-8bd1-53fefd120de6","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE","Precast Manufacture","Panels 30 - 49","Panel - 30"
"78ebd773-5ca8-5bbd-801a-30b3750aae06","","checkpoint-group","work-in-progress","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Pre-Pour Check"
"045aa7fe-5b5e-5ab6-9448-cba068208315","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Pre-Pour Check","Dimensions"
"abdad993-a572-54d4-a425-50acfe579547","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Pre-Pour Check","Mould Clean"
"bbce5851-ed08-5bb8-a092-64708df9bcfb","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Pre-Pour Check","Mould Oiled"
"e28fa805-a641-5f60-ad29-dd1253c0e55d","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Pre-Pour Check","Mould - Workmanship"
"35f49f2b-4437-504d-b068-dab4f83c8f4d","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Pre-Pour Check","Reinforcing"
"d2704242-515b-5666-9985-7e5fe02e2c38","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Pre-Pour Check","Cast In Items"
"095119e3-6386-55a9-84a2-5fc799b8aaee","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Pre-Pour Check","Marker Position and No."
"f35fe95a-d2d4-5b9f-9dc8-29b0c117b81c","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Pre-Pour Check","Make mould to Green Status"
"36fcef7b-a983-53e8-a985-fce02b1fc0cf","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Concrete Works"
"1b0eaa7b-14c8-5326-8a19-8e16fa024e3a","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Concrete Works","Concrete Works Details"
"79effc19-914f-543c-940b-76eb69d0fc77","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Concrete Works","Wilco Sample Taken"
"92967c3d-55af-55eb-bb24-765b9fc919f6","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Concrete Works","Bridgeman Sample Taken"
"67831187-b108-5de3-b4b5-eae780a5b7f0","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Concrete Works","Supervisor Approval"
"42360147-1c4a-5927-a3a4-db8872bf16b2","","checkpoint-group","not-started","","","TRUE","TRUE","Precast Manufacture","Panels 30 - 49","Panel - 30","Post Pour Check"
