resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,step,,,Site QA,,,,,,,,
Lift Pits Waterproofing,,,checklist,,,,Lift Pits,,,,,,,
,,,step,,,,Basement,,,,,,,
Internal Wet Areas,,,checklist,,,,,Internal Wet Areas,,,,,,
Waste/Bin Rooms,,,checklist,,,,,Service Rooms,,,,,,
Fire Sprinkler Tanks Waterproofing,,,checklist,,,,,Fire Sprinkler Tanks,,,,,,
,,,step,,,,Ground Floor,,,,,,,
"Roof, Terraces & Walkways Waterproofing",,,checklist,,,,,External Common Areas ,,,,,,
Internal Wet Areas,,,checklist,,,,,Internal Wet Areas,,,,,,
Planter Box Waterproofing,,,checklist,,,,,Planter Boxes,,,,,,
,,,step,,,,Level 1,,,,,,,
,,,step,,,,,101,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,102,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,103,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,104,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,105,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,106,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,107,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,108,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,109,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,110,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,111,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,112,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,113,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,114,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,115,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,116,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,117,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,118,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,119,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,120,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,121,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,122,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,123,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,124,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
Planter Box Waterproofing,,,checklist,,,,,,Planter Boxes,,,,,
,,,step,,,,,125,,,,,,
Hobs,,,checklist,,,,,,Hobs,,,,,
Internal Wet Areas,,,checklist,,,,,,Internal Wet Areas,,,,,
Balcony Waterproofing (+Apply Polyguard),,,checklist,,,,,,Balcony,,,,,
