"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4268d4c0-664d-4da5-b23f-b5921d58d91b","","folder-normal","fail","","step","TRUE","FALSE","External Envelope / Facade QA"
"55d94101-c298-4f1f-ba15-f132642a91e4","","folder-normal","pass","","step","TRUE","FALSE","External Envelope / Facade QA","Level 1"
"a2709db2-06de-57fd-a207-32aa1571fa6e","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 1","North Elevation"
"aa6a8ac7-d276-5239-a856-28ad140349b6","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 1","East Elevation"
"c4ff71cf-fb85-5acb-97ab-def5d9c589c8","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 1","South Elevation"
"d7610c4d-997c-5901-ad1c-b4391651f834","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 1","West Elevation"
"47b3583a-d7b3-40ca-9c4b-3a61572ac07e","","folder-normal","pass","","step","TRUE","FALSE","External Envelope / Facade QA","Level 2"
"50f2738e-895b-5afb-b052-ae6492f2e82f","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 2","North Elevation"
"5189dde5-da03-554d-8f28-a886b0abc406","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 2","East Elevation"
"66552199-ab1d-569d-87d8-e01ba02fcea1","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 2","South Elevation"
"6955296a-5a99-5f39-a744-c45015420bec","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 2","West Elevation"
"83d31d36-3fe8-438d-9f81-d4535cb7d0db","","folder-normal","pass","","step","TRUE","FALSE","External Envelope / Facade QA","Level 3"
"05dd84dc-4217-5181-9691-45f008f2c3c6","","checklist-flat","pass","11b96c095e2e8bcbb9269020a0133282d03cea3b164beb686799bce15655cbde","checklist-flat","FALSE","FALSE","External Envelope / Facade QA","Level 3","North Elevation"
