type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,
checklist,Add Delivery Docket,,,,,,Delivery Docket,46cd9896-0022-421d-89fa-24a2cf8072d2,
section,Details,,,,,,,,
checkpoint,Please take photo or attach docket,,,,,,,,
,,,,,,,,,
checklist,Add Non Conformance Corrective Action Report,,,,,,Non Conformance Corrective Action Report -,89c288e3-c10f-4ad2-85aa-1913eeb00fbc,
section,Details,,,,,,,,
checkpoint-no-value,Report,,,,,,,,
textbox,Report Reference:,,,,,,,,
textbox,Customer Name:,,,,,,,,
textbox,Job Number:,,,,,,,,
textbox,Purchase Order Number:,,,,,,,,
textbox,Delivery Docket No:,,,,,,,,
note,Part,,,,,,,,
textbox,Part Description:,,,,,,,,
textbox,Part Identification:,,,,,,,,
note,Non-Compliance,,,,,,,,
textbox,Non-compliance description:,,,,,,,,
note,Cause,,,,,,,,
note,Root cause description of the non-compliance:,,,,,,,,
tickbox,Technical Detail,,,,,,,,
tickbox,Production,,,,,,,,
tickbox,OH&S,,,,,,,,
tickbox,Delivery,,,,,,,,
tickbox,Client Side (Handling/Application),,,,,,,,
note,Corrective Action,,,,,,,,
note,Action taken to correct the immediate non-compliance:,,,,,,,,
note,Quality Assurance,,,,,,,,
tickbox,Rework,,,,,,,,
tickbox,Accepted Under Concession,,,,,,,,
tickbox,Replace,,,,,,,,
tickbox,No Action Required,,,,,,,,
note,OH&S,,,,,,,,
tickbox,Re-Induction,,,,,,,,
tickbox,Warning,,,,,,,,
tickbox,Rectification,,,,,,,,
tickbox,SWMS Review,,,,,,,,
note,Preventative Action,,,,,,,,
textbox,Action neccessary to eliminate the root cause of the non-compliance:,,,,,,,,
note,Verification,,,,,,,,
textbox,Verify the corrective and preventative action taken is adequate and effective:,,,,,,,,
textbox,Manager's Name:,,,,,,,,
note,Customer Validation,,,,,,,,
textbox,Validate the corrective and preventative action is adequate and effective:,,,,,,,,
textbox,Representative Name:,,,,,,,,
,,,,,,,,,
checklist,Add Offhire Information,,,,,,Offhire Information -,3c0ec7bb-f018-4c3e-86a9-d84bc4a319b2,
section,Details,,,,,,,,
checkpoint,All Offhire Information Completed,,,,,,,,
textbox,Site:,,,,,,,,
textbox,P.O Number:,,,,,,,,
textbox,Offhire No.:,,,,,,,,
textbox,Offhire Date:,,,,,,,,
textbox,Hire Company:,,,,,,,,
textbox,Plant/Materials:,,,,,,,,
textbox,Full/Part Offhire:,,,,,,,,
textbox,Missing Parts:,,,,,,,,
textbox,Damage:,,,,,,,,
,,,,,,,,,
checklist,Add Onsite Material Install Form,,,,,,Onsite Material Install Form,47033a2c-7bc1-4725-b05a-c9badaa9ca09,
section,Details,,,,,,,,
checkpoint,Onsite Material Install Details Completed,,,,,,,,
textbox,Job:,,,,,,,,
textbox,Area:,,,,,,,,
textbox,Details of Works Completed:,,,,,,,,
textbox,Actual Onsite Hours:,,,,,,,,
textbox,Allowed or Budgeted Hours:,,,,,,,,
textbox,Comments:,,,,,,,,
,,,,,,,,,
checklist,Add Pre-Start Toolbox,,,,,,Pre-Start Toolbox,a7e47604-c95a-44ca-82c6-c24643ad87aa,
section,Pre-Start Toolbox,,,,,,,,
checkpoint,Pre-Start Toolbox,,,,,,,,
textbox,Project:,,,,,,,,
textbox,Location:,,,,,,,,
textbox,Job No:,,,,,,,,
textbox,Supervisor:,,,,,,,,
textbox,Foreman:,,,,,,,,
textbox,Builder:,,,,,,,,
textbox,CONDUCTED BY:,,,,,,,,
textbox,TOOLBOX DATE:,,,,,,,,
signoff,Attendees - Add Signature here,,,,,,,,
section,BEFORE STARTING WORK,,,,,,,,
checkpoint,"Have SWMS been read, signed and methodology understood and agreed to.",,,,,,,,
checkpoint,Has every worker been inducted into site.,,,,,,,,
checkpoint,Has consultation been conducted about the task to be undertaken,,,,,,,,
checkpoint,Does everyone have the necessary training and qualification to perform the task,,,,,,,,
checkpoint,Does everyone have the correct PPE for the task,,,,,,,,
checkpoint,Have handrail & wire mesh inspections been completed prior to accessing roof.,,,,,,,,
checkpoint,Is safe access and egress to all areas acceptable to your work group.,,,,,,,,
checkpoint,Has the apprentice been allocated an experienced tradesman to work with,,,,,,,,
checkpoint,Will work area impact overhead powerlines or live electrical wiring and are correct permits and SWMS available.,,,,,,,,
checkpoint,Have manual handling issues been identified and assessed,,,,,,,,
checkpoint,Are perimeter exclusion zones required and have they been installed,,,,,,,,
checkpoint,(Working at height tasks) Have live edges/voids/fall hazards been identified and have they been barricaded / excluded,,,,,,,,
checkpoint,"Have plant pre-start inspection checks been completed, have checks been made to ensure ground conditions are safe for plant operation.",,,,,,,,
checkpoint,Are safety measures in place for working near a suspended loads,,,,,,,,
checkpoint,Notes,,,,,,,,
textbox,Notes,,,,,,,,
,,,,,,,,,
checklist,Add Tool Box Training,,,,,,Tool Box Training,0c4d82bb-9ace-492c-bdd4-94efddecce03,
section,Details,,,,,,,,
checkpoint,All Tool Box Training Details Complete,,,,,,,,
textbox,Foreman:,,,,,,,,
textbox,Any OH&S Issues,,,,,,,,
textbox,Action to be taken,,,,,,,,
textbox,Suggestions:,,,,,,,,
textbox,Please list all present at your toolbox training session:,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
textbox,,,,,,,,,
note,Add additional attendees in comments below as required,,,,,,,,
,,,,,,,,,
checklist,COVID Contact Tracing Register - add additional register,,,,,,Record COVID Contact Tracing Details,e0d48544-4adf-4137-bee6-b947c879c636,
section,Details,,,,,,,,
checkpoint,All COVID Contact Tracing Register details inputted below,,,,,,,,
textbox,Building:,,,,,,,,
textbox,Work Area:,,,,,,,,
textbox,Employee Names:,,,,,,,,
textbox,Time Frames:,,,,,,,,
,,,,,,,,,
checklist,Foremans Diary Checklist,,,,,,Foremans Diary:,4fdd496a-845c-47de-9753-1b9b9f2354a0,
section,Details,,,,,,,,
checkpoint,Foremans diary - all details inputted and complete,,,,,,,,
textbox,Date:,,,,,,,,
textbox,Tasks completed productivity feedback: (inc hours worked ordinary time & overtime):,,,,,,,,
textbox,OHS - include comments on accidents and incidents:,,,,,,,,
textbox,Quality achievement / issues:,,,,,,,,
textbox,Supplier issues:,,,,,,,,
textbox,No. employees on site:,,,,,,,,
textbox,No. employee sick / leave:,,,,,,,,
textbox,NCR’s:,,,,,,,,
textbox,Hours worked:,,,,,,,,
textbox,Lost time:,,,,,,,,
textbox,Machinery on hire:,,,,,,,,
textbox,List employees on site:,,,,,,,,
textbox,Other:,,,,,,,,
,,,,,,,,,
checklist,Guardrail Installation Handover,,,,,,Guardrail Installation Handover ,2afc46cc-3f5e-4dca-8293-fec2f9e82ac2,
section,Details,,,,,,,,
checkpoint,Roof Edge Protection - Completion of Installation,,,,,,,,
textbox,Issue Date:,,,,,,,,
textbox,Inspection Date: ,,,,,,,,
textbox,No: ,,,,,,,,
textbox,Time:,,,,,,,,
note,Person or organization requiring the roof edge protection,,,,,,,,
textbox,Name: ,,,,,,,,
textbox,Address:,,,,,,,,
textbox,Site Address:,,,,,,,,
textbox,Location on Site: ,,,,,,,,
textbox,Installer organization name:,,,,,,,,
textbox,Phone No:,,,,,,,,
textbox,Address: ,,,,,,,,
dropdown,Type of Roof Edge: ,"Prefabricated proprietary system, Scaffolding",,,,,,,
textbox,Name of system: ,,,,,,,,
textbox,Type of scaffolding:,,,,,,,,
textbox,Name of person in charge of installation:,,,,,,,,
note,Installer's Statement: All Relevant inspections and checks have been carried out prior to the issue of this Certificate.,,,,,,,,
textbox,Certified issued on behalf of:,,,,,,,,
textbox,By: (Print Name),,,,,,,,
textbox,Certified Received on behalf of:,,,,,,,,
textbox,By: (Print Name),,,,,,,,
,,,,,,,,,
checklist,Handover,,,,,,Handover ,a9a5a42c-3227-4781-b9a3-a49d3bff0534,
section,Details,,,,,,,,
checkpoint,Roof edge protection - Completion of installation,,,,,,,,
textbox,Issue date,,,,,,,,
textbox,No:,,,,,,,,
textbox,Inspection date,,,,,,,,
textbox,Time am / pm,,,,,,,,
textbox,Person or organization requiring the roof edge of protection,,,,,,,,
textbox,Name ,,,,,,,,
textbox,Address,,,,,,,,
textbox,Site address,,,,,,,,
textbox,Location on site,,,,,,,,
textbox,Installer organisation name,,,,,,,,
textbox,Phone no:,,,,,,,,
textbox,Address,,,,,,,,
