type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist-flat,Job Details,,,,,,Job Details,,
checkpoint,Project details entered below,,,,,,,,
textbox,Job Number,,,,,,,,
textbox,Project Name,,,,,,,,
textbox,Site Address,,,,,,,,
textbox,Main Contractor (e.g. Teak),,,,,,,,
,,,,,,,,,
checklist,Manufacturing Checklist,,,,,,Manufacturing Checklist,,
section,Manufacturing Documents,,,,,,,,
checkpoint,IFC Manufacturing Drawings,,,,,,,,
section,Pre-Pour Checks,,,,,,,,
checkpoint,Mould check,,,,,,,,
tickbox,Mould clean with release oil applied correctly,,,,,,,,
tickbox,Primary & diagonal dimensions checked,,,,,,,,
tickbox,Openings Checked and Correct,,,,,,,,
tickbox,"Rebates, Architectural Grooves Installed Correctly",,,,,,,,
tickbox,Formwork chamfers installed correctly where required,,,,,,,,
checkpoint,Reinforcing check,,,,,,,,
tickbox,Correct Size and Type,,,,,,,,
tickbox,Laps and Splices correct,,,,,,,,
tickbox,Cover Checked,,,,,,,,
tickbox,Spacing Checked,,,,,,,,
checkpoint,Cast in items check,,,,,,,,
tickbox,"Ferrules/Inserts installed, checked and correct",,,,,,,,
tickbox,"Starter Bars inserted, checked and correct",,,,,,,,
tickbox,"Lifting anchors installed, checked and correct",,,,,,,,
checkpoint,Check Minimum Cover,,,,,,,,
checkpoint,ID Tag installed in non-visible face,,,,,,,,
checkpoint,Pre-Pour checks completed and approval given to pour Element,,,,,,,,
label,Upload minimum 4 photos of element,,,,,,,,
checkpoint,Upload photo of signed pre-pour check of shop drawing,,,,,,,,
section,Concrete Pour Checks,,,,,,,,
checkpoint,Concrete Strength correct as per design,,,,,,,,
tickbox,All Concrete Dockets Attached,,,,,,,,
textbox,Date element was cast,,,,,,,,
section,Post-Pour / Pre Delivery Checks,,,,,,,,
checkpoint,Post-pour dimensional check,,,,,,,,
tickbox,Primary & diagonal dimensions checked and approved,,,,,,,,
tickbox,Lifting anchors checked and approved,,,,,,,,
tickbox,Critical fitments / fixtures checked and approved,,,,,,,,
