"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d5e4ea84-8d21-40ff-9274-5228b9685b4c","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-set","checklist-flat","FALSE","FALSE","Overall Pre-set"
"b0e1cccd-e9fc-5fc9-becb-8b9e6d396f32","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-set","Overall Pre-set"
"23c6456d-84cd-51a0-b2a5-ed0b01c89e45","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","System information:"
"2d650379-6245-5604-9d4e-8e674b2f2720","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","SSP Attached"
"5acdd6d7-fd35-5a35-9ce3-48eca1713c25","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","Task Analysis Attached"
"1f807f9a-9565-5fb6-bf50-82a2d5979d18","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","Relevant Drawings Attached"
"ce106812-b477-4220-a8df-ebe208a728b0","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"eab2d2b3-6a21-4fc2-b1ff-a397da4ff8f4","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Block 01"
"119f158f-5e20-428f-98cb-d084523cc1e7","","folder-normal","pass","","step","TRUE","FALSE","QA","Block 01","RoofSafe Rail System"
"2b0844de-8025-4e52-9db1-782ed56d1392","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Block 01","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 01"
"0e56bec9-cfc7-5bd9-8636-64ea0cac0900","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 01","Confirm structure is in accordance to the details provided"
"ec1f1036-ea3b-5888-833d-18db9dfaad70","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 01","EMAIL PM"
"d1c497f9-3a25-5e6f-86f7-511018b162c3","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 01","Plinths/ bases/post installed in accordance with details provided"
"6f447c50-4f89-5925-b32a-ed2d9ce17fc8","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA","Block 01","RoofSafe Rail System","Pre-Fit Off Checklist - Rail 01","Photos taken"
"9b98a94d-3baf-49b4-8c36-d5dc568882e3","","checklist-flat","pass","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Block 01","RoofSafe Rail System","Rail Checklist - Rail 01"
"ee6d2895-b4e9-55d4-92fc-23e5e79f6725","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","RoofSafe Rail System","Rail Checklist - Rail 01","Confirm the structure is in accordance with the details supplied by PBI"
"9b271a95-ddba-503d-b616-0153d9006ea0","","holdpoint","pass","","","TRUE","TRUE","QA","Block 01","RoofSafe Rail System","Rail Checklist - Rail 01","EMAIL PM"
"f82d0ec7-64de-5e2c-b05b-75cc41bebc7e","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","RoofSafe Rail System","Rail Checklist - Rail 01","Photo taken of Engraved Line Plate / ID Tag"
"c5eb83b1-6b2c-5f35-b753-8d3da7c78b3a","","checkpoint-status","pass","","","TRUE","TRUE","QA","Block 01","RoofSafe Rail System","Rail Checklist - Rail 01","Video taken of system"
"e4155e8c-7c90-585a-a877-513c91086535","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA","Block 01","RoofSafe Rail System","Rail Checklist - Rail 01","Description input of location / person Rail systems shuttle left with"
