resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,,,step,,,Below Slab ,,,,,,,,,,,
,,,step,,,,Zone 1 (A-D),,,,,,,,,,
HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications ",folder-with-checklists,,,,,Oxygen 25mm Copper Line,,,,,,,,,
HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications ",folder-with-checklists,,,,,Oxygen 40mm Copper Line ,,,,,,,,,
PVC Pipework Underground,,,checklist,,,,,Oxygen pipe Sleeve,,,,,,,,,
,,,step,,,,Zone 2 (E-H),,,,,,,,,,
HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications ",folder-with-checklists,,,,,Oxygen 25mm Copper Line ,,,,,,,,,
HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications ",folder-with-checklists,,,,,Oxygen 40mm Copper Line ,,,,,,,,,
PVC Pipework Underground,,,checklist,,,,,Oxygen pipe Sleeve,,,,,,,,,
,,,step,,,,Zone 3 (I-L),,,,,,,,,,
HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications ",folder-with-checklists,,,,,Oxygen 40mm Copper Line ,,,,,,,,,
PVC Pipework Underground,,,checklist,,,,,Oxygen pipe Sleeve,,,,,,,,,
,,,step,,,Interior Fitout (TBC),,,,,,,,,,,
,,,,,,,Level 0,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Zone 1,,,,,,,,,
,,,,,,,,,,00FHO005,Airlock - Entry,112-0A-FHO-AC-001,Avon Electric Frico ARFEC3520E18 2000mm ,Electric Air Curtain ,Air Curtain Check list,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO011,Reception - Greet ,112-0A-MEP5-AHU004-FCU-004,Temperzone IMD280Y,Fan Coil Unit 150L/S OA,FCU Install QA Checklist,FCU Template ,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S05,Holyoake CFPP 600/30 600x600,Supply Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S05,Holyoake CFPP 600/30 600x600,Supply Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0A-MEP5-AHU004-FCU-003,Temperzone IMD95Y,FCU 60L/S OA,FCU Install QA Checklist,FCU Template ,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO006,Interview Room - Mana Whenua ,112-0A-MEP5-AHU004-FCU-002,Temperzone IMD95Y,FCU 65L/S OA ,FCU Install QA Checklist,FCU Template ,
,,,,,,,,,,,,S05,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R03,Holyoake EC-125 600x300,Return Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO012,Meeting 12 ,S06,Holyoake CFPP 450/24 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R03,Holyoake EC-125 600x300,Return Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO014,Whanau Lounge ,S07,Holyoake CFPP 450/24 600x600,Supply Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S07,Holyoake CFPP 450/24 600x600,Supply Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R06,Holyoake EC-125 600x600,Return Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0A-MEP5-AHU004-FCU-001,Temperzone IMD135Y,FCU 150L/S OA,FCU Install QA Checklist,FCU Template ,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO027,Corridor ,T08,Holyoake EC-125 600x600,Extract/Trasfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R04,Holyoake EC-125 600x600,Return Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E01,Holyoake EC-125 200x200,Extract/Trasfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO015,Personal Care ,E02,Holyoake EC-125 300x300,Extract/Transfer Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S02,Holyoake CFPP 450/24 450x450,Supply Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO020,Parenting ,E02,Holyoake CFPP 450/24 300x300,Extract/Transfer Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,SO4,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0A-AHU004-HC-002,Temperzone 250x200,1.1 kW Heating Coil ,,Heating Coils template,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO016,Toilet - Public,E01,Holyoake EC-125 200x200,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO017,Disposal ,E05,Holyoake EC-125 450x450,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO049,Corridor ,T05,Holyoake EC-125 450x450,Extract/Tranfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Tranfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00PBO001,Toilet - Accessible Public ,E02,Holyoake EC-125 300x300,Extract/Tranfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Tranfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00PBO002,Toilet - Public ,E01,Holyoake EC-125 200x200,Extract/Trasfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00PBO003,Toilet - Public ,E01,Holyoake EC-125 200x200,Extract/Trasfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO018,Cleaner ,E02,Holyoake EC-125 300x300,Extract/Tranfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Tranfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ceiling ,,,,Ducting ,Steel duct Install QA,,
,,,,,,,,,,,,,,Flexiduct ,Flexi duct QA check list,,
,,,,,,,,,,,,,,Drain Condensate  PVC ,PVC Pipework Intall,,
,,,,,,,,,,,,,,Chilled Water Black Steel,Steel Pipe QA Install,,
,,,,,,,,,,,,,,Low Temperature Hot Water Black Steel,Steel Pipe QA Install,,
,,,,,,,,,,,,,,Motorised Valve Low Temperature Heated Water ,part of pipework QA,,
,,,,,,,,,,,,,,Motorised Valve Chilled Water ,part of pipework QA,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Zone 2,,,,,,,,,
,,,,,,,,,,00RTO001,Retail,T05,Holyoake EC-125 450x450,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S07,Holyoake CFPP 450/24 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S07,Holyoake CFPP 450/24 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,SD,Smoke Damper 300x300,Smoke Damper ,Smoke Damper QA check list,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00ENG019,Commuications Room,112-0A-MEP5-ACU-001,PKFY-P100VKM-E 1840x1858x740,Mitsubishi Electric Wall mounted Indoor unit . ,DX AC Unit Install,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ceiling ,,,,Ducting ,Steel duct Install QA,,
,,,,,,,,,,,,,,FlexiDuct ,Flexi duct QA check list,,
,,,,,,,,,,,,,,Drain Condensate PVC ,PVC Pipe Install,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Zone 3,,,,,,,,,
,,,,,,,,,,00CLB044,Store - Equipment,S05,Holyoake CFPP 600/30 600x600,Supply Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E05,Holyoake EC-125 450x450,Extract/Tranfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB045,Occpational Therapy Light - Paediatric,S05,Holyoake CFPP 600/30 600x600,Supply Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S05,Holyoake CFPP 600/30 600x600,Supply Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S05,Holyoake CFPP 600/30 600x600,Supply Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S05,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R08,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0A-CLB-AHU007-VAV-001,Holyoake HCV-225,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,112-0A-CLB-AHU007-VAV-002,Holyoake HCV-175 ,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB041,Waiting 20m2,S04,Holyoake CFPP 600/30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E05,Holyoake EC-125 450x450,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0A-CLB-AHU007-VAV-004,Holyoake HCV-125,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB040,Play Area,S04,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB039,Reception/Clerical ,S25,Holyoake CFPP-R 615-30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0A-CLB-AHU007-VAV-003,Holyoake HCV-200,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB038,Meeting 20m2,S05,Holyoake CFPP 600/30 600x600,Supply Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
