"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"883e0405-ea15-447c-bf83-728c9c0b5b27","","folder-normal","work-in-progress","","step","TRUE","FALSE","Block A"
"52919794-a52a-4f88-a022-9d8cdf43a864","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor"
"88efefe0-17b2-4a19-a809-c706431b1a16","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 1"
"d761a9ee-3309-431b-9fe7-26d440176ce0","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 1","Kitchen"
"8cbf9b30-d1be-4b6a-8881-bcfc90e322e1","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 1","Bathroom"
"f62c90fe-abf7-41f3-aa32-db7c4cfdafd9","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 1","Bathroom","Toilet"
"4afe9971-dc22-4245-9b79-dd97fff127fa","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 1","Bathroom","Whb"
"35f8b8c3-6b82-4ac8-adb0-1a58c2745b88","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 1","Bathroom","Shower"
"87b76481-2a71-4445-9b53-98fbe2ea6602","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 1","Bathroom","Bath"
"199fcc29-eac5-4320-abdd-00affb2159a2","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 2"
"aef69ffb-ccde-4fa4-84a5-b289eae26e88","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 2","Kitchen"
"cb1e38b4-6c6b-433d-b297-7debbed19c59","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 2","Bathroom"
"11555385-0a46-4cb1-96cb-1fddee57554f","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 2","Bathroom","Toilet"
"21a029c5-b65a-4e0c-b3de-e2de388ec42f","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 2","Bathroom","Whb"
"f56dfda6-147d-4049-b597-219c1a521b60","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 3"
"6d0803c7-af8e-495c-8f7a-6a9f0c0fe88f","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 3","Kitchen"
"36a25f3c-fcdd-4ad4-ba73-4ea7b6d5bb7a","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 3","Bathroom"
"09df31b2-e6f3-4125-b9bf-65e48ab43377","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 3","Bathroom","Toilet"
"a3752311-2bf3-4fa0-87c4-af62bc7cb2e6","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 3","Bathroom","Whb"
"7365f9ce-fdc1-469f-9398-4cc5a0887967","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 4"
