Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,
Fit Out Progress,,,,,,,,,,,,
,Scope,,,Fit Out,,,,,,,,
,Rows,,,,,,,,,,,
,,Refurb - Phlembotomy,dynamic,Fit Out,Refurb,Phlembotomy,,,,,,
,,Refurb - Cardiology - CONS,dynamic,Fit Out,Refurb,Cardiology,CONS,,,,,
,,Refurb - Cardiology - CORRIDOR,dynamic,Fit Out,Refurb,Cardiology,CORRIDOR,,,,,
,,Refurb - Cardiology - ECHO,dynamic,Fit Out,Refurb,Cardiology,ECHO,,,,,
,,Refurb - Cardiology - ECG,dynamic,Fit Out,Refurb,Cardiology,ECG,,,,,
,,Refurb - Cardiology - Pacing 2-H27,dynamic,Fit Out,Refurb,Cardiology,Pacing 2-H27,,,,,
,,Refurb - Cardiology - Pacing 1-H28,dynamic,Fit Out,Refurb,Cardiology,Pacing 1-H28,,,,,
,,Refurb - Cardiology - Treadmill room-H30,dynamic,Fit Out,Refurb,Cardiology,Treadmill room-H30,,,,,
,,Refurb - Cardiology - ACC WC -H29,dynamic,Fit Out,Refurb,Cardiology,ACC WC -H29,,,,,
,,Refurb - Cardiology - Weigh Bay H23,dynamic,Fit Out,Refurb,Cardiology,Weigh Bay H23,,,,,
,,Refurb - Cardiology - Entry H01,dynamic,Fit Out,Refurb,Cardiology,Entry H01,,,,,
,,Refurb - Cardiology - Linen Shelves -H21,dynamic,Fit Out,Refurb,Cardiology,Linen Shelves -H21,,,,,
,,Refurb - Cardiology - DB-H36,dynamic,Fit Out,Refurb,Cardiology,DB-H36,,,,,
,,Refurb - Cardiology - Stair-H37,dynamic,Fit Out,Refurb,Cardiology,Stair-H37,,,,,
,,Refurb - Cardiology - Sub D/U- H38,dynamic,Fit Out,Refurb,Cardiology,Sub D/U- H38,,,,,
,,Refurb - Cardiology - reception +nurse CO-ORD -H03,dynamic,Fit Out,Refurb,Cardiology,reception +nurse CO-ORD -H03,,,,,
,,Refurb - Cardiology - Staff base -H04,dynamic,Fit Out,Refurb,Cardiology,Staff base -H04,,,,,
,,Refurb - Cardiology - Bay-H34,dynamic,Fit Out,Refurb,Cardiology,Bay-H34,,,,,
,,Refurb - Cardiology - Resus Bay-H06,dynamic,Fit Out,Refurb,Cardiology,Resus Bay-H06,,,,,
,,Refurb - Cardiology - C/U/Store -H07,dynamic,Fit Out,Refurb,Cardiology,C/U/Store -H07,,,,,
,,Refurb - Cardiology - Pat WC-H18,dynamic,Fit Out,Refurb,Cardiology,Pat WC-H18,,,,,
,,Refurb - Cardiology - EQ trolley Bay -H10,dynamic,Fit Out,Refurb,Cardiology,EQ trolley Bay -H10,,,,,
,,Refurb - Cardiology - St WC-H13,dynamic,Fit Out,Refurb,Cardiology,St WC-H13,,,,,
