"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2becbf41-5882-46e9-a06d-f4e9d2857056","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"1470b2d5-797b-48e4-b9fd-3dc95eca1e1b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Slab"
"df533d8c-5d82-4edd-9c94-e9ea977e4602","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Slab","Level 4"
"153c66ca-6f97-4efa-bb00-cb37b37d5738","","folder-normal","not-started","","step","FALSE","FALSE","Site QA","Slab","Level 4","East"
"71b2da2d-e3d8-4000-b451-022c55e24d6e","","checklist-flat","not-started","F19A - Pre-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP"
"9b89814d-2c0b-5b66-a72f-93a86396898d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP","Drawings and Revisions - uploaded below as necessary"
"441121b0-d879-52bf-992e-4882b93d2cd7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP","Are the Anchorages securely fixed and anti-burst installed?"
"633feea3-ee4a-5326-a203-5a994ba99dda","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP","Is the duct placed in the correct position and alignment, with joints sealed?"
"0c8a8731-2358-5e30-9f62-fc9219b43c07","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP","Has the tendon been installed with the correct position and alignment, with joints sealed?"
"cd7d0d2a-b5a5-535c-a990-c6278bf1d713","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP","Strand Information entered below"
"655f14d2-b4a8-5a3a-b5b8-07dae87cbc73","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP","Are the Circle Dead Ends used, including anti-burst installed (onion or swage)?"
"b9d73d22-43de-572d-b0bd-d3831c90825a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP","Are tendons profiled correctly and supporting chairs secured?"
"0656944c-fe6a-5e2a-bef8-feca64f94fb2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP","All pans to have minimum 50mm clearance off of deck"
"88c2e217-f82c-5570-82db-1d48e9518000","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP","Are grout hoses installed with anchorages sealed?"
"31aef48f-2e7f-5b21-80ce-6dc1684edeed","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP","Has the post-tensioning system been inspected and signed off by an Engineer?"
