type,name,values,prefix,postfix,usage count,user addable,template name,Resource ID,,,,,,,
checklist,ITP-213-CIV-PSDS-Cement Treated Crushed Rock CTCR-Scale B,itp,,,,,ITP-213-CIV-PSDS-Cement Treated Crushed Rock CTCR-Scale B Rev 0,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,
label,Document Title: ITP-213-CIV-PSDS-Cement Treated Crushed Rock CTCR-Scale B,,,,,,,,,,,,,,
label,ITP Description: PSDS-Cement Treated Crushed Rock CTCR-Roads,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 213-CIV,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,
label,Revision Date: 30/10/2024,,,,,,,,,,,,,,
label,ITP created by: Jadan Halkett,,,,,,,,,,,,,,
label,ITP approved for use by: VM,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,
label,Reference: VicRoads Section 306 Oct '19,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,
label,Reference: IFC Drawings,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,
label,Reference: VicRoads Spec. Code of Pratice 500.02,,,,,,,,,,,,,,
label,1.4 Non Dependent,,,,,,,,,,,,,,
label,Reference: VicRoads Spec. TN 107,,,,,,,,,,,,,,
label,1.5 Non Dependent,,,,,,,,,,,,,,
label,Reference: VicRoads Section 815 July '16,,,,,,,,,,,,,,
section,Preliminaries - Materials,,,,,,,,,,,,,,
checkpoint,2.1 Submit Mix Design - Cement treated crushed rock (CTCR) mix,,,,,,,,,,,,,,
label,REFERENCE: VicRoads Spec. Cl. 815.05,,,,,,,,,,,,,,
label,○ VicRoads Spec. Cl.306.04,,,,,,,,,,,,,,
label,○ VicRoads Spec. TN 107,,,,,,,,,,,,,,
label,○ VicRoads Spec. CoC 500.02,,,,,,,,,,,,,,
label,○ IFC Drawings,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Cement treated crushed rock mixes for use on specified works can be registered in accordance with VicRoads Code of Practice for Registration of Crushed Rock Mix Designs as listed in Section 175.,,,,,,,,,,,,,,
label,"○ CTCR shall comply with Section 815 & 821, TN107 & CoC 500.02",,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,"FREQUENCY: Once, for each mix design, 4 weeks prior to placement of concrete",,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE & Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Issue to TeamBinder: VicRoads registered cement treated crushed rock mix,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.2 Hold Point - Alternate Binder (if applicable),,,,,,,,,,,,,,
label,REFERENCE: VicRoads Spec. Cl.306.09(a),,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: If a binder other than those listed in Table 306.091 is proposed for use, laboratory test results must be produced to show that binder satisfies the required working time and strength determined in accordance with the VicRoads Test Method.",,,,,,,,,,,,,,
textbox,Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,"FREQUENCY: Once per material type, prior to commencement of works",,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE & Nominated Authority,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Issue to TeamBinder: Test Records,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
section,Preliminaries-Documentation,,,,,,,,,,,,,,
checkpoint,3.1 Check that current revision drawings are being used,,,,,,,,,,,,,,
label,REFERENCE: Project Drawings / Drawing Register,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Issued For Construction (IFC) and latest available revision used,,,,,,,,,,,,,,
label,METHOD: Document review,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE / Site Foreman,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,3.2 Previous Layer Conformance,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings for Previous Layer Type,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Confirm previous layer (prior to CTCR layer placemen) conforms to IFC drawing and specification requirements.,,,,,,,,,,,,,,
label,"○ Check the previous fill level/survey (e.g. fill, foundation . Subgrade, base course etc) to ensure CTCR minimum thickness requirements is achieved",,,,,,,,,,,,,,
textbox,Enter: Previous Layer Lot number [Free text box],,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: This ITP, Previous Lot Number",,,,,,,,,,,,,,
