resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,step,,,BUILDING-C,,,,,,,,
,,,,step,,,,Level-3,,,,,,,
,,,,step,,,,,Apartment Wall Closure,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C318,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C319,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C320,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C321,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C322,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C323,,,,,
,,,,step,,,,,Apartment Ceiling Closure,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C318,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C319,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C320,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C321,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C322,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C323,,,,,
Duct Installation Checklist [C],Lobby Area [J],Ducting-Common Area [K],Sign Off,folder-with-checklists,,,,,Common Area,,,,,,
,,,,step,,,,Level-4,,,,,,,
,,,,step,,,,,Apartment Wall Closure,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C418,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C419,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C420,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C421,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C422,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C423,,,,,
,,,,step,,,,,Apartment Ceiling Closure,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C418,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C419,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C420,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C421,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C422,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C423,,,,,
Duct Installation Checklist [C],Lobby Area [J],Ducting-Common Area [K],Sign Off,folder-with-checklists,,,,,Common Area,,,,,,
,,,,step,,,,Level-5,,,,,,,
,,,,step,,,,,Apartment Wall Closure,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C518,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C519,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C520,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C521,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C522,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C523,,,,,
,,,,step,,,,,Apartment Ceiling Closure,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C518,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C519,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C520,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C521,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C522,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C523,,,,,
Duct Installation Checklist [C],Lobby Area [J],Ducting-Common Area [K],Sign Off,folder-with-checklists,,,,,Common Area,,,,,,
,,,,step,,,,Level-6,,,,,,,
,,,,step,,,,,Apartment Wall Closure,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C616,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C617,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C618,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C619,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C620,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C621,,,,,
,,,,step,,,,,Apartment Ceiling Closure,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C616,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C617,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C618,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C619,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C620,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C621,,,,,
Duct Installation Checklist [C],Lobby Area [J],Ducting-Common Area [K],Sign Off,folder-with-checklists,,,,,Common Area,,,,,,
,,,,step,,,,Level-7,,,,,,,
,,,,step,,,,,Apartment Wall Closure,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C716,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C717,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C718,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C719,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C720,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C721,,,,,
,,,,step,,,,,Apartment Ceiling Closure,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C716,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C717,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C718,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C719,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C720,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C721,,,,,
Duct Installation Checklist [C],Lobby Area [J],Ducting-Common Area [K],Sign Off,folder-with-checklists,,,,,Common Area,,,,,,
,,,,step,,,,Level-8,,,,,,,
,,,,step,,,,,Apartment Wall Closure,,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C814,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C815,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C816,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C817,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C818,,,,,
Wall Closure Checklist 1 Rough In [A],Sign Off,,,folder-with-checklists,,,,,,C819,,,,,
,,,,step,,,,,Apartment Ceiling Closure,,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C814,,,,,
Ceiling Closure Checklist 1 Rough In [B],Sign Off,,,folder-with-checklists,,,,,,C815,,,,,
