"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8694a193-97c7-4e80-ad0d-b54dd8d55f8f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"17e49912-61b9-45dd-8ff5-9284172a5b6f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Area Ready"
"edc13f3e-e97d-46a5-8888-4a96b8fb3f95","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Area Ready","WING A"
"b524576b-21ef-494d-8261-6b15496f72f4","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.01 BED"
"7012f61f-16f5-5023-8a1d-3e90d1373bba","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.01 BED","Substrate"
"48787bd3-2170-5a31-b156-d5b400c9170b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01 BED","Substrate","Substrate Acceptable"
"1fc13151-5fce-5725-a469-5833ea8da038","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01 BED","Substrate","Wet Area Screed Installed"
"9149e180-b81b-50d4-b8d4-a27dbb8099e3","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.01 BED","Walls / Ceiling"
"46a47ddb-78e5-54d1-a04c-e3f9b39b8f04","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01 BED","Walls / Ceiling","Ceiling Installed"
"e1ae582e-fe86-5d42-8d49-5dff15f43fa2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01 BED","Walls / Ceiling","Gyprock"
"3c4511db-3c11-5a54-8c5d-c73a500c7008","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01 BED","Walls / Ceiling","Plastered"
"4438a624-4c7a-5e61-bb55-30b84b36ed1f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01 BED","Walls / Ceiling","Plaster Sanded"
"f574fdd1-0d53-5bb6-bba2-7a0a02e72d12","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01 BED","Walls / Ceiling","Painted"
"f55ab096-4e88-4358-8582-e099ca17561b","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.016A ENSUITE"
"40fd2896-d105-55ce-80c5-5cf2f53be511","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.016A ENSUITE","Substrate"
"1fbffaf7-f4b1-5671-9ed8-5f17f3de0a23","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.016A ENSUITE","Substrate","Substrate Acceptable"
"42cade91-3498-58f8-867d-5eaae9884f65","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.016A ENSUITE","Substrate","Wet Area Screed Installed"
"ca2946d2-9d05-55cc-b0e9-545502f13256","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.016A ENSUITE","Walls / Ceiling"
"d8f701d0-b937-5f57-a43c-e0277863fe25","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.016A ENSUITE","Walls / Ceiling","Ceiling Installed"
"3d7d2bc5-c72e-5699-a767-3b312c2cb4d7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.016A ENSUITE","Walls / Ceiling","Gyprock"
"af959a32-a1d4-540f-91b0-99767c2b6b99","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.016A ENSUITE","Walls / Ceiling","Plastered"
"fb3fe3d9-b406-5b42-a952-770304a9fe4c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.016A ENSUITE","Walls / Ceiling","Plaster Sanded"
"85b7c76f-6af5-5774-abb9-86d67c2d53f3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.016A ENSUITE","Walls / Ceiling","Painted"
"d895588f-297f-4e1a-8bc5-60ec9326a93f","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.01A ENSUITE"
"4f83ac69-eb2f-578c-878c-32eb611b54c7","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.01A ENSUITE","Substrate"
"0cbefc98-d802-57dc-ab40-e17094473b74","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01A ENSUITE","Substrate","Substrate Acceptable"
"d67a74ed-aae8-5abc-a15b-ea61a3a97c8a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01A ENSUITE","Substrate","Wet Area Screed Installed"
"fe25b215-88c9-5aa6-8dff-c3e51bf84dd7","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.01A ENSUITE","Walls / Ceiling"
"efff8561-59cc-5af4-a5e5-1c9326cbcfaf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01A ENSUITE","Walls / Ceiling","Ceiling Installed"
"a4aa2f90-0784-532d-8e54-496a10f51b5b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01A ENSUITE","Walls / Ceiling","Gyprock"
"93270b72-0df6-54c4-8324-04b139978651","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01A ENSUITE","Walls / Ceiling","Plastered"
"8d70ccc8-5e06-5f77-b6b1-1de4d7181c98","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01A ENSUITE","Walls / Ceiling","Plaster Sanded"
"237b4a4e-db7a-5141-b8ff-dc5351168c7b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.01A ENSUITE","Walls / Ceiling","Painted"
"ff6c6284-b983-4f8e-9e51-0feb96c358a2","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.02 ACCESS BED"
"2597dc64-69d4-59a9-8914-ce0637601e23","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.02 ACCESS BED","Substrate"
