type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,
checklist,ITP - Sealing - Stabilised Pavement Layer,itp,,,,Yes,ITP - Sealing - Stabilised Pavement Layer - Abattoir Road,,,,,,,,,,,
section,4.0. SETOUT AND PREPARATION,,,,,,,,,,,,,,,,,
checkpoint,4.0.1 - Mark out and approve,,,,,,,,,,,,,,,,,
label,Detail of Activity - Set out and record existing line markling within the treatment area,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - All areas of unbound granular pavement layers",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZTA Z/16,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - N/A,,,,,,,,,,,,,,,,,
label,Record documents - Contractor's site diary,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - Treatment area marked up jointly by Contractor and Eng.Rep.,,,,,,,,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,,,,,,,,
checkpoint,4.0.2 - Level Control,,,,,,,,,,,,,,,,,
label,"Detail of Activity - Install offset pegs; record centreline, edge line or mark out stabilisation extents from existing line marking",,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Prior to works",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZTA Z/16,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Document existing furniture,,,,,,,,,,,,,,,,,
label,Record documents - Site Diary,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,4.0.3 - Determine levels of substrate before placing materials,,,,,,,,,,,,,,,,,
label,Detail of Activity - Check top of substrate levels,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Every 20m",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZTA Z/16,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Subgrade: check NZTA F/1 and/or project specifications.,,,,,,,,,,,,,,,,,
label,○ Subbase: No Concrete Channel: -25mm + 5mm with Concrete Channel: -25mm + 5mm,,,,,,,,,,,,,,,,,
