resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,
,step,,,Site QA,,,,,,,,,,,,,
,step,,,,Building A,,,,,,,,,,,,
,step,,,,,Ground Floor,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Lobby,,,,,,,,,,
Painting,checklist,,,,,,G08,,,,,,,,,,
Painting,checklist,,,,,,G09,,,,,,,,,,
,step,,,,,Level 1,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
,step,,,,,Level 2,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,201,,,,,,,,,,
Painting,checklist,,,,,,202,,,,,,,,,,
Painting,checklist,,,,,,203,,,,,,,,,,
Painting,checklist,,,,,,204,,,,,,,,,,
Painting,checklist,,,,,,205,,,,,,,,,,
Painting,checklist,,,,,,206,,,,,,,,,,
Painting,checklist,,,,,,207,,,,,,,,,,
Painting,checklist,,,,,,208,,,,,,,,,,
Painting,checklist,,,,,,209,,,,,,,,,,
Painting,checklist,,,,,,210,,,,,,,,,,
,step,,,,,Level 3,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,301,,,,,,,,,,
Painting,checklist,,,,,,302,,,,,,,,,,
Painting,checklist,,,,,,303,,,,,,,,,,
Painting,checklist,,,,,,204,,,,,,,,,,
Painting,checklist,,,,,,205,,,,,,,,,,
Painting,checklist,,,,,,206,,,,,,,,,,
Painting,checklist,,,,,,207,,,,,,,,,,
Painting,checklist,,,,,,208,,,,,,,,,,
Painting,checklist,,,,,,209,,,,,,,,,,
Painting,checklist,,,,,,210,,,,,,,,,,
,step,,,,,Level 4,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,401,,,,,,,,,,
Painting,checklist,,,,,,402,,,,,,,,,,
Painting,checklist,,,,,,403,,,,,,,,,,
Painting,checklist,,,,,,404,,,,,,,,,,
Painting,checklist,,,,,,405,,,,,,,,,,
Painting,checklist,,,,,,406,,,,,,,,,,
Painting,checklist,,,,,,407,,,,,,,,,,
Painting,checklist,,,,,,408,,,,,,,,,,
Painting,checklist,,,,,,409,,,,,,,,,,
Painting,checklist,,,,,,410,,,,,,,,,,
,step,,,,,Level 5,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,501,,,,,,,,,,
Painting,checklist,,,,,,502,,,,,,,,,,
Painting,checklist,,,,,,503,,,,,,,,,,
Painting,checklist,,,,,,504,,,,,,,,,,
Painting,checklist,,,,,,505,,,,,,,,,,
Painting,checklist,,,,,,506,,,,,,,,,,
Painting,checklist,,,,,,507,,,,,,,,,,
