"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6352b649-6754-48f3-a944-d9347c7e490f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"8162d69e-18d3-4676-ae90-fd5c3beb44ba","","checklist-flat","not-started","OSD Tank","checklist-flat","FALSE","FALSE","Site QA","OSD Tank"
"4f0a09ec-ef82-416a-828e-bab1e41a4e03","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 1"
"9109764c-c40e-4323-abe4-4ddee5f80a5f","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Unit 101"
"405c4228-2089-42aa-a64f-c50e69f99563","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Unit 102"
"2e1334df-0ea8-41d0-9541-366be5bd0b7c","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Unit 103"
"83600af3-d628-4355-b713-1e7ce5ba8e12","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Unit 104"
"556cbbea-b3d7-4d14-a8ff-5fca033aeeed","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Unit 105"
"6ea99173-dcee-4265-b593-0cd0605bf1ea","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Unit 106"
"c83d3fae-e579-47b9-a347-993176d3838f","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Unit 107"
"36bdc80d-4be7-4f55-87c2-b31b63a391c4","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Unit 108"
"2a7371a6-ee9e-4d45-bee1-a89dd5e22889","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Unit 109"
"6acf6412-271f-45db-938d-c98df9c946a1","","checklist-flat","not-started","External Area ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Planter Box"
