type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,
checklist,Allco - Swelltite Checklist,,,,,,Allco - Swelltite Checklist,,,,
section,SECTION A: SITE & SUBSTRATE PREPARATION,,,,,,,,,,
checkpoint-no-status,Attach substrate photos with document along with QA questions completed below.,,,,,,,,,,
checkpoint,Appropriate site conditions for installation?,,,,,,,,,,
checkpoint,Appropriate water control in place?,,,,,,,,,,
checkpoint,Appropriate substrate prepared for the installation of the membrane?,,,,,,,,,,
checkpoint,All voids are correctly detailed using approved products,,,,,,,,,,
section,SECTION B: SWELTITE INSTALLATION - FOUNDATION WALLS,,,,,,,,,,
checkpoint-no-status,Attach application photos with document (1 photo per 20m2) along with QA questions completed below.,,,,,,,,,,
textbox,"Areas of installation (description, grid sections, etc):",,,,,,,,,,
checkpoint,Appropriate detailing done to external/internal corners?,,,,,,,,,,
checkpoint,Appropriate detailing done to floor/wall joints?,,,,,,,,,,
checkpoint,Ensure 100mm laps between membrane.,,,,,,,,,,
checkpoint,All laps seam taped horizonatally & vertically using an approved product?,,,,,,,,,,
checkpoint,Sweltite exceeds 150mm past F.F.L?,,,,,,,,,,
checkpoint,Drainage coil has been placed 100mm from the floor/wall joint,,,,,,,,,,
section,SECTION C: SWELTITE INSTALLATION – TRANSITIONS,,,,,,,,,,
checkpoint-no-status,Attach application photos with document (1 photo per 20m2) along with QA questions completed below.,,,,,,,,,,
textbox,"Areas of installation (description, grid sections, etc):",,,,,,,,,,
textbox,Areas of other products Sweltite is transitoning to:,,,,,,,,,,
checkpoint,Lap transitions detailed with appropriate overlap lengths and approved products (if neccessary)?,,,,,,,,,,
section,SECTION D: SWELTITE INSTALLATION – PENETRATIONS,,,,,,,,,,
checkpoint-no-status,Attach application photos with document (1 photo per relevant penetration) along with QA questions completed below.,,,,,,,,,,
textbox,"Areas of installation (description, grid sections, etc):",,,,,,,,,,
checkpoint,Penetrations detailed appropriately using appropriate accessory Volclay products,,,,,,,,,,
section,SECTION E: SWELTITE INSTALLATION – TERMINATION,,,,,,,,,,
checkpoint-no-status,Attach application photos with document (1 photo per relevant penetration) along with QA questions completed below.,,,,,,,,,,
textbox,"Areas of installation (description, grid sections, etc):",,,,,,,,,,
checkpoint,Correct term bar used on vertical & horizonal edges?,,,,,,,,,,
checkpoint,Fixing centers 200mm minimum?,,,,,,,,,,
checkpoint,Cetcoat applied at appropriate areas?,,,,,,,,,,
checkpoint,"Termination sealed off correctly (i.e M2000, cetseal)?",,,,,,,,,,
checkpoint,Correct term bar used on vertical & horizonal edges?,,,,,,,,,,
section,SECTION F: SWELTITE INSTALLATION – BACKFILL & PROTECTION,,,,,,,,,,
checkpoint-no-status,Attach application photos with document (1 photo per 20m2) along with QA questions completed below.,,,,,,,,,,
checkpoint,Correct backfill has been used?,,,,,,,,,,
checkpoint,Hydrostatic Conditions - Backfill compacted every 400mm?,,,,,,,,,,
date,Backfill date:,,,,,,,,,,
checkpoint,Approved protection sheet used in relation to backfill?,,,,,,,,,,
checkpoint,No voids in between proection layer and membrane?,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist,Sika Black Seal - Application of Sika BlackSeal Elastic Waterproofing membrane,,,,,,Sika Black Seal - Application of Sika BlackSeal Elastic Waterproofing membrane,,,,
section,SIKA BLACKSEAL ELASTIC APPLICATION PLAN,,,,,,,,,,
checkpoint-no-status,Details,,,,,,,,,,
textbox,Project:,,,,,,,,,,
date,Date: ,,,,,,,,,,
textbox,Client:,,,,,,,,,,
textbox,Site Address:,,,,,,,,,,
textbox,Applicator:,,,,,,,,,,
textbox,Operators:,,,,,,,,,,
textbox,Surface preparation required:,,,,,,,,,,
textbox,Method of preparing joints:,,,,,,,,,,
textbox,Method of preparing pipe penetrations:,,,,,,,,,,
textbox,Primer Coat of Sika BlackSeal Elastic applied:,,,,,,,,,,
textbox,Proposed protection board:,,,,,,,,,,
textbox,Applicator Name:,,,,,,,,,,
holdpoint,Add Signature:,,,,,,,,,,
section,SIKA BLACKSEAL ELASTIC APPLICATION RECORD,,,,,,,,,,
checkpoint,Surface prepared in accordance with specification:,,,,,,,,,,
checkpoint,Joints and penetrations prepared in accordance with specification:,,,,,,,,,,
checkpoint,Primer coat of Sika BlackSeal Elastic applied:,,,,,,,,,,
checkpoint,Sika BlackSeal Protection Sheet applied to all surfaces:,,,,,,,,,,
checkpoint-no-status,Area applied:,,,,,,,,,,
textbox,Identification:,,,,,,,,,,
textbox,Square metres:,,,m2,,,,,,,
checkpoint-no-status,Sika BlackSeal Elastic:,,,,,,,,,,
textbox,Number used:,,,,,,,,,,
textbox,Batch Numbers:,,,,,,,,,,
checkpoint-no-status,Details,,,,,,,,,,
textbox,Calculated average film thickness:,,,mm,,,,,,,
textbox,Measured dry film thickness:,,,,,,,,,,
textbox,Location,,,,,,,,,,
textbox,Thickness (mm),,,,,,,,,,
checkpoint,Weather Conditions:,,,,,,,,,,
dropdown,Time of day,"Start of day,Midday,End of day,(Other)",,,,,,,,,
textbox,(Other),,,,,,,,,,
textbox,Time,,,,,,,,,,
textbox,Ambient Temperature (°C),,,,,,,,,,
textbox,Surface Temperature (°C),,,,,,,,,,
dropdown,Weather,"Sunny,Overcast,Rain",,,,,,,,,
dropdown,Wind,"Light,Moderate,Strong",,,,,,,,,
textbox,Wind Direction,,,,,,,,,,
checkpoint,Approved Applicator/Client:,,,,,,,,,,
holdpoint,Add Signatures:,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist,Sikalastic 152 & Sikaguard 740W - SIKA TILING SYSTEM & WATERPROOFING SYSTEMS INSTALLATION,,,,,,Sikalastic 152 & Sikaguard 740W - SIKA TILING SYSTEM & WATERPROOFING SYSTEMS INSTALLATION,,,,
section,Details,,,,,,,,,,
checkpoint-no-status,Details,,,,,,,,,,
textbox,Project:,,,,,,,,,,
textbox,Date:,,,,,,,,,,
textbox,Site Address:,,,,,,,,,,
textbox,Contractor:,,,,,,,,,,
textbox,Approved Applicator:,,,,,,,,,,
textbox,Sika Installation project specification and reference code (if used):,,,,,,,,,,
textbox,Substrate type(s) and manufacturer:,,,,,,,,,,
textbox,"Application area description, e.g. Internal / External, Floor / Façade, etc.:                                                                                             ",,,,,,,,,,
textbox,Sika Product name:,,,,,,,,,,
textbox,"Method of substrate surface preparation (E.g. Grinding, abrading, drying etc):",,,,,,,,,,
textbox,"Sika Primer used (E.g. Sika Primer‐11 W, Sika Primer‐21 W, Sika Primer‐3 N):",,,,,,,,,,
section,SIKAGARD‐740 W INSTALLATION,,,,,,,,,,
checkpoint,"In the event of window reveal applications where Sikagard‐740 W is used in conjunction with Sikalastic‐ 152, ensure Sikagard‐740 W has been applied prior to the application of Sikalastic‐152.",,,,,,,,,,
textbox,Applicator Name:,,,,,,,,,,
textbox,Company:,,,,,,,,,,
textbox,Date applied:,,,,,,,,,,
holdpoint,Signed off by (Main Contractor/Applicator):,,,,,,,,,,
checkpoint,Weather Conditions (if external application):,,,,,,,,,,
textbox,Time,,,,,,,,,,
textbox,Ambient Temperature (°C),,,,,,,,,,
textbox,Surface Temperature (°C),,,,,,,,,,
dropdown,Weather,"Sunny,Overcast,Rain",,,,,,,,,
textbox,Internal application temperature and general site condition description:,,,,,,,,,,
section,SIKALASTIC‐152 APPLICATION,,,,,,,,,,
checkpoint,Substrate preparation:,,,,,,,,,,
button,Has the concrete got any lumps or laitance on it?,"Yes,No",,,,,,,,,
button,Has any damage to the structure been repaired?,"Yes,No",,,,,,,,,
textbox,Cleaning methods:,,,,,,,,,,
textbox,Climate:,,,,,,,,,,
checkpoint,Weather conditions:,,,,,,,,,,
button,Does the air and surface temperature exceed 5°C?,"Yes,No",,,,,,,,,
button,Ambient temperatures at the start of the workday:,"Yes,No",,,,,,,,,
button,Ambient temperatures at the end of the workday:,"Yes,No",,,,,,,,,
button,Ambient temperatures 4 hours after the end of the workday:,"Yes,No",,,,,,,,,
button,Is the substrate temperature at least 3° above the dew point?,"Yes,No",,,,,,,,,
button,Is there free standing water on the surfaces?,"Yes,No",,,,,,,,,
button,Are the surfaces to be bonded cleaned?,"Yes,No",,,,,,,,,
button,Is there any dust or other contaminants present?,"Yes,No",,,,,,,,,
textbox,Batch numbers of Sika Tiling Range used:,,,,,,,,,,
