"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c1f52327-f3e6-4c99-8c3a-40e9734fad46","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"98e23f3c-6e6a-4f06-bacb-39dd5d3b2fbc","","not-started","","folder","TRUE","FALSE","Site QA","Level 1"
"b6e668a5-166c-4124-8595-084dc85b9b2e","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511"
"d68a472f-3116-4fc9-ba69-be8e1e2d037f","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1028 - Sterile Store"
"2ed3a6a2-757b-4c12-b224-ec3b403dea79","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1028 - Sterile Store","Preparation"
"94e05179-87c8-4c5f-8c69-e01d00a4caab","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1028 - Sterile Store","Floor Vinyl"
"4ef883c6-079a-4a01-ac97-2cad30f6192f","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1028 - Sterile Store","Wall Covering"
"631f601c-12c4-4a1e-84f9-e8200d63f04e","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1029 - Processing area"
"74852358-54ad-400a-b3b0-e30494f5ad7c","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1029 - Processing area","Preparation"
"da79d5b6-719f-4afe-8a4b-49635d52370f","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1029 - Processing area","Floor Vinyl"
"140cd89f-63c1-48a9-a754-a8515c5c6eab","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1029 - Processing area","Wall Covering"
"02ecec1e-1148-4c38-bf13-be60b674e9a6","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 1 - A1511","1040 - Transport Trolley"
"96f5b785-1910-4fd1-8d95-a9c74140d6db","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1040 - Transport Trolley","Preparation"
"958bdf10-3851-4ac9-9b24-cca78303b708","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1040 - Transport Trolley","Floor Vinyl"
"90394b23-d635-4863-842a-d0d8d1f13d31","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 1 - A1511","1040 - Transport Trolley","Wall Covering"
"3a5a7d8c-3eda-43ff-bd66-474f7b5c2148","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 2 - A1512"
"546b9eba-04be-40ac-a520-b4138eae8723","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 2 - A1512","1069 - Sterile Implant Receipt"
"98d94bfd-912b-4f1d-b2da-ae2357b7a6c0","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1069 - Sterile Implant Receipt","Preparation"
"a437ef87-9eed-4a0c-9ce4-88f6a32603b8","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1069 - Sterile Implant Receipt","Floor Vinyl"
"f0c25046-1a85-40a7-8484-a8c1cec987aa","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1069 - Sterile Implant Receipt","Wall Covering"
"0965a1a3-8dca-4432-b1dd-9544dda25e89","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 2 - A1512","1083 - Cart Dispatch"
"bce554ce-562f-4876-a155-874410047618","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1083 - Cart Dispatch","Preparation"
"f8773491-7bbb-4345-9359-19e7eaa57715","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1083 - Cart Dispatch","Wall Covering"
"209cb171-bbad-41b7-bfa5-663ca4a8922d","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor R"
"82255880-908e-4e9a-baab-f17cc950ce68","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor R","Preparation"
"5a6df3fd-b840-4ec9-90aa-57f89de92727","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor R","Floor Vinyl"
"66c68e91-bca4-4669-ad8f-95758a6e78c3","","not-started","Carpet Tile Installation","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor R","Entrance Matting"
"700d298d-c4c9-4485-af6c-f520f92cbd75","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor R","Wall Covering"
"222a229d-2222-412d-a82c-61d673c2b01b","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor L"
"46acdcaa-c2f2-4e74-90c9-eb4232e89548","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor L","Preparation"
"efef6c3c-b720-438b-8891-579945846ef4","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor L","Floor Vinyl"
"8cb1a6e2-91ab-4cb6-9260-0ae52cb88042","","not-started","Carpet Tile Installation","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor L","Entrance Matting"
"80a22686-9013-4c89-a18c-aafb27fa9328","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 2 - A1512","1020 - Corridor L","Wall Covering"
"6a46b72d-8ddf-47c4-9b4c-62555ef20d28","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513"
"3bc11e7b-8757-4d42-8dbd-3759026215b7","","not-started","","folder","TRUE","FALSE","Site QA","Level 1","Zone 3 - A1513","1001 - Stair 1 Lobby"
"b6ba3ad8-7a96-4810-bd57-1072e393ad1e","","not-started","Floor Prep","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1001 - Stair 1 Lobby","Preparation"
"5f2d8437-a4a2-40c6-98aa-f2960e328d27","","not-started","Floor Vinyl / LVT / Marmoleum","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1001 - Stair 1 Lobby","Floor Vinyl"
"350c02e8-ff6e-4b18-99bc-01ab955e03df","","not-started","Wall Vinyl / Cove / Splashback","checklist","FALSE","FALSE","Site QA","Level 1","Zone 3 - A1513","1001 - Stair 1 Lobby","Wall Covering"
