"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"16950173-3d78-4114-9703-78ed360af71c","","no-status-not-started","","folder","TRUE","FALSE","Prestart Inspections"
"229b2084-5a10-4174-b7d7-289efd0b16b6","","not-started","","folder","TRUE","FALSE","Site QA"
"04a0511d-1712-4df6-b3d9-ba779dd57f46","","not-started","","folder","TRUE","FALSE","Site QA","Pool Area Inc changing Rooms"
"2931e16a-f652-467a-b6bd-ca6c2691eaea","","not-started","Wall/Floor Preparation Pool Area","checklist","FALSE","FALSE","Site QA","Pool Area Inc changing Rooms","QA- Floor/Wall preparation pool area"
"669d0e6f-2fca-4b5c-bd17-e34f6b17f2fb","","not-started","QA - Waterproofing","checklist","FALSE","FALSE","Site QA","Pool Area Inc changing Rooms","QA- Waterproofing"
"f7b9734f-e964-420b-818e-4b5e05ece6cb","","not-started","QA - Tiling Installation - Pool area","checklist","FALSE","FALSE","Site QA","Pool Area Inc changing Rooms","QA- Tiling Installation Pool area"
"8fbbb7e9-9e47-4841-a868-46349a8c29b6","","not-started","Ω (DEPRECATED) QA - Other Information (v0)","checklist","FALSE","FALSE","Site QA","Pool Area Inc changing Rooms","QA- Other Information"
"07e56059-15f3-40c5-858c-811dd06221a0","","not-started","","folder","TRUE","FALSE","Site QA","WC's"
"5268818b-dc2d-42aa-b910-365ec06d9a34","","not-started","Wall/Floor Preparation WC's","checklist","FALSE","FALSE","Site QA","WC's","QA - Floor/Wall Preparation"
"a124a28d-d7ea-4457-9d7a-7a0cec9c9482","","not-started","QA - Waterproofing","checklist","FALSE","FALSE","Site QA","WC's","QA- Waterproofing"
"620dcfd5-6706-4f79-ac5b-417527d3004e","","not-started","QA - Tiling Installation - WC's","checklist","FALSE","FALSE","Site QA","WC's","QA- Tiling Installation WC's"
"8b5cb8c8-db91-4e92-a158-6d287ac58f8e","","not-started","Ω (DEPRECATED) QA - Other Information (v0)","checklist","FALSE","FALSE","Site QA","WC's","Qa - Other Information"
"49b65895-7105-4f2b-9be4-17099e99f762","","not-started","","folder","TRUE","FALSE","Site QA","Joinery Units"
"389c84a4-e021-40f6-b2d9-526194b5a9e4","","not-started","QA - Joinery Unit Installation","checklist","FALSE","FALSE","Site QA","Joinery Units","QA - Tiling Installation Joinery"
"ed00f7c6-f733-4a3e-81dd-cb82bc864e0f","","not-started","Ω (DEPRECATED) QA - Other Information (v0)","checklist","FALSE","FALSE","Site QA","Joinery Units","QA- Other Information"
"d136d87d-3dfc-4f7a-9408-dfcdedbdfee6","","not-started","Final Sign Off for Invoicing","checklist","FALSE","FALSE","Site QA","QA - Final Sign off"
