type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist-flat,Ingrounds - Drainage,,,,,,,,
checkpoint,"Installation complies with AS/NZS-3500 (2021), current IFC drawings & specifications",,,,,,,,
checkpoint,Inspection openings and/or clean outs have been installed,,,,,,,,
checkpoint,All drains are clear of debris and have been securely capped,,,,,,,,
checkpoint,Invert levels for drains and inspection openings have been checked against current IFC drawings,,,,,,,,
checkpoint,All drains have been tested,,,,,,,,
checkpoint,All drains have been backfilled and compaction completed,,,,,,,,
,,,,,,,,,
checklist-flat,Ingrounds - Pumpwells/Tanks/Pits,,,,,,,,
checkpoint,"Installation complies with AS/NZS-3500 (2021), current IFC drawings & specifications",,,,,,,,
checkpoint,Installation methods & materials are in accordance with manufacturer requirements,,,,,,,,
checkpoint,"Invert levels for inlets, outlets and cover levels have been checked against current IFC drawings",,,,,,,,
checkpoint,Connection of drainage to pumpwell/tank/pit has been sealed/caulked/grouted both inside and outside,,,,,,,,
checkpoint,Cast in conduits to pump control panels are correctly sized and in accordance with current IFC drawings,,,,,,,,
,,,,,,,,,
checklist-flat,Ingrounds - Cast in,,,,,,,,
checkpoint,Installation complies with current IFC shop drawings,,,,,,,,
checkpoint,All pipe elements free of damage prior to install,,,,,,,,
checkpoint,"Where practical, pipes water tested prior to the pour",,,,,,,,
checkpoint,Pipe grades and size have been checked,,,,,,,,
checkpoint,Invert levels and finished levels have been checked,,,,,,,,
checkpoint,PVC has been lagged (add photos),,,,,,,,
checkpoint,HDPE fusion welds are witness marked,,,,,,,,
checkpoint,"All cast in elements are clear of debris, securely capped & sealed prior to pour",,,,,,,,
checkpoint,Water has been poured into PVC for deep beam/thick slab pour,,,,,,,,
checkpoint,Unfixed pipes are tied to reo (where necessary),,,,,,,,
checkpoint-no-status,Concrete pour details,,,,,,,,
text,Location and description of what has been cast in,,,,,,,,
,,,,,,,,,
checklist-flat,Ingrounds - Sewer BT Authority Connection,,,,,,,,
checkpoint,Installation complies with AS/NZS-3500 (2021) and current IFC drawings,,,,,,,,
checkpoint,Installation complies with current IFC shop drawings,,,,,,,,
checkpoint,Installation meets water authority requirements,,,,,,,,
checkpoint,All pipe elements free of damage prior to install,,,,,,,,
checkpoint,Boundary trap is installed and supported correctly,,,,,,,,
checkpoint,Reflux valve is installed and supported correctly,,,,,,,,
checkpoint,Access riser to surface level is installed,,,,,,,,
,,,,,,,,,
checklist-flat,Ingrounds - Stormwater LPD,,,,,,,,
checkpoint,Installation complies with AS/NZS-3500 (2021) and current IFC drawings,,,,,,,,
checkpoint,Installation complies with current IFC shop drawings,,,,,,,,
checkpoint,Installation meets Council requirements,,,,,,,,
checkpoint,All pipe elements free of damage prior to install,,,,,,,,
checkpoint,Civil pit/s installed and supported correctly,,,,,,,,
checkpoint,"If applicable, reflux valve is installed and supported correctly",,,,,,,,
checkpoint,Access riser to surface level is installed,,,,,,,,
,,,,,,,,,
checklist-flat,Ingrounds - Authority connection to meter room,,,,,,,,
checkpoint,Installation complies with AS/NZS-3500 (2021) and current IFC drawings,,,,,,,,
checkpoint,Installation complies with current IFC shop drawings,,,,,,,,
checkpoint,Installation meets water authority requirements,,,,,,,,
checkpoint,All pipe elements free of damage prior to install,,,,,,,,
checkpoint,Pipework is connected to water meter assemblies,,,,,,,,
checkpoint,Pipes have been wrapped in plastic (or denso wrap),,,,,,,,
checkpoint,Pipe bedding is correct ,,,,,,,,
checkpoint,Pipes are labelled,,,,,,,,
checkpoint,Any open ends have been sealed,,,,,,,,
checkpoint,All mechanical joints are correct and have been checked,,,,,,,,
checkpoint,Access riser from sluice valves to surface level installed,,,,,,,,
,,,,,,,,,
checklist-flat,Peno - Slab,,,,,,,,
checkpoint,Installation complies with current IFC shop drawing,,,,,,,,
checkpoint,Floor fire collar types & sizes are correct against IFC shop drawing,,,,,,,,
checkpoint,Top and bottom of peno/collar is capped & sealed,,,,,,,,
checkpoint,Collars are firmly secured into formwork,,,,,,,,
checkpoint-no-status,Concrete pour details,,,,,,,,
text,"Details of pour (date, supervised by RSG, approx time of day etc)",,,,,,,,
,,,,,,,,,
checklist-flat,Peno - Wall,,,,,,,,
checkpoint,Installation complies with current IFC shop drawings,,,,,,,,
text,Document invert level wall peno has been installed at,,,mm,,,,,
checkpoint,Collars and sleeves are capped & sealed,,,,,,,,
checkpoint-no-status,Concrete pour details,,,,,,,,
text,"Details of pour (date, supervised by RSG, approx time of day etc)",,,,,,,,
,,,,,,,,,
checklist-flat,Peno - Cast In,,,,,,,,
checkpoint,Installation complies with current IFC shop drawings,,,,,,,,
checkpoint,Collar & pre-fab elements free of damage prior to install,,,,,,,,
checkpoint,"Where practical, pipes water tested prior to the pour",,,,,,,,
checkpoint,Pipe grades and size have been checked,,,,,,,,
checkpoint,Invert levels and finished levels have been checked,,,,,,,,
