type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,
checklist-flat,CHK-008-CIV-CPD-RSS Walls-Pre-cast Panel Installation,itp,,,,,CHK-008-CIV-CPD-RSS Walls-Pre-cast Panel Installation Rev 0,,,,,,,,,,,,,,,,
checkpoint-no-status,CHK-008-CIV-CPD-RSS Walls-Pre-cast Panel Installation,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: CHK-008-CIV-CPD-RSS Walls-Pre-cast Panel Installation,,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: RSS Walls - Panel Installation,,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 06/11/2023,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Matthew Dib/Jason Quan,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,,,,
checkpoint,1 - Panels-survey set out-Tolerance,,,,,,,,,,,,,,,,,,,,,,
label,Reference: VR 682.20 IFC Drawings MRP-080-C-RFL-DRG-33-CPV-CSW-1001 and 1202 to 1205,,,,,,,,,,,,,,,,,,,,,,
label,Acceptance Criteria: Plan position shown on the drawings at the base of the wall shall not exceed ±15mm (refer to drawings for WP locations),,,,,,,,,,,,,,,,,,,,,,
label,Method: Measure,,,,,,,,,,,,,,,,,,,,,,
label,Frequency: Base course panels,,,,,,,,,,,,,,,,,,,,,,
label,Category: IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility: Surveyor/PE,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents: This Checklist Signed-off,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2 - Mark-up panel for construction team,,,,,,,,,,,,,,,,,,,,,,
label,Reference: Construction Manual,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria: Mark number of strips per row on the back of each panel. Mark design location (Wall number, row and column) as per elevation drawings on the back of each panel",,,,,,,,,,,,,,,,,,,,,,
label,Method: Visual,,,,,,,,,,,,,,,,,,,,,,
label,Frequency: Each panel,,,,,,,,,,,,,,,,,,,,,,
label,Category: IP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility: SE,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents: This Checklist Signed-off,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
checkpoint,3 - Panel installation,,,,,,,,,,,,,,,,,,,,,,
label,Reference: IFC Drawing:,,,,,,,,,,,,,,,,,,,,,,
